pathway	pval	padj	log2err	ES	NES	size
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.685472496473907	0.975188094527858	0.0469758727821845	0.371317455261861	0.859792027405192	76
REACTOME_ABC_TRANSPORTER_DISORDERS	0.698795180722892	0.975188094527858	0.0490939668192139	0.37354432477522	0.825828311912756	53
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.795302013422819	0.975188094527858	0.0481183992657975	0.395834039041502	0.742802145721006	18
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.0496324807387263	0.688556386810751	0.321775918075361	-0.750436121121333	-1.50990684518259	16
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.971760797342193	1	0.0384786917635432	0.269624783734991	0.507735153125995	19
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.55699481865285	0.975188094527858	0.0873098257637931	-0.423549424903888	-0.937915091517797	27
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.931893687707641	0.993886615430682	0.0404114482034376	0.311871789775216	0.587291230218787	19
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.58	0.975188094527858	0.083129129135339	-0.442023330059572	-0.905928877801513	19
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.57396449704142	0.975188094527858	0.0931454575337804	-0.37571650010026	-0.935858142759403	53
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.877581120943953	0.979029892500886	0.0376923295943841	0.320047357408748	0.718124652596302	58
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.658576051779935	0.975188094527858	0.0551351763385257	0.426202149571739	0.850927103581959	28
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.33419689119171	0.961458793379073	0.118815039412263	-0.504608403305376	-1.11741347984172	27
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.554621848739496	0.975188094527858	0.0919686140000427	-0.409370061455201	-0.954490673265944	40
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	0.891625615763547	0.979993028929941	0.060640400949416	-0.322713415526118	-0.661585511140481	18
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.721804511278195	0.975188094527858	0.0718276293603809	-0.377867205971498	-0.800660577555629	22
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.626916524701874	0.975188094527858	0.0598603117764473	0.482668731156503	0.884864916811545	16
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.581818181818182	0.975188094527858	0.0578529757032509	0.415252785008094	0.913077235737843	51
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.229559748427673	0.961458793379073	0.163180127180689	-0.448783593195587	-1.15981423933596	70
