pathway	pval	padj	log2err	ES	NES	size
GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION	0.684491978609626	0.855461779599711	0.0578529757032509	0.434166103010068	0.831691780243293	18
GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION	0.462093862815884	0.787093013483817	0.0778840111977068	0.548552324367286	1.02847342385701	16
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS	0.0620689655172414	0.552698402494295	0.237793834423688	0.750240597648875	1.45941676805597	21
GOBP_ACETYL_COA_METABOLIC_PROCESS	0.0886075949367089	0.611501179817669	0.188204146308491	0.668133903779849	1.41794506370386	38
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	0.0728291316526611	0.567935110552157	0.282013350011725	-0.565770539576781	-1.38180247139116	51
GOBP_ACROSOME_REACTION	0.835951134380454	0.924964785217555	0.0476387259290825	0.373002219564514	0.720374286762802	20
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	0.0370449293776482	0.519368723098996	0.321775918075361	0.622913696713796	1.47615766105051	91
GOBP_ACTIN_FILAMENT_BASED_PROCESS	0.00272137777183829	0.267394804495768	0.431707695803346	0.506252782952888	1.3999851121729	582
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	0.221153846153846	0.687559354226021	0.104343952581949	0.466929536343929	1.15683798574641	138
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	0.1088	0.619270185154802	0.169570644405628	0.640369902987118	1.38028463701766	42
GOBP_ACTIN_FILAMENT_ORGANIZATION	0.0575539568345324	0.548277167739493	0.204294756516886	0.480954773842106	1.28557703685706	335
GOBP_ACTIN_FILAMENT_POLYMERIZATION	0.0411931818181818	0.536603607093664	0.266350657088526	0.581669807071712	1.40739913268148	113
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	0.0428994082840237	0.538434544119552	0.266350657088526	0.627391420811571	1.44594076539587	77
GOBP_ACTIN_NUCLEATION	0.0141647784525659	0.376747195091491	0.380730400722792	0.757518898429162	1.60663753828321	37
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION	0.0774550484094053	0.582394851758216	0.188204146308491	0.538668638673532	1.32844150182496	133
GOBP_ACTION_POTENTIAL	0.261494252873563	0.71032371939312	0.096887770327544	0.480616985896537	1.14375649859044	98
GOBP_ACTIVATED_T_CELL_PROLIFERATION	0.554828150572831	0.818204978481976	0.0637845390312975	0.460118686707329	0.931219261429266	28
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	0.573260073260073	0.823836770556369	0.0676760401641789	0.497181677647967	0.923295016813876	15
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	0.842548076923077	0.927523396408133	0.0298484971250709	0.31288498914184	0.838037884836274	352
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	0.906530089628681	0.962506013656386	0.0293519190331994	0.29951473548653	0.773520540262031	221
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	0.544	0.815774912537502	0.0636424081651019	0.429127429409626	0.924962268485788	42
GOBP_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	0.0641627543035994	0.552698402494295	0.222056046145248	0.692951290041112	1.46969475889047	37
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	0.321964529331514	0.744610636429777	0.0822054920415869	0.437774528104581	1.09007847757355	156
GOBP_ACUTE_INFLAMMATORY_RESPONSE	0.212403100775194	0.680079951476992	0.114750719227023	0.553408059269819	1.21584974208816	51
GOBP_ACUTE_PHASE_RESPONSE	0.0637931034482759	0.552698402494295	0.234392647294686	0.746767025233139	1.45265974924831	21
GOBP_ACYLGLYCEROL_HOMEOSTASIS	0.589655172413793	0.829715277385857	0.0633597010643758	0.468055934138049	0.910492821649285	21
GOBP_ACYL_COA_BIOSYNTHETIC_PROCESS	0.0721153846153846	0.56364729020979	0.211400189384923	0.662981661762473	1.429178291629	43
