pathway	pval	padj	log2err	ES	NES	size
HALLMARK_ADIPOGENESIS	0.000666006585219441	0.033300329260972	0.477270815362862	0.639352761932806	1.61223028395206	174
HALLMARK_ALLOGRAFT_REJECTION	0.811347517730496	0.811347517730496	0.0395172228473919	0.329295992664959	0.782923596423128	98
HALLMARK_ANDROGEN_RESPONSE	0.0815450643776824	0.346784363177806	0.186432558434075	0.578371987321205	1.35321303716938	87
HALLMARK_ANGIOGENESIS	0.142857142857143	0.398550724637681	0.183023938384487	-0.589297433798637	-1.3167698407812	27
HALLMARK_APICAL_JUNCTION	0.32103825136612	0.516363636363636	0.0824344091527096	0.443088829644738	1.09868335707329	147
HALLMARK_APICAL_SURFACE	0.459715639810427	0.58717253839205	0.0931454575337804	-0.45198447943333	-1.00288977119238	26
HALLMARK_APOPTOSIS	0.363387978142077	0.533166363084396	0.0758886900606117	0.430871743904456	1.06301230209795	136
HALLMARK_BILE_ACID_METABOLISM	0.183908045977011	0.421940928270042	0.119348440591015	0.527883062771998	1.22668222180845	78
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.225146198830409	0.449243379571248	0.107140237276725	0.519203722045862	1.18270248396991	66
HALLMARK_COAGULATION	0.278969957081545	0.498160637645616	0.0928481214159878	0.489092993165525	1.14458106638111	85
HALLMARK_COMPLEMENT	0.0901639344262295	0.346784363177806	0.172324344900946	0.525408954648921	1.29107276763929	129
HALLMARK_DNA_REPAIR	0.479087452471483	0.58717253839205	0.120433371642259	-0.353614273964315	-0.992710814819052	132
HALLMARK_E2F_TARGETS	0.0375598679735785	0.312998899779821	0.321775918075361	-0.447130651441555	-1.30104722012973	177
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.143478260869565	0.398550724637681	0.248911114434702	-0.401043082805405	-1.17813060727634	190
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.318120805369128	0.516363636363636	0.0819778796501272	0.442360159588812	1.10317540214781	153
