pathway	pval	padj	log2err	ES	NES	size
KEGG_ABC_TRANSPORTERS	0.548387096774194	0.771511794479992	0.066132620475844	0.461336495264967	0.943692481174631	31
KEGG_ACUTE_MYELOID_LEUKEMIA	0.191869918699187	0.617203751687895	0.125033367555272	0.564969828587996	1.23626778909476	50
KEGG_ADHERENS_JUNCTION	0.0495207667731629	0.534116841624829	0.257206466468838	0.636688466000007	1.43269678654479	61
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	0.0148401584015186	0.534116841624829	0.380730400722792	0.717880992775222	1.5818799670747	51
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	0.144876325088339	0.607975222609369	0.153158808683073	0.680959418332125	1.32400562841976	22
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	0.567137809187279	0.771511794479992	0.066436413766281	0.483533882646945	0.943553398874571	24
KEGG_ALZHEIMERS_DISEASE	0.724475524475524	0.847982238474599	0.0440640346597561	0.352488657342111	0.855586024464149	118
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	0.776497695852535	0.868016437344168	0.0640703750499722	-0.354995160338766	-0.751452416288726	21
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	0.411570247933884	0.687266944505374	0.0793434960134973	0.48322571465691	1.02969408620191	39
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	0.281198003327787	0.640955065494943	0.101350743797099	0.541833063506676	1.16217752397124	42
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	0.422945205479452	0.687266944505374	0.0797705918628453	0.510336932534011	1.0403066489107	29
KEGG_APOPTOSIS	0.564296520423601	0.771511794479992	0.059221919380382	0.409381963436477	0.938898488471532	73
KEGG_ARACHIDONIC_ACID_METABOLISM	0.164383561643836	0.607975222609369	0.140406238523342	0.629130086205883	1.28246295728582	29
KEGG_ARGININE_AND_PROLINE_METABOLISM	0.0253123073096744	0.534116841624829	0.352487857583619	0.748565884249492	1.5722317427411	37
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	0.0988835725677831	0.607975222609369	0.178219874951973	0.604294966128425	1.33364872544856	52
KEGG_AXON_GUIDANCE	0.166101694915254	0.607975222609369	0.20207170902116	-0.425781253078306	-1.1728875167652	103
KEGG_BASAL_CELL_CARCINOMA	0.386363636363636	0.67838266384778	0.107554375265169	-0.455136521864314	-1.06231289145476	38
KEGG_BASAL_TRANSCRIPTION_FACTORS	0.357876712328767	0.66551133932392	0.088894528862045	0.534893542867734	1.09036456825044	29
KEGG_BASE_EXCISION_REPAIR	0.286746987951807	0.640955065494943	0.124434168630393	-0.497761622913001	-1.14103081563366	33
KEGG_BETA_ALANINE_METABOLISM	0.402173913043478	0.687266944505374	0.0855356947987884	0.577167509549275	1.0792405666296	17
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	0.337777777777778	0.663635443037975	0.107972360317345	-0.553718449630638	-1.13257911224873	16
KEGG_BLADDER_CANCER	0.372208436724566	0.669088975540588	0.108820126769161	-0.464096968058551	-1.0719558434289	35
KEGG_BUTANOATE_METABOLISM	0.185639229422067	0.617203751687895	0.132846300606183	0.622840558757181	1.24245832708664	26
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	0.496012759170654	0.727164336259891	0.0679922591544058	0.437627977584499	0.96582302888514	52
KEGG_CALCIUM_SIGNALING_PATHWAY	0.0942760942760943	0.607975222609369	0.271288554688953	-0.4670319922855	-1.28031296170921	102
KEGG_CARDIAC_MUSCLE_CONTRACTION	0.0415973377703827	0.534116841624829	0.287857117255149	0.698675711904313	1.49858925858959	42
KEGG_CELL_ADHESION_MOLECULES_CAMS	0.0611644945445611	0.543284628013455	0.321775918075361	-0.578136113333788	-1.43764174910922	55
KEGG_CELL_CYCLE	0.104377104377104	0.607975222609369	0.257206466468838	-0.458186077208066	-1.26787863774387	106
KEGG_CHEMOKINE_SIGNALING_PATHWAY	0.615602836879433	0.80054622861274	0.0521630305460055	0.380196233403454	0.913956098350978	110
KEGG_CHRONIC_MYELOID_LEUKEMIA	0.44413407821229	0.698585893854749	0.105125131597001	-0.39221766649352	-1.01402672521985	68
KEGG_CITRATE_CYCLE_TCA_CYCLE	0.302608695652174	0.640955065494943	0.0995791200495904	0.561422785776001	1.12478121856899	27
KEGG_COLORECTAL_CANCER	0.3472	0.663635443037975	0.086794975677172	0.48215086285352	1.08048439180403	59
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	0.818181818181818	0.876723104584957	0.0478299633114229	0.366910993395297	0.746070700115152	30
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	0.147887323943662	0.607975222609369	0.151148761385484	0.660272528428166	1.30106934882399	25
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	0.11744966442953	0.607975222609369	0.241339976815091	-0.445104021568392	-1.24175732725265	107
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	0.730050933786078	0.847982238474599	0.0525898950623616	0.40410666712606	0.826625309884435	31
KEGG_DILATED_CARDIOMYOPATHY	0.2144	0.618852459016393	0.116234148779716	0.536396294385691	1.20204663842183	59
KEGG_DNA_REPLICATION	0.300248138957816	0.640955065494943	0.123257226381337	-0.487140287228634	-1.12518054071512	35
KEGG_DORSO_VENTRAL_AXIS_FORMATION	0.764705882352941	0.868016437344168	0.0658311958368866	-0.368188730808506	-0.769817628532892	20
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	0.192109777015437	0.617203751687895	0.128788713061714	0.616332100326754	1.25323942283414	30
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	0.839788732394366	0.884813463098135	0.0478299633114229	0.355471641040399	0.691873311109153	21
KEGG_ECM_RECEPTOR_INTERACTION	0.411671924290221	0.687266944505374	0.0768736734126542	0.453352883325828	1.02678700751592	63
KEGG_ENDOCYTOSIS	0.419889502762431	0.687266944505374	0.069119845655101	0.416369098123897	1.02654177906704	142
KEGG_ENDOMETRIAL_CANCER	0.311582381729201	0.640955065494943	0.0940503465727813	0.513308089506161	1.11793066312348	46
