sample,fastq_1,fastq_2,strandedness,seq_platform,sample_title_ena_metadata
USA100_N315_Planktonic_24h,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251347_1_sub_50k.fastq.gz,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251347_2_sub_50k.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251344_1_sub_50k.fastq.gz,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251344_2_sub_50k.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251345_1_sub_50k.fastq.gz,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251345_2_sub_50k.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Biofilm_24h,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251301_1_sub_50k.fastq.gz,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251301_2_sub_50k.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251302_1_sub_50k.fastq.gz,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251302_2_sub_50k.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251300_1_sub_50k.fastq.gz,/workspaces/dsp_transcriptomics_27200-Data-driven-bioengineering/data/seq_files_subsampled/PRJNA685119_GSE163153_saureus/usa100/SRR13251300_2_sub_50k.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
