tx	gene_id	USA500_NRS385_Biofilm_10h_1	USA500_NRS385_Biofilm_10h_2	USA500_NRS385_Biofilm_10h_3	USA500_NRS385_Biofilm_10h_4	USA500_NRS385_Biofilm_24h_1	USA500_NRS385_Biofilm_24h_2	USA500_NRS385_Biofilm_24h_3	USA500_NRS385_Biofilm_24h_4	USA500_NRS385_Biofilm_24h_5	USA500_NRS385_Biofilm_24h_6	USA500_NRS385_Biofilm_24h_7	USA500_NRS385_Biofilm_24h_8	USA500_NRS385_Biofilm_5h_1	USA500_NRS385_Biofilm_5h_2	USA500_NRS385_Biofilm_5h_3	USA500_NRS385_Biofilm_5h_4	USA500_NRS385_Planktonic_10h_1	USA500_NRS385_Planktonic_10h_2	USA500_NRS385_Planktonic_10h_3	USA500_NRS385_Planktonic_10h_4	USA500_NRS385_Planktonic_24h_1	USA500_NRS385_Planktonic_24h_2	USA500_NRS385_Planktonic_24h_3	USA500_NRS385_Planktonic_24h_4	USA500_NRS385_Planktonic_24h_5	USA500_NRS385_Planktonic_24h_6	USA500_NRS385_Planktonic_24h_7	USA500_NRS385_Planktonic_24h_8	USA500_NRS385_Planktonic_5h_1	USA500_NRS385_Planktonic_5h_2	USA500_NRS385_Planktonic_5h_3	USA500_NRS385_Planktonic_5h_4
unassigned_transcript_1	SAUSA300_RS00010	1453	1440	1483	1446	520.198	511	485.026	503	500.322	520	495	502	2763.909	2758.276	2804.084	2761.233	1432.073	1491.767	1420.869	1426.526	1229.311	1175.613	1268.711	1544.552	1254.721	1573.23	1541.173	1594.468	1157.134	1230.753	1213.005	1223.4
unassigned_transcript_2	SAUSA300_RS00015	1701.057	1692.003	1759.429	1724.963	414	376	417.004	373.13	378.001	407.004	399	410	2287.64	2166.385	2305.341	2138.084	1318.187	1368.86	1300.429	1295.151	923.402	891.96	895.333	1131.175	898.124	1145.46	1151.717	1114.202	683.992	655.616	681.939	619.657
unassigned_transcript_3	SAUSA300_RS00020	362.398	382.593	380.6	367.728	107.397	121.521	110.853	114.805	103.411	100.211	103.778	105.768	239.042	262.827	220.493	252.497	217.483	207.845	238.945	230.238	117.371	113.728	131.304	139.912	124.591	155.816	147.264	149.803	260.169	252.184	264.673	269.968
unassigned_transcript_4	SAUSA300_RS00025	1747.427	1641.062	1713.348	1724.498	555.259	605.125	552.86	527.981	526.564	520.723	546.439	564.237	1151.797	1125.184	1102.111	1147.292	1026.832	1042.814	971.024	965.176	903.415	873.624	902.089	1208.426	937.438	1158.123	1189.381	1110.614	775.268	814.097	804.465	824.333
unassigned_transcript_5	SAUSA300_RS00030	2764.754	2776.634	2847.993	2734.664	1200.323	1214.293	1184.247	1166.993	1216.976	1224.675	1208.429	1179.952	1648.216	1576.629	1654.927	1637.594	1223.319	1203.804	1140.184	1225.114	2312.031	2301.66	2256.744	2756.659	2223.315	2912.669	2769.906	2651.436	1342.634	1452.604	1384.002	1401.409
unassigned_transcript_6	SAUSA300_RS00035	1999.281	1971.14	1978.782	1925.688	638.021	625.617	655.039	620.029	619.088	632.6	623.354	642	2137.135	2199.867	2249.609	2112.493	1731.945	1820.043	1717.757	1702.49	2080.274	1995.587	2083.514	2563.569	1955.657	2475.591	2514.692	2493.81	1457.452	1651.627	1588.323	1528.697
unassigned_transcript_7	SAUSA300_RS00040	185	195	182	154	86	96	89	82	70	90.196	81	78	93.543	89	92.509	62.24	157	150.539	144.945	146	210	221	204	234.003	224	252	216.529	269.109	307.943	318.598	311.003	336.934
unassigned_transcript_8	SAUSA300_RS00045	194	163	185	166	124	135	132	140	135	128	124	127	414.418	399.52	417.427	425.353	149.012	156	121.874	146.002	84	116	113.008	132	117	137	147.002	128	118.001	123.615	130	147.604
unassigned_transcript_9	SAUSA300_RS00050	558	561	567	548	225	274	262	258	254	258	260.77	251	391.355	394.761	445.854	434.861	870.59	986.079	921.462	910.836	1174.425	1174.022	1115.025	1446	1166	1511.679	1490.252	1448.998	1309.687	1319.439	1386.69	1348.807
unassigned_transcript_10	SAUSA300_RS00055	19	23	18	28.247	2.052	5.165	5	6	3	1.145	5	4	21.534	26.519	27	32.153	18	25	16.274	16.018	29.137	14.078	23.012	26.558	27	36	32	22	32	35.406	35.366	34.384
unassigned_transcript_11	SAUSA300_RS00060	16	8	11	21.753	4.948	4.835	3	4	1	3.855	4	2	19.466	20.481	27	30.847	12	8	10.352	19.982	18.863	21.922	24.988	30.442	18	23	27	27	26	39.594	21.634	33.616
unassigned_transcript_12	SAUSA300_RS00065	34	35	36	37	20	21	20	14	14	22	21	27	50.038	63	62.002	62	43	34	36	36	58.001	47	41	57.021	50	69.015	63	66	95	100.821	97.21	88
unassigned_transcript_13	SAUSA300_RS00070	615.999	571.453	646.428	618.168	115.902	85.457	82.21	96.1	87.878	76.629	100.464	114.301	521.17	548.824	540.303	501.084	480.544	509.64	459.943	485.373	339.505	334.926	310.048	420.506	337.83	390.182	392.327	416.636	325.733	324.892	327.794	328.475
unassigned_transcript_14	SAUSA300_RS00075	1815.942	1702.078	1837.263	1806.897	604.215	658.728	586.483	629.367	607.933	619.807	598.958	626.597	2372.178	2242.879	2391.477	2253.966	1833.334	1849.338	1744.532	1828.724	1760.698	1787.454	1720.756	2163.427	1719.125	2204.185	2159.584	2134.827	2314.01	2371.156	2226.466	2285.385
