tx	gene_id	USA500_NRS385_Biofilm_10h_1	USA500_NRS385_Biofilm_10h_2	USA500_NRS385_Biofilm_10h_3	USA500_NRS385_Biofilm_10h_4	USA500_NRS385_Biofilm_24h_1	USA500_NRS385_Biofilm_24h_2	USA500_NRS385_Biofilm_24h_3	USA500_NRS385_Biofilm_24h_4	USA500_NRS385_Biofilm_24h_5	USA500_NRS385_Biofilm_24h_6	USA500_NRS385_Biofilm_24h_7	USA500_NRS385_Biofilm_24h_8	USA500_NRS385_Biofilm_5h_1	USA500_NRS385_Biofilm_5h_2	USA500_NRS385_Biofilm_5h_3	USA500_NRS385_Biofilm_5h_4	USA500_NRS385_Planktonic_10h_1	USA500_NRS385_Planktonic_10h_2	USA500_NRS385_Planktonic_10h_3	USA500_NRS385_Planktonic_10h_4	USA500_NRS385_Planktonic_24h_1	USA500_NRS385_Planktonic_24h_2	USA500_NRS385_Planktonic_24h_3	USA500_NRS385_Planktonic_24h_4	USA500_NRS385_Planktonic_24h_5	USA500_NRS385_Planktonic_24h_6	USA500_NRS385_Planktonic_24h_7	USA500_NRS385_Planktonic_24h_8	USA500_NRS385_Planktonic_5h_1	USA500_NRS385_Planktonic_5h_2	USA500_NRS385_Planktonic_5h_3	USA500_NRS385_Planktonic_5h_4
unassigned_transcript_15	SAUSA300_RS00080	426.091	405.069	387.853	447.278	60.555	62.04	70.29	61.574	55.863	59.337	55.696	50.634	785.209	856.199	766.899	825.378	561.86	582.443	512.662	546.521	527.761	495.861	466.658	638.484	478.845	667.039	699.069	655.135	773.91	853.52	748.332	711.684
unassigned_transcript_16	SAUSA300_RS00085	687.881	665.799	677.43	678.658	398.333	386.775	427.017	382.072	347.327	438.228	408.883	401.468	1663.101	1728.078	1688.461	1676.541	980.257	1037.82	1089.663	1004.712	1276.503	1279.253	1306.429	1592.399	1299.321	1629.193	1591.361	1489.182	1515.416	1598.931	1582.324	1580.363
unassigned_transcript_17	SAUSA300_RS00090	43	56	27	42	31	51	54	54	65	52	45	42	49.184	60.163	58	61.017	75.949	102	106	61.004	165	182	186.689	228	176.001	247	226	224.003	49	55	31.296	60
unassigned_transcript_18	SAUSA300_RS00095	1	0	1	1	21.999	17	10	18	17	20	19	18	1	1	1	0	0	1	2	4	4	9	7.314	5	10	9	15	10	3	3	0	2
unassigned_transcript_19	SAUSA300_RS00100	1	0	2	0	24.001	25	16.994	10	21	13	14	19	0	1	2	0	2	7	1	1	7	7	7	9	7	8	11	11	2	6	2	0
unassigned_transcript_20	SAUSA300_RS00105	2141.03	2103.537	2180.647	2152.171	1243.96	1338.022	1224.732	1281.444	1213.913	1330.277	1257.456	1298.714	1597.551	1595.06	1635.659	1545.847	1225.138	1167.081	1192.285	1137.848	694.783	711.033	678.782	835.898	719.481	868.919	866.206	839.088	1124.602	1104.388	1078.11	1105.633
unassigned_transcript_21	SAUSA300_RS00110	3216.002	3087.465	3213.304	3085.484	1435.096	1441.096	1459	1414.011	1428.37	1404.242	1448.516	1372.281	2927.608	3021.028	3051.015	3021.14	1744.926	1719.059	1800.035	1743.737	1458.533	1473.195	1458.246	1787.276	1442.601	1774.415	1792.492	1813.322	1970.061	2000.725	2044.251	1942.064
unassigned_transcript_22	SAUSA300_RS00115	1902.99	1822.383	1941.65	1848.89	271.656	258.374	217.547	237.846	224.735	253.302	230.609	250.224	2703.615	2598.623	2724.413	2599.842	1324.34	1274.981	1234.104	1216.982	1152.062	1093.155	1171.09	1448.072	1140.942	1450.593	1417.162	1451.538	1287.557	1353.649	1364.378	1362.298
unassigned_transcript_23	SAUSA300_RS00120	831.195	779.138	806.442	801.643	93.437	92.175	72.75	81.701	99.306	100.218	100.419	95.838	1388.139	1440.569	1548.843	1311.157	630.297	622.756	612.402	587.321	497.511	510.496	534.197	672.612	433.51	634.322	640.901	588.913	562.613	631.155	668.831	629.754
unassigned_transcript_24	SAUSA300_RS00125	184	214	207	189	107	103	105	80	104	115	95	97	112.977	96.001	106	88.319	101.878	101	108	103	98	98.049	96	116.149	105	137	124	111	65.149	80.011	77	80.08
unassigned_transcript_25	SAUSA300_RS00130	55	61	66	62	71	51	62	59	70	74	73	70	111.091	120.195	126.933	122.971	35	33	35	38	68	78	63	91	76.542	92	102	95	59	57	67	65
unassigned_transcript_26	SAUSA300_RS00135	125	138	137	128	272	270	218	216	249	216	214	255	242.076	257.132	223.416	239.072	102.024	112.453	85	85	220.566	208.511	199	264.066	200.788	278	259.221	298.232	205.59	234.001	209.814	244.992
unassigned_transcript_27	SAUSA300_RS00140	395	373	368	385.001	52	66	60	62	61	85	65	63	377.289	335.792	384.438	346.628	268.015	262.976	261	242	206	181	176.018	247.317	162	236	253.74	190	193.054	187.579	186	186
unassigned_transcript_28	SAUSA300_RS00145	22	37	27	19	12	9	10	8	11	4	8	8	34	20	37.264	23	23	17	25.621	28	20	31	36	36	34	41.015	29	30	31	34	27	27
unassigned_transcript_29	SAUSA300_RS14955	61	70	55	78	5	9	3	6	2	4	9	10	39.13	48	36.41	58.905	17	29	31	23	16	12	7	19	11	20	17	19	12	14	16	14
unassigned_transcript_30	SAUSA300_RS00155	390.156	409	419	416	73	89	67	74	83.195	64	75	62	308.268	304.273	313.734	297.357	166.74	198.081	156.998	160.003	105.797	107	120.178	141	97	137.722	132.017	122.007	98	105.526	105.206	90.432
unassigned_transcript_31	SAUSA300_RS00160	101.867	110	141	101.397	11	18	19	10	12.805	12	12	7	87.721	91.97	87.092	99.968	73.027	64	49	60.997	20.991	20	21.822	19.01	31	32.482	32.983	35.993	13	19	9	15
unassigned_transcript_32	SAUSA300_RS00165	7352.885	7090.648	7398.032	7283.532	880	865	823	884.972	826	892.005	838.974	830	10447.266	10502.228	10778.676	10330.589	8507.219	8542.275	8340.952	8335.13	6662.9	6462.757	6503.482	8102.142	6314.519	8315.556	8025.764	7944.608	5047.885	5219.765	5099.57	5055.078
unassigned_transcript_33	SAUSA300_RS00170	882.666	840.169	810.418	846.877	52.005	52.005	49.004	50	59.997	48.009	57.003	48	620.813	651.257	648.555	607.185	577.363	592.415	576.69	559.76	161.776	174.4	167.377	195.546	162.651	225.152	178.308	208.569	116.242	132.418	120.912	116.313
unassigned_transcript_34	SAUSA300_RS00175	400.334	364.012	345.698	400.123	119.995	97.995	112.996	126	116.003	120.991	116.997	118	276.054	342.16	325.021	358.156	271.69	288.911	248.628	292.97	261.224	268.6	238.623	291.454	274.213	302.851	289.738	314.224	250.726	319.591	262.958	276.992
unassigned_transcript_35	SAUSA300_RS00180	8	2	5	3	0	0	0	0	0	0	0	1	2	2	1	0	2.002	1	2	3	0	0	0	1	1	0	1	1	0	0	0	0
unassigned_transcript_36	SAUSA300_RS00185	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	1	0	2	2	0	2	1	0	1	0
unassigned_transcript_37	SAUSA300_RS00190	0	0	0	2	1	0	1	0	0	0	0	1	0	2	1	0	0	1	0	1	0	3	2	0	0	0	1	1	2	0	4	0
unassigned_transcript_38	SAUSA300_RS00195	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	2	0	1	0	1	0	0	1	3
unassigned_transcript_39	SAUSA300_RS00200	65	62	62	64	32	26	36	32	31	32	39	34	102.988	98.691	99.023	107	50.915	51	55.25	72.977	58	52	52.561	73.997	53	66.095	67	59	55	60	45	59.013
unassigned_transcript_40	SAUSA300_RS00205	10	10	12	15	5	1	5	6	4	6	9	6	31	28.309	30	19	16.085	12	13.75	8.023	11	10	19	22	16	15.905	13	20	21	26	22	22
unassigned_transcript_41	SAUSA300_RS00210	20	11	17	20	3	5	6	7	5	6	3	3	21	20	25	26	13	11	15	23	14	13	13	21	23	12	18	16	22	28	19	18
unassigned_transcript_42	SAUSA300_RS00215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_43	SAUSA300_RS00220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_44	SAUSA300_RS00225	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0
unassigned_transcript_45	SAUSA300_RS00235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_46	SAUSA300_RS15865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_47	SAUSA300_RS00240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_48	SAUSA300_RS00245	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_49	SAUSA300_RS14965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_50	SAUSA300_RS15870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_51	SAUSA300_RS00250	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_52	SAUSA300_RS00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_53	SAUSA300_RS00260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_54	SAUSA300_RS00265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_55	SAUSA300_RS00270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_56	SAUSA300_RS00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_57	SAUSA300_RS16055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_58	SAUSA300_RS00280	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_59	SAUSA300_RS00285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_60	SAUSA300_RS00290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_61	SAUSA300_RS00295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_62	SAUSA300_RS00300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_63	SAUSA300_RS14975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_64	SAUSA300_RS00305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_65	SAUSA300_RS00310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_66	SAUSA300_RS00315	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_67	SAUSA300_RS00320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_68	SAUSA300_RS00325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_69	SAUSA300_RS00330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_70	SAUSA300_RS00335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_71	SAUSA300_RS00340	0	1	0	0	0	2	0	1	1	3	1	0	0	0	0	0	15	8	7	17	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_72	SAUSA300_RS15955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_73	SAUSA300_RS14985	47	57	47.022	38	14	19	11	17	11	8	15	14	48	43	51	37	36	35.851	36	34.558	46	44	48	48	51	55	58	63	45	46.077	44	41
unassigned_transcript_74	SAUSA300_RS00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_75	SAUSA300_RS00360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
unassigned_transcript_76	SAUSA300_RS00365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_77	SAUSA300_RS00370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
unassigned_transcript_78	SAUSA300_RS00375	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_79	SAUSA300_RS00380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_80	SAUSA300_RS00385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_81	SAUSA300_RS00390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_82	SAUSA300_RS16060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_83	SAUSA300_RS00395	0	0	0	0	3	4	5	3	2	2	0	3	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0
unassigned_transcript_84	SAUSA300_RS00400	0	0	0	0	1	3	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_85	SAUSA300_RS00405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_86	SAUSA300_RS00410	0	0	0	0	1	0	4	1	1	1	0	0	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unassigned_transcript_87	SAUSA300_RS00415	429	422	435	404	36	43	33	28	33	46	37.487	42	449.192	412.617	424.917	434.727	186.835	200.195	208.903	202	123	129	141	145	128	156.686	143	157	83.01	94.761	97	99
unassigned_transcript_88	SAUSA300_RS00420	30	27	21	30	18	13	14	15	13	12	12	14	36.067	21.008	22.339	30	20	13	14	22	33	36.022	30	58.026	38	50.291	56	53	26	28	29	19.007
unassigned_transcript_89	SAUSA300_RS00425	0	0	0	0	0	0	1	0	1	0	0	0	1	1.992	0	0	0	0	0	0	0	0.978	0	0.974	0	0.709	0	0	0	0	0	0.993
unassigned_transcript_90	SAUSA300_RS00430	9	11.001	16.001	13	8	3	4	6	3	8	3	5.007	17.004	12	12	20	3	6	7	12	11	6	13	20	18	9.001	19.003	18	10	6	9	10.838
unassigned_transcript_91	SAUSA300_RS00435	4	4.999	7.999	5	0	1	0	0	0	0	1	0.993	4.996	6	4	8	2	3	3	9	5	7	2	12	7	11.999	3.997	8	4	2	5	4.162
unassigned_transcript_92	SAUSA300_RS00440	12	10	15.523	6	4	1	2	1	3	0	6	2	14	15.936	23	23	11	6	12	5	12	14	11	15	7	17.048	19.254	15	5.94	7.927	9	4
unassigned_transcript_93	SAUSA300_RS00445	21	25	23.477	17.386	5	7.018	5	9	5	5	4	4	45	37	33.017	28.355	26	27.024	19	37	24	26	19	32	18	32.952	39.854	30	43.645	29.947	31.181	37.381
unassigned_transcript_94	SAUSA300_RS15920	418	440	467.016	423.614	102	106.982	137	102.901	132	116	118	131	157.904	129.163	165.541	140.789	420.211	440.867	435.473	363.001	34	29	42	41	50	45	46.146	46	198.414	180.347	184.78	197.628
unassigned_transcript_95	SAUSA300_RS16100	13	22	12	22	1	0	0	5	1	0	1	0	6	4	4	5	16	24	32.035	20	7	4	5	4	8	11	8	10	2.462	8	5	3.78
unassigned_transcript_96	SAUSA300_RS00460	427	453	400	447.047	470	467	460	469	493	448	456	467	251.796	263.245	273.52	258.948	574.27	563.169	579.427	548.387	369.988	358	334	442	377.001	457	442.114	439.01	523.611	461.098	502.382	502.06
unassigned_transcript_97	SAUSA300_RS00465	5.998	3.026	5	7.998	1	1	3	3.181	1	1	1	1.001	1	3	0	3	0	0	0	2	1	3.089	1	0	1	0	0	1	0	2	0.993	0
unassigned_transcript_98	SAUSA300_RS00470	41.002	40.974	63	37.002	6	8	6	6.819	8	10	5	8.999	36.996	25	26	28	9	24	27	24	22	23.911	30	31	27	36	31	32	17	14	13.007	18
unassigned_transcript_99	SAUSA300_RS00475	14.337	9	6	13	4	1	2	0	0	3	0	1	21	24	20.237	17.021	10	11	13	6	2	5.968	3	7	3	5	4	4	1	4	4	4
unassigned_transcript_100	SAUSA300_RS00480	6.663	5	13	6	0	1	1	1	0	0	0	0	8	5.04	7.763	5	7	3	7	5.994	5	3.032	7	3	4	5	4	7	3	8	2	7
unassigned_transcript_101	SAUSA300_RS00485	38	26	48	34	3	5	5	4	3	1	4	4	36.283	29.023	36.188	25.053	23	21	23	26	11	12	8	9	10.014	7	13	12	6	2	11	11
unassigned_transcript_102	SAUSA300_RS00490	1	4	4	4	2	0	1	3	1	1	0	1	3.969	2	7	8	0	2	0	1	1	0	2	1	1	1	1	1	0	0	0	0
unassigned_transcript_103	SAUSA300_RS00495	17	9	14	9	2	4	2	1	2	2	3	1	9	7	9	15.475	14	12	12	12	9	7	5	8	7	3	8	9	5	4	8	5
unassigned_transcript_104	SAUSA300_RS00500	16	24	26	19	6	4	3	3	1	2	3	3	11.026	19	9	15	11	10	13	16	29	13	17	25	13	24.999	29	26	12	4	8	7
unassigned_transcript_105	SAUSA300_RS00505	172	182.038	162	149.106	50	44.541	26	36	37.002	37.37	42.139	44	287.89	263.391	310.598	303.047	248.894	253.258	282	194.934	229.319	210.333	225.251	266.304	201.013	276.585	298.535	251.219	233.054	230.139	239.649	213.554
unassigned_transcript_106	SAUSA300_RS00510	47	41.002	30	30.899	3	3.459	5	4	4.998	5.63	5.861	6	69.852	76.624	86.287	72.364	74.179	73.856	59	67.679	58.681	51.667	73.749	70.91	49.987	85.415	74.885	82.781	34.886	48.901	39.358	38.446
unassigned_transcript_107	SAUSA300_RS00515	68	56	64	85	16	14	13	14	12	12	8	10	52.005	47	56.017	59.6	54	56	66.081	51	18	33	28	48	30	36.022	30	37	210.031	275.902	256.022	230.891
unassigned_transcript_108	SAUSA300_RS00520	9	9	8	3.011	5	3	2	6	9	4	4	7	10.12	12	7	7.001	7	8	15	13	15.135	26	22.654	22.891	26	28.73	31	31.111	11.288	18	13.088	19
unassigned_transcript_109	SAUSA300_RS00525	3	6	4	3.989	0	0	0	1	0	0	1	1	2	6.008	10	4	10	5.342	3	9	16	6.091	7.333	5.109	8	8.746	14	7.889	3.712	0	4.769	3
unassigned_transcript_110	SAUSA300_RS00530	15	20	17	11.427	5	5	2	4	2	7	4	7	22.506	26.257	22	16	36.618	41.85	42.984	31.837	51	49.058	50.986	60.986	48	52.478	54	48	15.839	20	22.144	25
unassigned_transcript_111	SAUSA300_RS00535	25.983	29	20	28.897	3	6	7	5	5	4	5	6	26.724	33.743	25.992	26.092	61.123	52.729	47.016	49.163	55.937	55.258	63.027	75.184	52.739	74.522	75.877	63.109	31.161	26.457	29	24
unassigned_transcript_112	SAUSA300_RS00540	262.017	272	270	275.677	43	38	41	33	48	44	33	42	401.278	389.809	378.029	370.351	308.555	302.19	306.005	286.698	320.187	334.593	355	387.894	311.576	404.002	388.153	393	333.452	322.549	325.172	320
unassigned_transcript_113	SAUSA300_RS00545	210.68	208.352	245.214	214.645	167	157.479	165.826	178.616	179.211	183.835	175.556	142.614	45	43.364	38.066	49.665	257.465	275.136	242.633	275.348	38.042	42.104	47.03	67.065	49.534	62	77.073	58	115.557	110.397	120.038	136.094
unassigned_transcript_114	SAUSA300_RS00550	296.34	298.648	279.786	296.355	179	182.521	181.193	182.412	167.789	180.168	168.447	191.156	66.002	61.697	62.974	67	316.139	321.883	300.472	310.253	73.958	42.896	60.97	93.939	60.466	74	89.153	89	114.446	126.627	112.569	114
unassigned_transcript_115	SAUSA300_RS00555	936.406	938.986	927	935	345	385	336	344.971	338	389	327	352.556	1336.628	1367.671	1338.463	1332.103	659.39	700.303	671.53	662.828	395.968	438.091	417	492.842	419	538.534	572.005	483	567.298	587.777	631.297	636.74
unassigned_transcript_116	SAUSA300_RS00560	14486.904	13898.288	14322.649	14316.542	3470.191	3612.844	3675.459	3447	3485.019	3633.091	3488.018	3584.756	1248.989	1261.982	1318.382	1220.909	22085.322	22511.742	21880.464	21605.389	1749.092	1660.249	1681.985	2006.058	1664.006	2036.137	2139.61	1982.646	2571.901	2716.426	2555.565	2569.428
unassigned_transcript_117	SAUSA300_RS00565	2	1	0	2	0	0	0	0	0	0	0	0	1	0	1	0	1	2	2	1	2	1.015	0	0	0	0	1	2	0	1	0	0
