gene_id	gene_name	USA500_NRS385_Biofilm_10h_1	USA500_NRS385_Biofilm_10h_2	USA500_NRS385_Biofilm_10h_3	USA500_NRS385_Biofilm_10h_4	USA500_NRS385_Biofilm_24h_1	USA500_NRS385_Biofilm_24h_2	USA500_NRS385_Biofilm_24h_3	USA500_NRS385_Biofilm_24h_4	USA500_NRS385_Biofilm_24h_5	USA500_NRS385_Biofilm_24h_6	USA500_NRS385_Biofilm_24h_7	USA500_NRS385_Biofilm_24h_8	USA500_NRS385_Biofilm_5h_1	USA500_NRS385_Biofilm_5h_2	USA500_NRS385_Biofilm_5h_3	USA500_NRS385_Biofilm_5h_4	USA500_NRS385_Planktonic_10h_1	USA500_NRS385_Planktonic_10h_2	USA500_NRS385_Planktonic_10h_3	USA500_NRS385_Planktonic_10h_4	USA500_NRS385_Planktonic_24h_1	USA500_NRS385_Planktonic_24h_2	USA500_NRS385_Planktonic_24h_3	USA500_NRS385_Planktonic_24h_4	USA500_NRS385_Planktonic_24h_5	USA500_NRS385_Planktonic_24h_6	USA500_NRS385_Planktonic_24h_7	USA500_NRS385_Planktonic_24h_8	USA500_NRS385_Planktonic_5h_1	USA500_NRS385_Planktonic_5h_2	USA500_NRS385_Planktonic_5h_3	USA500_NRS385_Planktonic_5h_4
SAUSA300_RS00010	SAUSA300_RS00010	164.212437	166.608005	164.67128	163.156551	71.711204	70.382191	67.287277	71.081485	71.037021	70.981518	68.717196	69.17737	456.330759	455.827002	452.418887	459.697064	171.025365	178.609249	174.28015	177.740525	281.096625	272.210707	294.541559	287.987895	298.579122	292.889468	288.320475	298.135712	166.899032	178.780674	177.287695	169.567883
SAUSA300_RS00015	SAUSA300_RS00015	237.482369	241.838585	241.30441	240.479886	70.464741	63.945205	71.436749	65.104869	66.265801	68.59465	68.388736	69.764168	466.55323	442.257255	459.399017	439.679946	194.480164	202.44275	197.093468	199.359157	260.765808	255.086966	256.741628	260.501267	263.966396	263.349316	266.118778	257.331614	122.768634	118.497217	124.042087	106.903372
SAUSA300_RS00020	SAUSA300_RS00020	529.642582	573.391416	546.001521	538.478397	184.215318	208.944155	191.774316	202.152011	182.584548	169.955524	179.473374	181.481394	513.810236	567.379005	462.597228	548.405174	333.931019	319.23619	378.344294	369.332387	339.31761	333.461775	386.565548	330.723022	375.049847	366.952998	348.961267	354.761499	580.135164	565.878819	597.583476	578.501739
SAUSA300_RS00025	SAUSA300_RS00025	249.360159	239.754797	240.18638	245.746736	96.595608	105.186052	96.804238	94.159174	94.349551	89.699116	95.728998	98.130505	240.106244	234.789725	224.485402	241.156063	154.852024	157.638261	150.433623	151.859516	260.765827	255.372998	264.405979	284.451628	281.619199	272.149362	280.904673	262.182295	142.3565	150.527873	149.700746	145.493395
SAUSA300_RS00030	SAUSA300_RS00030	211.307765	217.24225	213.89967	208.609483	111.979102	113.175032	111.159466	111.599285	116.929511	113.132571	113.528203	110.026237	184.038507	176.199009	180.609053	184.388242	98.789516	97.481361	94.541679	103.216998	357.645118	360.493273	354.360663	347.664758	357.874821	366.861685	350.508799	335.316082	129.655132	141.297968	135.412586	130.007389
SAUSA300_RS00035	SAUSA300_RS00035	108.227701	109.227679	105.273972	104.026865	42.175838	41.314615	43.562194	42.013114	42.147897	41.408405	41.49617	42.41572	169.022469	174.129284	173.911914	168.481473	99.056939	104.395022	100.859209	101.586065	227.967867	221.40681	231.740774	229.024303	222.991814	220.905259	225.413514	223.396606	99.082781	113.114716	109.395505	99.819695
SAUSA300_RS00040	SAUSA300_RS00040	38.622227	41.68328	37.314248	32.122464	21.860169	24.386034	22.777903	21.368786	18.327502	22.701495	20.733691	19.825247	28.525899	27.170356	27.556033	19.136222	34.644305	33.286016	32.873991	33.613782	88.625094	94.472609	87.454009	80.554276	98.407058	86.569341	74.787172	92.918912	84.271127	87.765078	86.271906	88.679216
SAUSA300_RS00045	SAUSA300_RS00045	19.440245	16.721349	18.215227	16.605815	15.160222	16.490302	16.239682	17.545923	16.999226	15.495969	15.266792	15.520732	60.668237	58.540745	59.720325	62.790215	15.778327	16.561613	13.252777	16.129026	17.032719	23.817283	23.26345	21.824072	24.688378	22.618049	24.385867	21.222056	15.037811	15.8663	16.786889	18.074061
SAUSA300_RS00050	SAUSA300_RS00050	67.278515	69.247387	67.165441	65.969671	33.085727	40.256791	38.77269	38.891164	38.468978	37.566451	38.615025	36.896366	68.932573	69.598467	76.740684	77.234734	110.922427	125.952731	120.58884	121.076247	286.477674	290.000719	276.158018	287.62304	296.00046	300.217249	297.41762	289.038822	201.950454	204.894105	216.677525	199.875558
SAUSA300_RS00055	SAUSA300_RS00055	4.840637	6.00028	4.502605	7.19275	0.63596	1.599791	1.560644	1.906522	0.95774	0.351413	1.560501	1.239795	8.01321	9.879932	9.812171	12.062828	4.847864	6.74495	4.506562	4.501043	14.999581	7.342012	12.036844	11.154371	14.471076	15.0842	13.484337	9.26853	10.82765	12.056584	12.132307	11.194062
SAUSA300_RS00060	SAUSA300_RS00060	12.926715	6.62752	8.716847	17.615985	4.788985	4.682738	2.927727	3.967987	0.996235	3.689896	3.896113	1.936549	22.915516	24.164549	31.01587	36.63277	10.235046	6.828771	9.103117	17.805215	30.453531	35.87797	41.092533	40.126357	30.271242	30.213708	35.710495	35.73278	31.081984	47.639038	26.22645	38.694004
SAUSA300_RS00065	SAUSA300_RS00065	5.720855	6.029519	5.949853	6.218248	4.100483	4.302296	4.127726	2.942569	2.956438	4.466259	4.335737	5.53457	12.299019	15.500821	14.888688	15.365387	7.646625	6.059782	6.577899	6.679244	19.735788	16.197003	14.168284	15.823858	17.708197	19.117249	17.541577	18.36955	20.715621	22.135292	21.484155	18.448832
SAUSA300_RS00070	SAUSA300_RS00070	107.66578	102.262235	110.97509	107.922212	24.680732	18.18427	17.623169	20.979171	19.274482	16.157501	21.543481	24.335426	133.063316	140.269653	134.768683	128.993947	88.7683	94.351565	87.303787	93.545986	119.99153	119.890177	111.292755	121.21411	124.27963	112.261576	113.468465	120.452709	73.917187	74.227822	75.392137	71.667476
