sample,fastq_1,fastq_2,strandedness,seq_platform,sample_title_ena_metadata
USA500_NRS385_Planktonic_5h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251259_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251259_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 5 hour
USA500_NRS385_Planktonic_5h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251256_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251256_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 5 hour
USA500_NRS385_Planktonic_5h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251257_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251257_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 5 hour
USA500_NRS385_Planktonic_5h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251258_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251258_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 5 hour
USA500_NRS385_Planktonic_24h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251372_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251372_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
USA500_NRS385_Planktonic_24h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251373_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251373_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
USA500_NRS385_Planktonic_24h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251374_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251374_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
USA500_NRS385_Planktonic_24h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251377_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251377_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
USA500_NRS385_Planktonic_24h_5,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251375_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251375_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
USA500_NRS385_Planktonic_24h_6,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251376_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251376_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
