sample,fastq_1,fastq_2,strandedness,seq_platform,sample_title_ena_metadata
USA500_NRS385_Planktonic_24h_7,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251378_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251378_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
USA500_NRS385_Planktonic_24h_8,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251379_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251379_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 24 hour
USA500_NRS385_Planktonic_10h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251297_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251297_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 10 hour
USA500_NRS385_Planktonic_10h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251296_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251296_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 10 hour
USA500_NRS385_Planktonic_10h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251298_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251298_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 10 hour
USA500_NRS385_Planktonic_10h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251299_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251299_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Planktonic 10 hour
USA500_NRS385_Biofilm_5h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251237_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251237_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 5 hour
USA500_NRS385_Biofilm_5h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251238_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251238_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 5 hour
USA500_NRS385_Biofilm_5h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251236_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251236_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 5 hour
USA500_NRS385_Biofilm_5h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251239_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251239_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 5 hour
USA500_NRS385_Biofilm_24h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251332_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251332_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_24h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251333_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251333_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_24h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251334_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251334_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_24h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251335_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251335_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_24h_5,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251339_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251339_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_24h_6,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251336_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251336_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_24h_7,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251337_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251337_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_24h_8,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251338_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251338_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 24 hour
USA500_NRS385_Biofilm_10h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251277_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251277_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 10 hour
USA500_NRS385_Biofilm_10h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251279_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251279_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 10 hour
USA500_NRS385_Biofilm_10h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251276_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251276_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 10 hour
USA500_NRS385_Biofilm_10h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251278_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251278_2.fastq.gz,auto,ILLUMINA,USA500 NRS385 Biofilm 10 hour
