transcript_id	gene_id	gene_name
unassigned_transcript_1	SAUSA300_RS00010	SAUSA300_RS00010
unassigned_transcript_2	SAUSA300_RS00015	SAUSA300_RS00015
unassigned_transcript_3	SAUSA300_RS00020	SAUSA300_RS00020
unassigned_transcript_4	SAUSA300_RS00025	SAUSA300_RS00025
unassigned_transcript_5	SAUSA300_RS00030	SAUSA300_RS00030
unassigned_transcript_6	SAUSA300_RS00035	SAUSA300_RS00035
unassigned_transcript_7	SAUSA300_RS00040	SAUSA300_RS00040
unassigned_transcript_8	SAUSA300_RS00045	SAUSA300_RS00045
unassigned_transcript_9	SAUSA300_RS00050	SAUSA300_RS00050
unassigned_transcript_10	SAUSA300_RS00055	SAUSA300_RS00055
unassigned_transcript_11	SAUSA300_RS00060	SAUSA300_RS00060
unassigned_transcript_12	SAUSA300_RS00065	SAUSA300_RS00065
unassigned_transcript_13	SAUSA300_RS00070	SAUSA300_RS00070
unassigned_transcript_14	SAUSA300_RS00075	SAUSA300_RS00075
unassigned_transcript_15	SAUSA300_RS00080	SAUSA300_RS00080
unassigned_transcript_16	SAUSA300_RS00085	SAUSA300_RS00085
unassigned_transcript_17	SAUSA300_RS00090	SAUSA300_RS00090
unassigned_transcript_18	SAUSA300_RS00095	SAUSA300_RS00095
unassigned_transcript_19	SAUSA300_RS00100	SAUSA300_RS00100
unassigned_transcript_20	SAUSA300_RS00105	SAUSA300_RS00105
unassigned_transcript_21	SAUSA300_RS00110	SAUSA300_RS00110
unassigned_transcript_22	SAUSA300_RS00115	SAUSA300_RS00115
unassigned_transcript_23	SAUSA300_RS00120	SAUSA300_RS00120
unassigned_transcript_24	SAUSA300_RS00125	SAUSA300_RS00125
unassigned_transcript_25	SAUSA300_RS00130	SAUSA300_RS00130
unassigned_transcript_26	SAUSA300_RS00135	SAUSA300_RS00135
unassigned_transcript_27	SAUSA300_RS00140	SAUSA300_RS00140
unassigned_transcript_28	SAUSA300_RS00145	SAUSA300_RS00145
unassigned_transcript_29	SAUSA300_RS14955	SAUSA300_RS14955
unassigned_transcript_30	SAUSA300_RS00155	SAUSA300_RS00155
unassigned_transcript_31	SAUSA300_RS00160	SAUSA300_RS00160
unassigned_transcript_32	SAUSA300_RS00165	SAUSA300_RS00165
unassigned_transcript_33	SAUSA300_RS00170	SAUSA300_RS00170
unassigned_transcript_34	SAUSA300_RS00175	SAUSA300_RS00175
unassigned_transcript_35	SAUSA300_RS00180	SAUSA300_RS00180
unassigned_transcript_36	SAUSA300_RS00185	SAUSA300_RS00185
unassigned_transcript_37	SAUSA300_RS00190	SAUSA300_RS00190
unassigned_transcript_38	SAUSA300_RS00195	SAUSA300_RS00195
unassigned_transcript_39	SAUSA300_RS00200	SAUSA300_RS00200
unassigned_transcript_40	SAUSA300_RS00205	SAUSA300_RS00205
unassigned_transcript_41	SAUSA300_RS00210	SAUSA300_RS00210
unassigned_transcript_42	SAUSA300_RS00215	SAUSA300_RS00215
unassigned_transcript_43	SAUSA300_RS00220	SAUSA300_RS00220
unassigned_transcript_44	SAUSA300_RS00225	SAUSA300_RS00225
unassigned_transcript_45	SAUSA300_RS00235	SAUSA300_RS00235
unassigned_transcript_46	SAUSA300_RS15865	SAUSA300_RS15865
unassigned_transcript_47	SAUSA300_RS00240	SAUSA300_RS00240
unassigned_transcript_48	SAUSA300_RS00245	SAUSA300_RS00245
unassigned_transcript_49	SAUSA300_RS14965	SAUSA300_RS14965
unassigned_transcript_50	SAUSA300_RS15870	SAUSA300_RS15870
unassigned_transcript_51	SAUSA300_RS00250	SAUSA300_RS00250
unassigned_transcript_52	SAUSA300_RS00255	SAUSA300_RS00255
unassigned_transcript_53	SAUSA300_RS00260	SAUSA300_RS00260
unassigned_transcript_54	SAUSA300_RS00265	SAUSA300_RS00265
unassigned_transcript_55	SAUSA300_RS00270	SAUSA300_RS00270
unassigned_transcript_56	SAUSA300_RS00275	SAUSA300_RS00275
unassigned_transcript_57	SAUSA300_RS16055	SAUSA300_RS16055
unassigned_transcript_58	SAUSA300_RS00280	SAUSA300_RS00280
unassigned_transcript_59	SAUSA300_RS00285	SAUSA300_RS00285
unassigned_transcript_60	SAUSA300_RS00290	SAUSA300_RS00290
unassigned_transcript_61	SAUSA300_RS00295	SAUSA300_RS00295
unassigned_transcript_62	SAUSA300_RS00300	SAUSA300_RS00300
unassigned_transcript_63	SAUSA300_RS14975	SAUSA300_RS14975
unassigned_transcript_64	SAUSA300_RS00305	SAUSA300_RS00305
unassigned_transcript_65	SAUSA300_RS00310	SAUSA300_RS00310
unassigned_transcript_66	SAUSA300_RS00315	SAUSA300_RS00315
unassigned_transcript_67	SAUSA300_RS00320	SAUSA300_RS00320
unassigned_transcript_68	SAUSA300_RS00325	SAUSA300_RS00325
unassigned_transcript_69	SAUSA300_RS00330	SAUSA300_RS00330
unassigned_transcript_70	SAUSA300_RS00335	SAUSA300_RS00335
unassigned_transcript_71	SAUSA300_RS00340	SAUSA300_RS00340
unassigned_transcript_72	SAUSA300_RS15955	SAUSA300_RS15955
unassigned_transcript_73	SAUSA300_RS14985	SAUSA300_RS14985
unassigned_transcript_74	SAUSA300_RS00355	SAUSA300_RS00355
unassigned_transcript_75	SAUSA300_RS00360	SAUSA300_RS00360
unassigned_transcript_76	SAUSA300_RS00365	SAUSA300_RS00365
unassigned_transcript_77	SAUSA300_RS00370	SAUSA300_RS00370
unassigned_transcript_78	SAUSA300_RS00375	SAUSA300_RS00375
unassigned_transcript_79	SAUSA300_RS00380	SAUSA300_RS00380
unassigned_transcript_80	SAUSA300_RS00385	SAUSA300_RS00385
unassigned_transcript_81	SAUSA300_RS00390	SAUSA300_RS00390
unassigned_transcript_82	SAUSA300_RS16060	SAUSA300_RS16060
unassigned_transcript_83	SAUSA300_RS00395	SAUSA300_RS00395
unassigned_transcript_84	SAUSA300_RS00400	SAUSA300_RS00400
unassigned_transcript_85	SAUSA300_RS00405	SAUSA300_RS00405
unassigned_transcript_86	SAUSA300_RS00410	SAUSA300_RS00410
unassigned_transcript_87	SAUSA300_RS00415	SAUSA300_RS00415
unassigned_transcript_88	SAUSA300_RS00420	SAUSA300_RS00420
unassigned_transcript_89	SAUSA300_RS00425	SAUSA300_RS00425
unassigned_transcript_90	SAUSA300_RS00430	SAUSA300_RS00430
unassigned_transcript_91	SAUSA300_RS00435	SAUSA300_RS00435
unassigned_transcript_92	SAUSA300_RS00440	SAUSA300_RS00440
unassigned_transcript_93	SAUSA300_RS00445	SAUSA300_RS00445
unassigned_transcript_94	SAUSA300_RS15920	SAUSA300_RS15920
unassigned_transcript_95	SAUSA300_RS16100	SAUSA300_RS16100
unassigned_transcript_96	SAUSA300_RS00460	SAUSA300_RS00460
unassigned_transcript_97	SAUSA300_RS00465	SAUSA300_RS00465
unassigned_transcript_98	SAUSA300_RS00470	SAUSA300_RS00470
unassigned_transcript_99	SAUSA300_RS00475	SAUSA300_RS00475
unassigned_transcript_100	SAUSA300_RS00480	SAUSA300_RS00480
unassigned_transcript_101	SAUSA300_RS00485	SAUSA300_RS00485
unassigned_transcript_102	SAUSA300_RS00490	SAUSA300_RS00490
unassigned_transcript_103	SAUSA300_RS00495	SAUSA300_RS00495
unassigned_transcript_104	SAUSA300_RS00500	SAUSA300_RS00500
unassigned_transcript_105	SAUSA300_RS00505	SAUSA300_RS00505
unassigned_transcript_106	SAUSA300_RS00510	SAUSA300_RS00510
unassigned_transcript_107	SAUSA300_RS00515	SAUSA300_RS00515
unassigned_transcript_108	SAUSA300_RS00520	SAUSA300_RS00520
unassigned_transcript_109	SAUSA300_RS00525	SAUSA300_RS00525
unassigned_transcript_110	SAUSA300_RS00530	SAUSA300_RS00530
unassigned_transcript_111	SAUSA300_RS00535	SAUSA300_RS00535
unassigned_transcript_112	SAUSA300_RS00540	SAUSA300_RS00540
unassigned_transcript_113	SAUSA300_RS00545	SAUSA300_RS00545
unassigned_transcript_114	SAUSA300_RS00550	SAUSA300_RS00550
unassigned_transcript_115	SAUSA300_RS00555	SAUSA300_RS00555
unassigned_transcript_116	SAUSA300_RS00560	SAUSA300_RS00560
unassigned_transcript_117	SAUSA300_RS00565	SAUSA300_RS00565
unassigned_transcript_118	SAUSA300_RS00570	SAUSA300_RS00570
unassigned_transcript_119	SAUSA300_RS00575	SAUSA300_RS00575
unassigned_transcript_120	SAUSA300_RS00580	SAUSA300_RS00580
unassigned_transcript_121	SAUSA300_RS00585	SAUSA300_RS00585
unassigned_transcript_122	SAUSA300_RS00590	SAUSA300_RS00590
