pathway	pval	padj	log2err	ES	NES	size	source
2-Oxocarboxylic acid metabolism [KEGG]	0.0952380952380952	0.387301587301587	0.181383128498408	-0.617393772099204	-1.35149543712926	29	KEGG
4 iron, 4 sulfur cluster binding [GO:MF]	0.988425925925926	1	0.0529129848430583	0.231633881999505	0.457648287855893	10	GO:MF
ABC transporters [KEGG]	0.36094674556213	0.676089133117564	0.080419996876154	-0.413026867373485	-1.06631081467808	73	KEGG
ABC-type transporter activity [GO:MF]	0.43217665615142	0.684747429226924	0.0743625384422526	-0.414910553460653	-1.02926348936162	60	GO:MF
ATP binding [GO:MF]	0.000127415539997684	0.00310893917594349	0.518848077743792	-0.600460390060653	-1.69513716847343	145	GO:MF
ATP hydrolysis activity [GO:MF]	0.141945773524721	0.477920227920228	0.14641623786055	-0.53534673446231	-1.27559185079918	47	GO:MF
ATPase-coupled transmembrane transporter activity [GO:MF]	0.371294851794072	0.676089133117564	0.0817515582532145	-0.431807301391679	-1.06853707911001	58	GO:MF
Alanine, aspartate and glutamate metabolism [KEGG]	0.308724832214765	0.657937897867845	0.096240602328129	-0.558186646490741	-1.14898683281947	20	KEGG
Amino sugar and nucleotide sugar metabolism [KEGG]	0.316129032258064	0.657937897867845	0.0925528864684773	-0.533061834395517	-1.14300350066723	25	KEGG
Aminoacyl-tRNA biosynthesis [KEGG]	0.00342811790515803	0.0278820256286187	0.431707695803346	-0.686532787885619	-1.64851291266396	50	KEGG
Arginine and proline metabolism [KEGG]	0.0028365101379221	0.0248071329370942	0.431707695803346	0.867644035193434	1.71423888313326	10	KEGG
Arginine biosynthesis [KEGG]	0.102348993288591	0.39264950166113	0.179782316298324	-0.674088338642909	-1.38317821273436	19	KEGG
Bacterial secretion system [KEGG]	0.67719298245614	0.819748758399065	0.057609110864425	-0.446099938573053	-0.84353377502624	12	KEGG
Base excision repair [KEGG]	0.889473684210526	0.943615560640732	0.0450442767152794	-0.341862571701109	-0.633647599097905	10	KEGG
Biosynthesis of amino acids [KEGG]	0.411851851851852	0.684747429226924	0.0736212741014394	-0.391641913220753	-1.03804846855734	89	KEGG
Biosynthesis of cofactors [KEGG]	0.000258412568305646	0.00525438888888148	0.49849310876659	-0.632796248090184	-1.72709648494762	107	KEGG
Biosynthesis of nucleotide sugars [KEGG]	0.885382059800664	0.943615560640732	0.0427591434738678	-0.3221079103053	-0.668522847735778	21	KEGG
Biosynthesis of secondary metabolites [KEGG]	0.00162791684141558	0.0248071329370942	0.45505986738723	-0.49622160388903	-1.47108442922782	257	KEGG
Biosynthesis of various nucleotide sugars [KEGG]	0.997685185185185	1	0.0524827622635459	0.199736611062335	0.394627579030133	10	KEGG
Butanoate metabolism [KEGG]	0.642248722316865	0.816191084611017	0.0587185879555941	-0.434196784583381	-0.872881164410617	17	KEGG
Carbon fixation by Calvin cycle [KEGG]	0.747368421052632	0.836504104297441	0.0530212512043078	-0.406684582087567	-0.769002976935215	12	KEGG
Carbon metabolism [KEGG]	0.431578947368421	0.684747429226924	0.072003313661988	-0.39334223270247	-1.02070110914504	79	KEGG
