gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SA_RS00005	815.3295263226332	1.6764656697459017	0.03809063326492864	0	0	Up in biofilm
SA_RS00060	583.7547821935499	2.1451216399260735	0.04675787363791456	0	0	Up in biofilm
SA_RS00085	427.66872316223623	-2.965947938247019	0.0657587064611868	0	0	Down in biofilm
SA_RS00155	332.75911774837704	2.586779268211129	0.06675627588029007	0	0	Up in biofilm
SA_RS00160	1502.8125599802177	1.8805936923118245	0.027002292831147887	0	0	Up in biofilm
SA_RS00210	2093.9770397721472	-1.4553722850686082	0.021811023051623246	0	0	Not significant
SA_RS00220	1452.1105084205155	-2.0353822165949405	0.029117608991862748	0	0	Down in biofilm
SA_RS00240	1267.6558031870807	1.31046626281051	0.027593062656399017	0	0	Not significant
SA_RS00265	505.4841445179289	-2.0574862127888536	0.051431994296223735	0	0	Down in biofilm
SA_RS00305	11557.306067975132	-1.640299302184577	0.010685880332331376	0	0	Down in biofilm
SA_RS00310	12674.00112632573	-1.213598005823845	0.009078250948490475	0	0	Not significant
SA_RS00665	9003.998641284305	3.566230364851256	0.016349806579009155	0	0	Up in biofilm
SA_RS00690	58259.587547672076	-2.880979011208563	0.009079139782223066	0	0	Down in biofilm
SA_RS00980	2125.8075975322477	1.0323699048675128	0.02103210024919559	0	0	Not significant
SA_RS01110	1334.9052498852834	-2.014737495565144	0.031458965118781164	0	0	Down in biofilm
SA_RS01205	457.2515935292066	3.191634753245511	0.0658534398462534	0	0	Up in biofilm
SA_RS01275	61939.749645751275	1.4379310245591472	0.004901084051644044	0	0	Not significant
SA_RS01280	27950.541273223727	0.6307860457713681	0.006131637815882462	0	0	Not significant
SA_RS01355	1242.8647604550786	1.4792968396415234	0.027503997002053637	0	0	Not significant
SA_RS01365	4523.072844857442	-1.1473574388765364	0.014854842428274053	0	0	Not significant
SA_RS01480	354.75916220022253	3.037328662782292	0.07066023373073388	0	0	Up in biofilm
SA_RS01590	1083.4331044026135	-3.160086473296311	0.0427857861766295	0	0	Down in biofilm
SA_RS01720	725.1424212591309	2.7815676531551476	0.04704893837316345	0	0	Up in biofilm
SA_RS01730	463.10714717836066	-1.9909274617302277	0.052228480938675347	0	0	Down in biofilm
SA_RS01865	1423.0988896001152	-2.5648445924776215	0.0320314480711662	0	0	Down in biofilm
