gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SA_RS00010	546.580526160179	-1.2235335883081742	0.06605236138797843	1875.1933608882264	0	0
SA_RS00060	456.7298394466272	2.476470886539745	0.07678947501957255	1563.0382030963438	0	0
SA_RS00160	1273.8912450289133	2.035312066397078	0.043323517336326084	2382.8267767937486	0	0
SA_RS00210	1800.2680892933695	-1.0343457393183961	0.03253669249180978	1508.6818104360027	0	0
SA_RS00305	7942.339571619542	-0.9675484635599682	0.018394748807825288	12714.302585407377	0	0
SA_RS00310	8543.507191334184	-0.6281215093878576	0.017920194746813837	11741.84368690529	0	0
SA_RS00665	9942.562183737473	2.853633815411914	0.021751733934846237	21528.286015803333	0	0
SA_RS00690	53100.329642960445	-1.195139996325694	0.01672499469230263	12409.783494543695	0	0
SA_RS00770	884.0242130994274	1.7259344141825121	0.050010761475781866	2155.0123447644596	0	0
SA_RS00980	2685.029045876096	-2.0640743553440037	0.03582939950142986	3752.4431218730138	0	0
SA_RS01085	1556.6793675738859	-2.0495734108432564	0.04343827498205915	2683.95209735571	0	0
SA_RS01110	1050.9627676165296	-1.9756452858153528	0.049661772614557044	1803.9729496184973	0	0
SA_RS01205	416.4623398328734	2.460289577239499	0.09213447739342877	2675.011563507159	0	0
SA_RS01275	76022.64120877294	2.570920825749724	0.007439879548634035	128918.98634608967	0	0
SA_RS01280	33707.30740461025	2.0245089327624655	0.010128890581192419	49537.70575361653	0	0
SA_RS01355	1762.6018700314887	2.4055368190537383	0.03393297027389054	5309.944219684357	0	0
SA_RS01480	604.9733548530558	0.4922636183200185	0.08256054246222747	2064.87847708628	0	0
SA_RS01485	2205.2223322535915	-1.6281641787177932	0.03367438172733821	7612.919034969924	0	0
SA_RS01560	239.50209273516523	-3.4617466403479744	0.09822270751562812	1639.9064702891956	0	0
SA_RS01865	953.8184234519277	-2.4624300923224856	0.05778934007128964	2405.427591354776	0	0
SA_RS02010	540.6785075744136	5.227661802668109	0.13750857947389425	3299.5047125414508	0	0
SA_RS02020	1638.9034022413148	-1.824307476897302	0.04138736367095639	4433.779356441133	0	0
SA_RS02025	726.4536322065667	-2.992829242676693	0.0711763558485029	3027.784746376131	0	0
SA_RS02060	4099.2992696383735	-0.26234352731198984	0.0244900348538571	9054.930690665276	0	0
SA_RS02090	9768.692071446474	-1.6993798579590254	0.021717101640685934	6082.357465771252	0	0
SA_RS02095	6213.891558940071	-1.9713781052848842	0.025314628679368123	6115.8572305803855	0	0
SA_RS02130	2076.713366418513	2.1150678962593883	0.054651019201339676	3289.777050186948	0	0
SA_RS02145	3276.812293593872	-0.9245547975658018	0.02789502417575616	1986.0043891160265	0	0
SA_RS02355	1143.9506915674178	-3.0773971143187344	0.05259985001258204	3953.7645147372627	0	0
SA_RS02410	2356.688704284895	-1.3798754240050881	0.02843094107210558	4671.558792502588	0	0
SA_RS02505	1771.0727996218382	-2.3536386632581054	0.21021572786269116	3800.3888027918624	0	0
SA_RS02520	12456.252804613134	-2.6302161006365448	0.1406046308137098	7160.029601643715	0	0
SA_RS02620	4101.288078026175	2.0038811963985768	0.02771324714032335	5079.723346271232	0	0
SA_RS02625	4790.454609478696	1.021457706114706	0.02467838387225625	1956.282814963948	0	0
SA_RS02635	1302.682827586801	-1.164059896055223	0.041370748363962886	2694.7557608301977	0	0
SA_RS02650	3227.7137890762865	-1.1503086360174783	0.028092014720428927	2841.1524181068316	0	0
