ontology_id	ontology_name	nr_common_with_tested_elements	nr_common_with_background_elements	p_value	eFDR	source	direction
sau00010	Glycolysis / Gluconeogenesis	3	38	0.485672396695654	1	KEGG	Up-biofilm
sau00020	Citrate cycle (TCA cycle)	0	22	1	1	KEGG	Up-biofilm
sau00030	Pentose phosphate pathway	2	21	0.424886426382101	1	KEGG	Up-biofilm
sau00040	Pentose and glucuronate interconversions	0	8	1	1	KEGG	Up-biofilm
sau00051	Fructose and mannose metabolism	2	15	0.272694174314892	1	KEGG	Up-biofilm
sau00052	Galactose metabolism	0	13	1	1	KEGG	Up-biofilm
sau00053	Ascorbate and aldarate metabolism	1	5	0.297709451294165	1	KEGG	Up-biofilm
sau00061	Fatty acid biosynthesis	0	14	1	1	KEGG	Up-biofilm
sau00071	Fatty acid degradation	1	8	0.432115949369854	1	KEGG	Up-biofilm
sau00130	Ubiquinone and other terpenoid-quinone biosynthesis	0	9	1	1	KEGG	Up-biofilm
sau00190	Oxidative phosphorylation	0	21	1	1	KEGG	Up-biofilm
sau00220	Arginine biosynthesis	0	19	1	1	KEGG	Up-biofilm
sau00230	Purine metabolism	1	44	0.9566231632469	1	KEGG	Up-biofilm
sau00240	Pyrimidine metabolism	1	27	0.853098066187475	1	KEGG	Up-biofilm
sau00250	Alanine, aspartate and glutamate metabolism	0	20	1	1	KEGG	Up-biofilm
sau00260	Glycine, serine and threonine metabolism	1	28	0.863233714871577	1	KEGG	Up-biofilm
sau00261	Monobactam biosynthesis	0	5	1	1	KEGG	Up-biofilm
sau00270	Cysteine and methionine metabolism	0	25	1	1	KEGG	Up-biofilm
sau00280	Valine, leucine and isoleucine degradation	1	11	0.540932375301772	1	KEGG	Up-biofilm
sau00290	Valine, leucine and isoleucine biosynthesis	0	7	1	1	KEGG	Up-biofilm
sau00300	Lysine biosynthesis	0	12	1	1	KEGG	Up-biofilm
sau00310	Lysine degradation	1	8	0.432115949369854	1	KEGG	Up-biofilm
sau00330	Arginine and proline metabolism	1	10	0.50718376575751	1	KEGG	Up-biofilm
sau00340	Histidine metabolism	2	13	0.220671078502312	1	KEGG	Up-biofilm
sau00362	Benzoate degradation	0	6	1	1	KEGG	Up-biofilm
sau00380	Tryptophan metabolism	1	8	0.432115949369854	1	KEGG	Up-biofilm
sau00400	Phenylalanine, tyrosine and tryptophan biosynthesis	0	13	1	1	KEGG	Up-biofilm
sau00410	beta-Alanine metabolism	1	5	0.297709451294165	1	KEGG	Up-biofilm
sau00430	Taurine and hypotaurine metabolism	0	6	1	1	KEGG	Up-biofilm
sau00450	Selenocompound metabolism	0	6	1	1	KEGG	Up-biofilm
sau00470	D-Amino acid metabolism	1	11	0.540932375301772	1	KEGG	Up-biofilm
sau00480	Glutathione metabolism	0	8	1	1	KEGG	Up-biofilm
sau00500	Starch and sucrose metabolism	0	15	1	1	KEGG	Up-biofilm
sau00520	Amino sugar and nucleotide sugar metabolism	0	25	1	1	KEGG	Up-biofilm
sau00541	Biosynthesis of various nucleotide sugars	0	10	1	1	KEGG	Up-biofilm
sau00550	Peptidoglycan biosynthesis	1	27	0.853098066187475	1	KEGG	Up-biofilm
sau00552	Teichoic acid biosynthesis	1	22	0.790078627221695	1	KEGG	Up-biofilm
sau00561	Glycerolipid metabolism	1	16	0.678171589571116	1	KEGG	Up-biofilm
sau00562	Inositol phosphate metabolism	0	5	1	1	KEGG	Up-biofilm
sau00564	Glycerophospholipid metabolism	0	20	1	1	KEGG	Up-biofilm
sau00620	Pyruvate metabolism	2	42	0.792933554078675	1	KEGG	Up-biofilm
sau00630	Glyoxylate and dicarboxylate metabolism	0	22	1	1	KEGG	Up-biofilm
sau00640	Propanoate metabolism	0	26	1	1	KEGG	Up-biofilm
sau00650	Butanoate metabolism	0	17	1	1	KEGG	Up-biofilm
sau00660	C5-Branched dibasic acid metabolism	0	6	1	1	KEGG	Up-biofilm
sau00670	One carbon pool by folate	1	19	0.740041465628648	1	KEGG	Up-biofilm
sau00680	Methane metabolism	1	18	0.720858148995757	1	KEGG	Up-biofilm
sau00710	Carbon fixation by Calvin cycle	3	12	0.0433441804752644	1	KEGG	Up-biofilm
sau00720	Other carbon fixation pathways	0	25	1	1	KEGG	Up-biofilm
sau00730	Thiamine metabolism	0	11	1	1	KEGG	Up-biofilm
sau00740	Riboflavin metabolism	1	10	0.50718376575751	1	KEGG	Up-biofilm
sau00760	Nicotinate and nicotinamide metabolism	0	7	1	1	KEGG	Up-biofilm
sau00770	Pantothenate and CoA biosynthesis	1	17	0.700268962822394	1	KEGG	Up-biofilm
sau00780	Biotin metabolism	0	8	1	1	KEGG	Up-biofilm
sau00785	Lipoic acid metabolism	0	19	1	1	KEGG	Up-biofilm
sau00790	Folate biosynthesis	0	21	1	1	KEGG	Up-biofilm
sau00860	Porphyrin metabolism	0	15	1	1	KEGG	Up-biofilm
sau00900	Terpenoid backbone biosynthesis	0	13	1	1	KEGG	Up-biofilm
sau00906	Carotenoid biosynthesis	1	6	0.345697767368677	1	KEGG	Up-biofilm
sau00910	Nitrogen metabolism	0	12	1	1	KEGG	Up-biofilm
sau00920	Sulfur metabolism	2	8	0.0986009869291851	1	KEGG	Up-biofilm
