gene_id	gene_name	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
A1BG	A1BG	101.395322806378	165.768048542477	74.2202279370752	101.956063585249	199.592121133314	134.063682290445	111.119856253286	97.9878678226706	71.5146143627187	95.3750842725043	99.1856884702464	57.9996375017668	175.513720010325	141.036731598051	174.940439073933	156.725127345475
A1CF	A1CF	0	0	0	0	0	0	0	0	0	0	1.00092379711185	0	0	0	0	0
A2BP1	A2BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LD1	A2LD1	27.9575297753541	68.7827626644294	29.9291237287728	40.0787812441354	50.9000776863783	38.152091638294	42.9004215976447	30.9607692648266	24.964588839382	44.9316113191772	45.936827621781	33.0861431161116	39.022772455877	35.2855791120088	41.9894991904511	39.9554226821469
A2M	A2M	32214.000647199	53471.4556174515	26864.8562449938	31794.0522092442	46534.7732933766	45619.4043217392	33405.5617964059	32037.739735908	2178.85905726361	6990.47184438658	9886.68002144257	2325.98581088644	21115.1664542169	18337.1645172567	15201.5526546269	19814.9256204713
A2ML1	A2ML1	0	0	0	0.997793378350023	0	0.997283672476671	0	1.00006937566279	0	0	0.999464990629317	0	0	0.994674632180636	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0.999333065939397	0	0	0
A4GALT	A4GALT	1143.8867584082	2022.68109156385	955.229495264671	1292.144395375	2332.71934528787	1434.02269507224	1599.4094837868	862.018523374817	1144.90398531351	1575.338126716	1678.41325186413	1258.07916734273	1203.02885792614	823.807957203316	1069.95534425504	787.242477918862
A4GNT	A4GNT	4.99749332659244	8.98811063162403	2.99627266854581	7.00361081860441	11.9886117526139	10.0146694103969	6.99369173086322	10.9961742644654	0	0	0	0	0	5.0134212362483	4.99926708185975	1.99980223377896
AAA1	AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	AAAS	546.800125582249	886.005518605009	396.563897438021	752.345837136867	791.355509089809	710.943776032884	538.603846898948	510.887431030303	429.856272629299	738.536968693267	727.605617012345	636.343449359191	587.075733475409	594.376352593399	580.953050096472	644.026290526817
AACS	AACS	307.179047528649	433.238817243691	209.98805254349	382.702135320454	411.053440975842	437.624338626531	297.168758297017	340.217802886756	309.172196976876	430.046839866158	416.059401394148	368.573622009205	233.942755742713	316.230277568646	250.014568414748	359.356313382823
