tx	gene_id	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
XM_001724486.2	LOC728534	2.559256	2.895434	4.006124	4.347017	2.031221	3.556629	1.143899	2.600188	1.93139	1.641248	1.803834	1.484364	0.918627	1.494829	1.542547	0.970086
XM_002342017.1	LOC100288069	1.432672	0.878561	0.874677	1.146901	0.089177	0.592072	0.116571	0.526196	0	0.17318	0.15948	0.324961	0.11439	0.217924	0.231686	0.351686
XM_002342016.1	LOC100287934	0.152337	0.217954	0.215871	0.121062	0.599548	0.262993	0	0	0.522497	0.122121	0.395192	0.594749	0	0.296632	0.322144	0.154607
XM_002342018.1	LOC100288100	0.336076	0.405114	0	0.486269	0.101784	0.111901	0.206986	0.220006	0.207941	0.049762	0.137254	0.334764	0.202611	0.191742	0.267706	0.063024
NR_024321.1	NCRNA00115	3.568347	2.598031	2.972142	2.551246	2.761225	1.470107	1.932249	2.584106	1.937429	1.900672	2.443585	2.455178	2.675544	1.464609	1.728645	2.341942
NR_015368.1	LOC643837	9.501452	7.413614	5.994706	6.272854	10.268464	8.52939	9.251476	8.860673	4.941029	6.133052	7.573792	5.466656	7.511428	8.361094	6.204504	6.929199
NR_027055.1	FAM41C	1.017452	0.627717	0.303673	0.876615	0.111084	0.665811	0.298381	0.810021	0.599557	0.376644	0.405093	0.181062	0.14608	1.037617	0.370086	0.850608
NR_026874.1	FLJ39609	0	0	0	0.27018	0	1.127571	0	0.360428	0	0.244808	0	0	0	0.327753	0	0
XM_001724524.1	LOC100128838	1.835062	0.470855	0.212945	1.360298	0.694708	2.567818	0.470457	1.668852	2.523503	0.22656	0.312497	0.127859	0	1.624773	0.62425	0.716911
NM_152486.2	SAMD11	5.102263	2.046076	0.525745	4.996765	0.959117	6.797828	1.300142	3.567762	6.686232	1.584884	1.683684	4.763867	2.574021	7.623724	4.057304	7.025038
NM_015658.3	NOC2L	35.517702	36.215894	33.834262	36.234075	35.657098	37.187212	36.846016	33.633893	41.616144	45.218679	46.442637	38.502008	43.778838	41.784988	47.801499	39.941722
NM_198317.1	KLHL17	4.92136	3.877116	3.0685	4.589936	4.684385	6.385469	6.207804	5.011213	7.926362	5.898154	6.602823	7.224113	5.411233	7.992674	7.537203	5.713182
NM_032129.1	PLEKHN1	0.451089	0.123753	0.27926	0.281687	0.265645	0.12495	0.360209	0.382774	0.361788	0.408125	0.477555	0.415446	0.150974	0.28507	0.15305	0.422962
XR_039827.1	C1orf170	0.078307	0.072524	0	0.094235	0.088936	0.227505	0.080407	0.128146	0.242244	0.318797	0.159867	0.356664	0.117884	0.148166	0.079685	0.036712
NM_021170.3	HES4	0.279321	0.774275	0	0.310145	0.52872	0	1.145935	0.152407	1.008274	0.724132	0.760974	0.233282	1.407584	0.582928	1.424829	0.785698
NM_001142467.1	HES4	0	0	0.533284	0.231978	0	0.748297	0	0	0	0	0	0	0	0.20474	0	0
NM_005101.3	ISG15	23.989181	26.387981	26.658023	37.193845	32.495161	39.809389	37.662977	33.871999	34.504984	33.272753	33.299764	35.902378	37.388508	44.31241	51.967051	64.785468
NM_198576.2	AGRN	31.045468	23.980626	21.394085	28.168239	21.397269	29.671562	23.320757	26.795209	40.740606	32.548627	33.252359	33.370829	25.494488	33.278767	28.51595	34.421187
XM_002342025.1	LOC401934	0	0	0	0	0	0	0	0	0	0	0	0	0	0.075218	0	0
NM_017891.4	C1orf159	3.527958	3.712147	3.786253	4.506586	5.429986	3.895893	5.581103	6.183778	4.830826	4.238697	5.353476	5.228737	6.389828	4.062684	4.945985	4.55524
NM_001130045.1	TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_153254.2	TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_148901.1	TNFRSF18	0	0	0	0.109148	0	0	0	0	0	0	0	0	0	0	0	0.126712
NM_148902.1	TNFRSF18	0.330218	0	0	0	0.083342	0	0	0	0	0	0	0.366801	0	0	0	0
NM_004195.2	TNFRSF18	0	0	0	0	0	0.450752	0	0	0.778653	0.479254	0.440657	0	0	0.413309	0	0
NM_003327.2	TNFRSF4	0	0	0	0	0	0.310032	0.253284	0.134715	0	0.091432	0	0.205928	0.248677	0	0	0.463017
NM_016176.3	SDF4	249.323257	226.853786	232.369903	239.637022	261.719332	257.943884	267.605873	268.411565	277.657577	274.549412	276.27269	271.83617	227.309185	232.440078	241.77508	230.945303
NM_016547.2	SDF4	6.676158	7.313193	5.134315	9.219184	8.684385	11.20152	9.822933	9.688449	13.265542	13.694631	12.688448	11.539606	5.533785	6.754169	6.529136	9.778371
NM_080605.3	B3GALT6	13.930152	15.037053	14.166188	15.190351	13.006093	15.257398	13.469433	15.57043	18.10969	23.754033	22.21672	18.087711	17.242139	15.412079	16.655128	17.10823
NM_001014980.1	FAM132A	1.023491	0.15766	0.534494	0.826212	1.549893	1.39289	1.181113	0.837654	1.055558	0.568532	0.60989	0.320232	0.257757	0.615058	0.391454	0.239916
NM_194457.1	UBE2J2	0	0	0.65909	0	0.184078	0.953804	0.406266	0	0.247105	1.908543	0.318619	0.631242	1.510838	0.343098	2.045754	0.405327
NM_058167.2	UBE2J2	25.560854	23.769157	23.583765	25.023444	24.197676	26.538022	27.072433	26.505631	26.199355	24.583287	25.664459	25.4149	27.044974	26.568753	26.222902	27.429201
NM_194315.1	UBE2J2	0	0	0.432898	0.493136	0	0	0.599732	1.126107	0	0.212242	0.475016	0.781363	0	0	0.307423	0.930861
NM_194458.1	UBE2J2	1.648383	0.680657	1.869395	1.960104	0.952578	0.911702	1.319621	2.455262	0.434349	1.726763	1.623692	0.596086	1.050145	1.750338	2.464652	0.434462
NM_001130413.1	SCNN1D	0.562689	0.545425	0.418397	0.207739	0	1.071028	0.213471	0	0.91328	0.193367	0.402961	0.483268	0	0.24511	0.285412	1.253176
NM_002978.2	SCNN1D	2.130385	2.109389	2.892949	3.244681	2.871589	3.432848	3.072516	3.561586	2.729176	3.132249	2.833197	2.701991	3.132917	3.73904	3.406167	3.106647
NM_030649.2	ACAP3	27.148996	19.411743	14.160221	23.524308	20.342722	29.522585	20.170776	25.250371	24.672741	13.959724	14.089598	22.079502	28.681235	31.971232	27.461716	33.961121
NM_153339.1	PUSL1	16.413811	14.474314	14.468079	16.827737	12.821129	19.267954	15.882225	17.230032	18.748632	12.847184	17.04672	17.732537	18.608791	16.80638	17.365686	18.994315
NM_017871.4	CPSF3L	40.192532	40.089779	36.556194	40.058971	47.458216	47.908251	44.300936	41.552764	40.976818	44.631097	42.544471	41.266314	47.972132	43.388291	45.844475	42.917572
NM_001029885.1	GLTPD1	14.435871	14.405838	15.485314	15.94788	16.24866	17.842393	15.217674	15.991144	14.315848	15.7228	15.58465	16.695068	16.941783	13.644714	15.653052	15.973192
NM_152228.1	TAS1R3	0.140669	0.260512	0.130629	0.075276	0.14201	0.116856	0.481425	0.204624	0.193406	0.138838	0.159555	0.271989	0.37659	0.088845	0.143171	0.219829
NM_004421.2	DVL1	33.992067	35.011612	34.137208	33.15293	34.336713	44.544363	41.590755	38.949702	35.849106	33.749111	32.496013	31.15399	43.636736	37.830459	43.622225	40.346432
NM_032348.2	MXRA8	472.61615	507.531672	508.053571	491.579722	559.337227	447.934313	544.122321	510.99273	447.835077	442.320476	437.422648	426.605377	507.441789	434.892092	542.990326	521.303854
XM_002342019.1	LOC100288202	1.941841	1.081782	2.431966	1.043385	1.835994	0.729981	0.466014	0.506521	0.909953	1.337104	1.447729	1.214829	0.768053	1.335589	1.547559	2.973664
NM_001127229.1	AURKAIP1	27.954301	39.809362	27.581738	32.991252	25.750222	23.502875	40.947589	31.377169	35.495757	39.846271	28.762883	19.657726	43.476067	50.078516	37.147363	34.353978
NM_017900.2	AURKAIP1	23.030158	18.832703	22.219193	17.965458	19.06637	31.374621	21.705908	26.250147	33.007898	29.322416	25.49904	38.759718	24.773781	22.975463	25.219773	27.936928
NM_001127230.1	AURKAIP1	27.850987	12.889707	26.102307	33.780085	44.277138	24.861162	26.397079	32.093448	25.059525	38.357847	54.705461	28.255958	31.053365	6.004594	43.48696	32.509994
NM_030937.4	CCNL2	4.123218	4.762186	4.440318	5.056112	4.119874	6.343615	4.949318	6.578321	2.979603	2.481061	4.511672	4.686109	3.086931	3.683625	3.71792	1.615844
NM_001144868.1	CCNL2	0	0	0	0	0	0	0	0	1.085037	0	0	0	1.611679	0	0.420443	0
NM_001144867.1	CCNL2	30.075433	28.93866	30.210173	31.337477	45.689579	40.718599	35.893845	31.746942	36.914644	38.61481	41.938163	39.294089	43.234342	33.883662	45.820106	39.845133
NM_001039577.2	CCNL2	54.661722	58.272548	57.560001	40.821995	62.084825	49.971633	64.882847	52.027649	55.171636	56.31531	54.603387	47.09232	68.539093	52.002315	61.459657	51.772979
NR_015434.1	LOC148413	14.890727	13.376934	12.93136	15.255231	9.482888	10.204388	9.65984	7.569435	13.217004	14.069645	14.130801	13.194705	14.956273	15.148649	14.003356	12.493392
NM_017971.3	MRPL20	79.850881	83.794729	95.227708	94.065927	93.149671	93.669036	86.931733	96.600802	93.281629	108.266998	102.644617	91.191784	101.955828	90.696525	100.7198	88.963566
XM_002342020.1	TMEM88B	0	0	0	0	0.066384	0	0	0	0	0	0.058622	0	0	0	0.178681	0.098311
NR_026871.1	LOC441869	1.06614	2.426544	1.119409	0.688241	1.744786	2.236096	2.631113	2.046682	1.494767	1.000967	0.486182	0.75388	1.532577	2.571364	3.527718	1.739885
NM_001145210.1	LOC441869	0.151011	0.2187	0.216893	1.262522	0.272802	0.833014	0.368402	0	0	0.275233	0.272789	0.319466	1.040787	0.539485	0.14489	0.34148
XM_002342021.1	LOC100288271	0	0	0	0.150985	0	0	0	0	0	0	0	0	0	0.181005	0	0.174642
NM_022834.3	VWA1	5.442103	4.615616	3.551442	4.520438	7.201913	7.272996	6.121949	7.537777	3.318275	3.949207	3.317197	2.980402	6.176225	6.277061	6.454106	7.765078
NM_199121.1	VWA1	0	0	0.246769	0	0	0	0	0	0	0.17901	0	0	0	0	0	0
NM_001039211.2	ATAD3C	0	0.114724	0	0.024887	0	0.025845	0.096196	0.033974	0.064705	0.068738	0.021099	0.077606	0	0	0.031339	0.05842
NM_031921.4	ATAD3B	6.026828	7.193169	7.727585	6.607394	6.408821	7.479581	6.171285	6.045653	6.390893	8.398788	10.012075	6.36258	8.810108	7.482569	10.737528	8.10373
NM_018188.2	ATAD3A	10.060779	12.308105	12.075833	11.407483	12.751614	13.841411	13.828423	13.419082	16.455436	16.873724	19.168387	14.671289	16.572023	12.27975	18.161678	14.042066
NM_001114748.1	C1orf70	3.983632	3.682772	3.752921	5.387107	4.790504	5.685094	6.490851	5.114069	5.075037	5.466622	5.186013	4.78574	4.836969	5.734073	5.495443	4.614087
NM_014188.2	SSU72	139.716593	140.208999	162.315399	153.285559	152.919663	145.356276	151.023804	149.665852	147.225209	167.149242	168.793265	157.872168	159.14024	149.287061	160.301453	146.286371
XM_002342022.1	LOC100288313	0.423368	1.815524	1.768058	1.393494	1.605748	1.82149	1.300501	1.387701	0.873158	0	1.735052	1.448538	1.29184	0.424225	0.434023	0.79255
XR_042003.2	LOC643988	4.857657	6.971038	5.380344	5.030786	6.735594	6.473792	7.209833	4.72515	2.534787	3.55278	4.142744	2.718559	10.816386	7.056587	10.725289	8.450995
NM_080875.1	MIB2	19.851676	16.471298	14.538185	21.923885	21.192189	25.286484	22.370512	23.926605	23.555843	21.905842	20.685635	22.327459	19.188562	23.809756	22.315875	24.635988
NM_006983.1	MMP23B	8.594177	9.863028	10.780733	14.923259	12.093194	19.32199	21.105239	19.42947	21.86603	14.129317	18.33702	23.336966	9.902507	11.833818	13.491149	18.59506
NM_033493.1	CDC2L1	10.043138	6.79583	16.225956	19.419378	16.168452	7.662689	15.612761	10.64189	18.129541	22.404695	16.868948	20.864146	32.914963	34.806156	21.169411	25.272715
NM_033492.1	CDC2L1	0	0	0	0	0	0	0	0	0	0	4.696092	0	2.305943	2.14474	0	2.189983
NM_033486.1	CDC2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_033487.1	CDC2L1	17.88704	24.552343	12.151158	13.374723	15.974517	24.921743	21.365974	20.541985	11.106462	11.676262	11.080726	13.303462	0	0	19.15947	11.428513
NM_033488.1	CDC2L1	6.940929	6.924883	9.309179	5.12752	9.707396	11.962943	6.603729	11.767118	7.503261	5.753311	7.374657	3.089959	8.391819	5.991452	5.627502	6.983469
NM_033489.1	CDC2L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001110781.1	LOC728661	61.377522	45.300128	42.062507	58.013984	41.54675	48.619568	38.395195	49.059792	48.37495	34.918342	33.672021	51.592687	41.44333	58.273686	40.363373	59.200102
XR_078215.1	LOC100288379	1.226118	0.544068	0.482485	0.685453	1.683934	2.07123	1.264972	2.128826	1.65727	1.099153	0.248478	1.229228	1.490931	0.481095	1.55266	1.197104
XM_002342012.1	LOC100287685	3.854259	2.787656	2.525193	2.580112	4.806699	7.670281	6.272421	4.70207	2.572377	1.680253	2.317961	4.005819	3.89847	2.66203	1.854257	3.825665
NR_002946.1	MMP23A	5.293348	0	2.400337	2.396133	9.005473	6.093715	0	6.812485	4.937783	7.81874	7.539701	3.28782	7.910641	8.982863	2.540768	6.064446
NM_033529.2	CDC2L2	6.031553	5.05384	6.02928	6.521103	10.998221	8.272405	16.366741	9.677801	4.14006	4.371939	4.00443	4.49931	7.215282	8.469798	6.080929	6.84304
NM_024011.2	CDC2L2	25.372151	26.322903	27.18541	26.564312	32.174308	36.443285	31.003372	36.335536	21.110862	19.890831	20.140783	25.094437	26.883822	28.906334	30.730419	25.627505
NM_182838.1	SLC35E2	14.448099	10.103023	8.558803	14.886623	13.330399	14.997742	9.814232	16.877544	3.643004	1.905279	2.505402	2.099289	10.573995	16.287701	9.266212	14.796668
XR_037820.2	LOC100129381	5.776829	5.519095	2.58885	3.182209	7.000634	6.249289	8.22547	8.35571	4.862293	3.050895	1.757328	3.425758	4.115033	6.382926	3.011021	4.945571
NM_023018.3	NADK	42.637462	60.947719	68.314981	38.985591	82.993566	43.67497	85.947724	40.64636	42.796139	54.531861	54.841422	40.998096	61.99443	39.176695	61.89261	39.80729
NM_002074.2	GNB1	246.414977	250.309538	261.91399	239.434126	249.443746	245.302514	264.004079	237.557877	259.411151	265.046175	277.163786	236.785806	246.566709	225.359664	232.337015	225.859609
NM_138705.2	CALML6	0.476588	0.367145	0.663716	0.768978	0.451066	1.096659	0.977847	1.170131	0.61439	0.264721	0.405677	0	0.47992	1.029382	0.728956	0.893736
NM_178545.3	TMEM52	0	0.259373	0.195455	0.340207	0.212541	0.235384	0.287908	0.153166	0.144757	0.103963	0.382384	0.234457	0.141464	0.405776	0.28639	0.263203
NM_001003808.1	C1orf222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001080484.1	KIAA1751	0	0	0	0	0	0	0	0.026998	0	0	0.016839	0	0	0	0	0
NM_000815.4	GABRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002744.4	PRKCZ	0	0	0	0	0	0.195696	0	0	0	0	0	0	0	0	0	0
NM_001033581.1	PRKCZ	1.156939	0	0	0	1.169846	0	0.900922	1.352395	1.145947	0.437247	0.832799	1.157725	0	0	0	0.896772
NM_001033582.1	PRKCZ	0	1.113402	0.886861	0.938742	0	1.228163	0	0	0	0	0	0	0.663293	0.883692	1.046881	0
XM_002342013.1	LOC100287750	6.362853	4.899485	5.763427	5.425398	6.232065	6.715115	5.032211	5.76919	6.757437	6.857147	6.543191	6.306843	8.162673	7.494991	7.200146	7.775538
NR_024445.1	LOC100128003	2.389615	2.560484	1.918714	3.500567	2.355881	2.899281	2.231046	2.768761	1.965209	2.252676	2.310873	2.15094	2.709461	2.737425	2.476841	3.107513
NM_182533.2	C1orf86	53.696136	51.197133	56.863748	62.313595	56.371212	50.215094	52.71846	59.724444	39.582262	54.243119	49.519022	46.342119	84.114509	63.35178	85.938824	76.803191
XR_041873.1	FLJ14100	0.677439	0.138827	0.628771	0.367088	0.34196	0.572917	0	0.246485	0	0.334704	0.615643	0.189975	0.228396	0.220914	0.23085	0.211688
NM_003036.3	SKI	41.764686	34.928068	34.647976	35.479658	41.983419	58.036024	44.144698	50.412224	43.399776	35.237976	40.173149	39.181547	37.260033	40.009095	35.95289	40.569363
NM_024848.1	MORN1	1.668784	2.152549	1.373459	2.07436	1.550693	1.706286	1.401394	1.075912	1.955575	1.404023	2.375223	1.764298	2.363588	2.961915	2.240563	2.916077
NR_024489.1	LOC100129534	0.861704	0.963994	1.050242	0.60552	1.019439	1.298351	0.774077	1.880259	0.999656	1.07645	1.172943	0.759134	1.514351	1.072831	1.26096	1.817939
NM_007033.3	RER1	79.034952	82.862074	88.943678	76.444581	80.633884	76.174715	85.156085	76.976483	80.819104	91.715794	89.351707	76.631103	83.560405	73.963336	85.402859	76.407594
NM_002617.3	PEX10	12.448869	10.820431	11.299572	17.026922	14.333784	16.624534	11.596832	15.053061	14.586598	16.473415	16.25175	17.67732	10.492358	11.96835	12.316647	12.25883
NM_153818.1	PEX10	0.337559	0	0	0.276477	0.582184	0.215046	0.251958	2.079462	2.418612	0.240162	0	0.662414	0.388514	0.847792	0	2.670235
NM_014638.2	PLCH2	0.048153	0.044612	0	0.038591	0.018229	0.019955	0.049452	0.052531	0.049652	0.017819	0.032764	0	0.048296	0	0	0.022575
NM_018216.1	PANK4	11.240551	9.121729	8.712634	9.167284	10.363957	11.331531	11.168816	10.532576	12.899653	12.011182	12.307409	11.22862	12.284966	11.161213	14.023277	12.282101
NM_001010926.3	HES5	0	0	0	0	0	0	0	0	0.100991	0	0	0	0	0	0	0
NR_026927.1	LOC115110	0.164637	0.101614	0	0	0.083104	0.091251	0.112681	0.059874	0.056591	0.081251	0.224104	0	0.055113	0.104134	0.055867	0.102914
XR_039404.2	LOC100132814	3.252635	1.751642	3.154952	6.079953	6.094837	6.08006	5.09232	7.255303	1.661096	1.973704	1.640289	2.658878	6.641854	8.655162	3.360436	6.75002
NM_003820.2	TNFRSF14	20.244373	15.174903	13.130277	21.795102	23.449959	29.345868	24.488317	32.683923	23.104182	17.634108	17.984533	23.114661	20.136699	29.156339	23.259254	35.378865
XR_078213.1	LOC100131742	0.405365	0.496789	0	0	0.614794	0.348357	0.415024	1.328559	0.418094	0	0.276823	0.692488	0	0.405582	0	0.759075
NM_152371.2	C1orf93	16.859892	16.392159	15.062376	14.359391	16.174074	15.570085	15.973878	14.083872	16.538564	17.153511	15.618821	14.29873	20.570246	17.552916	20.122371	15.601692
NM_033467.2	MMEL1	0	0.139398	0	0.053933	0	0.077069	0.150523	0.205739	0.069392	0.060462	0	0.102269	0.071511	0	0.171007	0
XM_002342015.1	LOC100287898	0.13916	0.128791	0	0.05594	0.052683	0.057933	0.071421	0.075916	0	0	0	0	0	0.066191	0.070859	0.065241
NM_080431.4	ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_015440.1	FLJ42875	0.033787	0.070707	0	0.081161	0	0.105264	0.113568	0.034612	0.033846	0.048296	0.026047	0.105028	0.140874	0.093578	0.169605	0
NR_024371.1	FLJ42875	0.711187	0.207145	0.337336	0.751193	0.366941	0	0.624123	0	1.240988	0.708202	0.131067	0.204139	0.876519	0.684063	1.17596	1.135685
NM_022114.2	PRDM16	0.789866	0.658769	0.421799	0.674708	0	0.59946	0	0.603158	0	0.379961	0.412003	0	0.884227	0	0	0.975145
NM_199454.1	PRDM16	0	0	0	0	0.351197	0	0.503642	0	0.341626	0	0	0.416136	0	1.035777	0.687312	0
XM_002342024.1	LOC100288479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162311
NM_014448.3	ARHGEF16	0	0.025317	0	0.032901	0	0	0	0.044736	0	0.030352	0	0.067925	0.041156	0.038806	0	0
NM_001409.3	MEGF6	9.285561	8.183772	11.857488	12.705273	16.931897	15.353549	20.361627	18.385167	4.898969	5.806893	7.739148	5.295257	2.498112	5.000466	4.564162	6.152658
NM_182752.3	TPRG1L	79.049376	81.489012	92.288052	83.013621	95.823885	87.690545	100.099678	84.18679	85.810107	80.9465	78.200499	87.469567	83.153176	79.580217	77.533444	85.001195
NM_017818.3	WDR8	11.826751	15.583782	16.777719	13.209134	14.150598	12.76899	14.387185	11.947976	14.078191	20.755342	18.685169	16.91557	15.995114	14.037431	17.175612	16.223203
NM_005427.2	TP73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001126240.1	TP73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001126241.1	TP73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001126242.1	TP73	0	0	0	0.071858	0	0	0	0.04884	0	0	0	0	0	0	0	0
NM_207306.2	KIAA0495	12.194	10.496176	11.746576	13.7284	12.342331	13.578187	11.870637	14.53161	11.655359	12.171922	11.190024	11.943151	11.170239	12.931272	10.849209	13.563652
NM_152492.2	CCDC27	0	0.034458	0	0	0	0	0	0	0	0	0	0.046299	0.056071	0	0	0
NR_024432.1	LOC388588	4.318507	3.029164	2.576543	4.791207	1.869197	5.259024	3.474677	5.052408	2.227378	3.202632	1.262547	2.61394	1.564587	6.110481	2.52708	5.781747
NM_020710.2	LRRC47	28.847633	27.857669	28.720296	28.560457	27.216942	28.729783	29.340471	28.759211	28.534734	30.725479	29.909776	27.010961	29.866728	28.135095	29.313501	30.398177
NM_014704.2	KIAA0562	11.854228	14.3898	11.197467	10.483114	14.564347	12.685891	14.806891	12.795796	14.384369	13.056856	13.940614	14.572989	14.309238	13.917237	13.014881	11.379028
NM_004402.2	DFFB	2.118717	2.4225	2.131504	2.58115	2.703354	2.866054	2.981266	2.696692	2.872538	2.788042	2.48312	2.339421	3.11078	3.192279	2.87464	3.0167
NM_207356.2	C1orf174	17.978336	18.408687	20.78064	22.018523	18.074527	20.382731	20.826568	20.266856	21.924686	25.075017	24.831668	21.62461	22.493824	20.456762	24.541587	22.033362
NR_024455.1	LOC100133612	0.125454	0.116125	0.174742	0.100813	0.142482	0.313146	0.193175	0.136875	0.323423	0.325066	0.17078	0.312293	0.378093	0	0.191607	0.235263
XM_001132281.3	LOC728716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_027088.1	LOC284661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001042478.1	AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_018836.3	AJAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_002342029.1	LOC100287848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_002342030.1	LOC100287877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_015102.2	NPHP4	4.069939	3.519336	3.142568	3.317476	3.768296	4.490938	4.394768	4.845912	4.676275	3.356498	4.46248	3.76981	3.778644	3.927099	3.501102	5.342637
NM_003636.2	KCNAB2	2.050706	3.373627	2.718609	2.034036	4.518454	2.012636	2.564833	4.892998	2.761324	1.833514	2.137461	0	2.595623	0.543842	0.30437	3.539525
NM_172130.1	KCNAB2	2.999347	2.008281	2.839606	2.437203	0.784327	3.715757	4.248852	0	0.951766	2.489204	2.449327	4.080055	1.323575	3.929715	4.589512	0
NM_015557.1	CHD5	0.083141	0.07338	0.148914	0.14266	0.035971	0.029497	0.085396	0.051827	0.110221	0.02637	0.080808	0.049067	0.071438	0.067088	0.120777	0.089094
XM_002342026.1	LOC100287356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
