tx	gene_id	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
XM_002342010.1	LOC100287102	0.100424	0	0	0	0.085626	0	0	0	0	0	0	0	0	0	0.098948	0.088659
NR_024540.1	WASH5P	40.677805	34.91183	30.409456	40.900884	27.272106	28.931244	24.118931	29.073216	27.23668	27.386978	26.716971	28.702282	27.239268	32.436905	32.83686	36.39513
NR_026818.1	FAM138A	0	0.132014	0.120747	1.127642	0	0	0	0	0.26515	0	0	0	0	0	0	0
NM_001005484.1	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XM_001724183.2	LOC100132632	0.053119	0.035817	0.258068	0.083963	0.233828	0.256973	0	0.148081	0.104115	0.12411	0.037322	0.135042	0.167748	0.207297	0	0
XR_078212.1	LOC100287060	0.605121	0.995981	0.421319	0.158748	0	0.278751	0.310277	0	0	0.564835	0.218835	0.331048	0.305083	0.292156	0.308762	0.141902
XR_039243.2	LOC653340	0.762309	0.40144	0.345357	0.458775	0.107781	0.160958	0.189561	0	0.14037	0.045683	0	0	0	0	0.04628	0
XM_001133863.2	LOC729737	6.00914	3.955654	4.288785	4.464792	2.930867	2.706265	1.828387	3.847513	0.987587	2.118487	2.287253	1.982305	2.527959	2.896861	1.123563	2.680927
XM_002344249.1	LOC100132287	0.736817	1.028809	0.613455	1.275902	1.159366	0.249755	0.397199	1.012253	0.195915	0.328905	0.356014	1.156317	0.508483	1.062911	0	0.201877
XM_002344250.1	LOC100288609	0	2.25346	3.588145	1.439698	0	1.697108	0	0	0	2.796432	1.577111	0	2.305584	0.737691	0	1.675522
XM_002344252.1	LOC100288667	0	0	0	0	0	0	0	0	0.063378	0.100392	0	0.047313	0	0	0.075491	0
XM_002344251.1	LOC100288646	0	0	0	0	0	0	0	0.174405	0.174675	0	0.101743	0.128677	0	0.18766	0	0
NM_001005221.2	OR4F29	0	0.05903	0	0	0.027211	0.030146	0	0.052293	0	0	0	0	0	0	0	0
XR_078214.1	LOC100131754	3861.820197	4657.11227	4324.749582	3245.92951	3430.851358	2526.198776	3079.498587	2910.248209	3045.312934	3499.063231	3575.92588	3862.288677	3429.722643	2633.616316	3099.489463	2811.230785
XR_078216.1	LOC100288578	12484.882376	14173.701474	13614.619186	12210.843771	15591.350383	10918.920418	13524.638823	13376.12065	13580.461227	15961.481879	15315.129807	18133.327968	13354.544295	10623.556411	12021.986145	10571.530318
XM_002342023.1	LOC100288418	10506.230092	11817.007091	11244.056392	9313.88512	8757.504254	6317.62647	7929.634992	7964.425549	6191.980151	6923.037082	7227.771517	8130.920261	10110.709696	7974.019666	9104.378683	7940.469541
NM_001005277.1	OR4F16	0	0.05903	0	0	0.027211	0.030146	0	0.052293	0	0	0	0	0	0	0	0
XM_002342011.1	LOC100287654	0.617846	0.529281	0.815356	0.449846	0	0.761757	0.542434	0	0	0.652503	0.240314	0	0.407321	1.364427	0.597157	1.566801
XR_037798.2	LOC100132630	0.444389	0.314863	0	0.212895	0.286307	0.672938	0.065048	0.260419	0.142289	0.142321	0.174859	0.404534	0.301107	0.302385	0.129533	0.065778
XR_039297.2	LOC100133060	2.248414	2.274351	1.144221	2.253963	3.14674	1.84597	2.264064	2.217523	1.749961	1.337778	2.087913	1.483678	0.642247	1.146022	2.706259	1.63471
XM_002342014.1	LOC100133331	8.322142	6.998877	7.890212	9.55188	6.693928	7.052918	5.066666	6.187381	4.620189	5.799947	4.996811	4.228332	5.195575	5.637585	4.909107	5.096589
