gene_id	gene_name	N052611_albuterol_dexamethasone	N052611_albuterol	N052611_dexamethasone	N052611_untreated	N061011_albuterol_dexamethasone	N061011_albuterol	N061011_dexamethasone	N061011_untreated	N080611_albuterol_dexamethasone	N080611_albuterol	N080611_dexamethasone	N080611_untreated	N61311_albuterol_dexamethasone	N61311_albuterol	N61311_dexamethasone	N61311_untreated
A1BG	A1BG	7.097724	7.16534	7.241831	5.732129	10.583357	7.798363	7.987429	7.482657	5.162173	4.94402	4.726762	3.367022	12.33867	9.362251	12.466672	10.282564
A1CF	A1CF	0	0	0	0	0	0	0	0	0	0	0.039183	0	0	0	0	0
A2BP1	A2BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2LD1	A2LD1	2.944047	4.472603	4.393037	3.389707	4.060161	3.338531	4.638971	3.556641	2.710859	3.503822	3.293218	2.889426	4.126864	3.523628	4.501381	3.943513
A2M	A2M	806.59553	826.73809	937.606448	639.37955	882.607508	949.187206	858.902926	875.095321	56.257037	129.616932	168.529202	48.298951	530.959933	435.401769	387.487977	465.013112
A2ML1	A2ML1	0	0	0	0.017941	0	0.018553	0	0.024424	0	0	0.015233	0	0	0.021117	0	0
A3GALT2	A3GALT2	0	0	0	0	0	0	0	0	0	0	0	0	0.130819	0	0	0
A4GALT	A4GALT	66.573535	72.691025	77.490993	60.399222	102.839497	69.353076	95.585586	54.729002	68.710676	67.894793	66.501436	60.721997	70.315444	45.46649	63.393302	42.942637
A4GNT	A4GNT	0.348761	0.387328	0.291462	0.392554	0.633758	0.580769	0.501183	0.837143	0	0	0	0	0	0.331785	0.355174	0.130805
AAA1	AAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	AAAS	36.657436	36.67792	37.057112	40.509111	40.186851	39.605897	37.078067	37.36294	29.716203	36.664842	33.208026	35.378918	39.526076	37.786952	39.649129	40.466783
AACS	AACS	10.930603	9.519512	10.415306	10.937426	11.079743	12.940323	10.8585	13.206627	11.344609	11.332152	10.079092	10.876678	8.36023	10.670944	9.056846	11.985038
AACSL	AACSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	AADAC	0.776833	0.047921	0.432793	0.18747	0.294092	0.323659	0.079731	0.084759	0.32044	0.057516	0.105763	0.129081	0.07809	0.592071	0.237384	0.218518
AADACL1	AADACL1	8.589363	8.841263	9.154302	7.781428	4.645308	5.493654	7.11267	5.324766	8.969326	8.173707	9.611078	6.699875	4.157558	4.015674	5.464552	3.860707
AADACL2	AADACL2	0.50283	0.258451	0	0.067443	0	0.209627	0.086008	0.09144	0	0.062051	0	0	0	0	0	0.078579
AADACL3	AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	AADACL4	0.158758	0.930341	0.663358	0.38317	1.682864	0.529249	0.977643	0.173219	0	0.587724	0.108073	0	0.957601	0.151296	0.485153	0.148859
AADAT	AADAT	5.451774	3.55737	2.264502	5.253185	5.249799	8.63079	4.317787	8.083321	6.264301	6.226583	5.519532	7.926539	5.474352	9.512418	6.606514	7.352786
AAK1	AAK1	7.337202	8.018156	5.750551	5.667414	5.223799	7.063984	5.512721	6.495149	7.207503	5.398133	5.845366	6.133824	6.127641	6.070673	5.103456	5.472733
AAMP	AAMP	72.600297	79.653904	78.692451	72.970165	88.003459	90.74987	92.60477	76.057659	83.524508	87.935179	89.70119	72.155241	93.905166	84.567424	101.12422	80.397394
AANAT	AANAT	0	0	0	0.107077	0	0	0.272026	0	0	0.196428	0.090308	0.11068	0	0	0	0
AARS	AARS	133.190469	81.456831	76.517473	107.732987	74.402778	142.809204	70.162174	149.238253	97.574368	76.633572	79.521856	104.995208	79.699809	113.48739	71.572089	101.022117
AARS2	AARS2	9.696297	6.996962	5.124616	11.480781	6.087209	9.611891	5.754578	9.408485	10.048455	7.861663	7.741428	11.022091	8.063584	12.642738	8.277035	14.619835
AARSD1	AARSD1	14.941935	15.828436	13.883971	16.687428	16.613183	16.786823	15.520511	14.738581	15.490138	14.397795	14.967307	14.362723	15.504048	17.167689	17.153818	19.195102
AASDH	AASDH	8.139184	7.477788	7.420308	8.06592	8.843058	7.630393	8.086168	9.132097	6.618672	7.763112	7.587328	7.147571	6.738953	7.722942	6.160273	7.476566
AASDHPPT	AASDHPPT	28.618214	29.96209	25.299472	24.801794	26.683245	27.289154	25.406814	25.54093	28.049755	27.720527	24.549808	26.802492	23.581537	24.878758	24.333054	24.138666
AASS	AASS	14.475332	29.699316	27.802291	12.687594	31.700316	11.747347	30.847359	12.585669	10.635232	17.41263	18.26228	10.516633	29.56516	13.776616	27.278781	12.75914
AATF	AATF	33.146642	38.74279	41.74267	32.369416	40.18109	38.323433	39.38921	35.606351	38.160697	41.218876	42.029584	38.363798	40.017233	37.922951	41.083197	36.880633
AATK	AATK	0.043718	0.027003	0.03045	0.087577	0.165504	0.181133	0	0.238461	0	0.016178	0.029746	0.018075	0.109608	0.020615	0	0.081983
ABAT	ABAT	7.863449	15.14496	15.504199	6.883737	16.241208	5.113776	16.673082	7.997711	6.850511	15.400428	15.606977	7.604332	13.710914	6.117965	15.874244	7.100905
ABCA1	ABCA1	112.430561	108.933677	84.023693	74.490981	103.882672	110.240474	111.914442	95.996619	124.03105	85.311704	83.19925	97.680206	64.128865	65.161169	57.665281	56.059318
ABCA10	ABCA10	4.39881	2.097134	1.423887	2.997498	1.147037	2.635211	0.620613	2.150444	2.013787	0.747463	0.597817	2.640506	1.921707	3.973809	1.689261	3.166137
ABCA11P	ABCA11P	3.934314	3.50665	3.554871	4.396862	2.765485	3.491446	2.792971	4.659338	3.564667	2.90892	4.091227	3.870936	2.428176	3.57122	2.042025	4.065448
