query	significant	p_value	term_size	query_size	intersection_size	precision	recall	term_id	source	term_name	effective_domain_size	source_order	direction
query_1	TRUE	0.0220255650474622	1297	282	62	0.219858156028369	0.0478026214340786	GO:0141124	GO:BP	intracellular signaling cassette	11131	18783	Down-regulated
query_1	TRUE	0.0257214351091755	656	282	39	0.138297872340426	0.0594512195121951	GO:0031175	GO:BP	neuron projection development	11131	6636	Down-regulated
query_1	TRUE	0.0264928908340982	1364	282	64	0.226950354609929	0.0469208211143695	GO:0009605	GO:BP	response to external stimulus	11131	3376	Down-regulated
query_1	TRUE	0.0337081162146587	259	282	22	0.0780141843971631	0.0849420849420849	GO:0006935	GO:BP	chemotaxis	11131	2443	Down-regulated
query_1	TRUE	0.0337081162146587	259	282	22	0.0780141843971631	0.0849420849420849	GO:0042330	GO:BP	taxis	11131	9447	Down-regulated
query_1	TRUE	0.0337291280947532	2333	282	94	0.333333333333333	0.04029147021003	GO:0010646	GO:BP	regulation of cell communication	11131	4105	Down-regulated
query_1	TRUE	0.0344248103309575	743	282	42	0.148936170212766	0.0565275908479139	GO:0048666	GO:BP	neuron development	11131	12075	Down-regulated
query_1	TRUE	0.0345289220480723	1254	282	60	0.212765957446809	0.0478468899521531	GO:0008283	GO:BP	cell population proliferation	11131	3010	Down-regulated
query_1	TRUE	0.0373690255723522	1023	282	52	0.184397163120567	0.050830889540567	GO:0042127	GO:BP	regulation of cell population proliferation	11131	9340	Down-regulated
query_1	TRUE	0.0403765341717817	997	282	51	0.180851063829787	0.0511534603811434	GO:0009719	GO:BP	response to endogenous stimulus	11131	3457	Down-regulated
query_1	TRUE	0.0436413799057365	1506	282	68	0.24113475177305	0.0451527224435591	GO:0002376	GO:BP	immune system process	11131	867	Down-regulated
query_1	TRUE	0.000000110227343796603	119	282	18	0.0638297872340425	0.151260504201681	KEGG:04060	KEGG	Cytokine-cytokine receptor interaction	11131	260	Down-regulated
query_1	TRUE	0.0000283773805296675	73	282	12	0.0425531914893617	0.164383561643836	KEGG:04750	KEGG	Inflammatory mediator regulation of TRP channels	11131	377	Down-regulated
query_1	TRUE	0.0000855234086828055	145	282	16	0.0567375886524823	0.110344827586207	KEGG:04020	KEGG	Calcium signaling pathway	11131	257	Down-regulated
query_1	TRUE	0.000130668790397205	56	282	10	0.0354609929078014	0.178571428571429	KEGG:04713	KEGG	Circadian entrainment	11131	361	Down-regulated
query_1	TRUE	0.000409509815809445	93	282	12	0.0425531914893617	0.129032258064516	KEGG:04080	KEGG	Neuroactive ligand-receptor interaction	11131	270	Down-regulated
query_1	TRUE	0.0023846600589813	393	282	25	0.0886524822695035	0.0636132315521628	KEGG:05200	KEGG	Pathways in cancer	11131	469	Down-regulated
query_1	TRUE	0.00339946597213585	64	282	9	0.0319148936170213	0.140625	KEGG:04925	KEGG	Aldosterone synthesis and secretion	11131	396	Down-regulated
query_1	TRUE	0.00579164480508998	102	282	11	0.0390070921985816	0.107843137254902	KEGG:04081	KEGG	Hormone signaling	11131	271	Down-regulated
query_1	TRUE	0.00626084234648319	40	282	7	0.024822695035461	0.175	KEGG:04923	KEGG	Regulation of lipolysis in adipocytes	11131	394	Down-regulated
query_1	TRUE	0.0125472051710702	5170	282	162	0.574468085106383	0.0313346228239845	KEGG:00000	KEGG	KEGG root term	11131	1	Down-regulated
query_1	TRUE	0.0172615728234894	33	282	6	0.0212765957446809	0.181818181818182	KEGG:04913	KEGG	Ovarian steroidogenesis	11131	384	Down-regulated
query_1	TRUE	0.0203180037582251	137	282	12	0.0425531914893617	0.0875912408759124	KEGG:05206	KEGG	MicroRNAs in cancer	11131	474	Down-regulated
query_1	TRUE	0.0258699276302096	101	282	10	0.0354609929078014	0.099009900990099	KEGG:04926	KEGG	Relaxin signaling pathway	11131	397	Down-regulated
query_1	TRUE	0.0303337114917042	67	282	8	0.0283687943262411	0.119402985074627	KEGG:05414	KEGG	Dilated cardiomyopathy	11131	507	Down-regulated
query_1	TRUE	0.0383878721032868	106	282	10	0.0354609929078014	0.0943396226415094	KEGG:04921	KEGG	Oxytocin signaling pathway	11131	392	Down-regulated
query_1	TRUE	0.044642348180895	108	282	10	0.0354609929078014	0.0925925925925926	KEGG:04022	KEGG	cGMP-PKG signaling pathway	11131	258	Down-regulated
query_1	TRUE	0.044642348180895	108	282	10	0.0354609929078014	0.0925925925925926	KEGG:04934	KEGG	Cushing syndrome	11131	405	Down-regulated
query_1	TRUE	0.0453438592481756	71	282	8	0.0283687943262411	0.112676056338028	KEGG:04725	KEGG	Cholinergic synapse	11131	368	Down-regulated
query_1	TRUE	0.0473203987108875	129	282	11	0.0390070921985816	0.0852713178294574	KEGG:04024	KEGG	cAMP signaling pathway	11131	259	Down-regulated
query_1	TRUE	0.0000092884699869449	289	282	26	0.0921985815602837	0.0899653979238754	REAC:R-HSA-372790	REAC	Signaling by GPCR	11131	2353	Down-regulated
query_1	TRUE	0.0000387773071853856	1720	282	78	0.276595744680851	0.0453488372093023	REAC:R-HSA-162582	REAC	Signal Transduction	11131	2309	Down-regulated
query_1	TRUE	0.00011377184576941	264	282	23	0.0815602836879433	0.0871212121212121	REAC:R-HSA-388396	REAC	GPCR downstream signalling	11131	1065	Down-regulated
query_1	TRUE	0.000117061067729765	117	282	15	0.0531914893617021	0.128205128205128	REAC:R-HSA-500792	REAC	GPCR ligand binding	11131	1066	Down-regulated
query_1	TRUE	0.000260246582703079	78	282	12	0.0425531914893617	0.153846153846154	REAC:R-HSA-373076	REAC	Class A/1 (Rhodopsin-like receptors)	11131	381	Down-regulated
query_1	TRUE	0.000381606102743954	128	282	15	0.0531914893617021	0.1171875	REAC:R-HSA-418594	REAC	G alpha (i) signalling events	11131	1033	Down-regulated
query_1	TRUE	0.00495821700403773	43	282	8	0.0283687943262411	0.186046511627907	REAC:R-HSA-375276	REAC	Peptide ligand-binding receptors	11131	1795	Down-regulated
query_1	TRUE	0.00598272001047815	72	282	10	0.0354609929078014	0.138888888888889	REAC:R-HSA-6785807	REAC	Interleukin-4 and Interleukin-13 signaling	11131	1303	Down-regulated
query_1	TRUE	0.0365197544763437	56	282	8	0.0283687943262411	0.142857142857143	REAC:R-HSA-438064	REAC	Post NMDA receptor activation events	11131	1845	Down-regulated
query_1	TRUE	0.0463573248291394	109	282	11	0.0390070921985816	0.100917431192661	REAC:R-HSA-112314	REAC	Neurotransmitter receptors and postsynaptic signal transmission	11131	1658	Down-regulated
