pathway	pval	padj	log2err	ES	NES	size
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.660660660660661	0.943828085957021	0.051530912208539	0.371317455261861	0.861340734264875	76
REACTOME_ABC_TRANSPORTER_DISORDERS	0.67699836867863	0.94593621399177	0.0542315935495841	0.37354432477522	0.83821327312962	53
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS	0.763157894736842	0.947232742010498	0.0520570030732099	0.395834039041502	0.76060450867485	18
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	0.0593824228028504	0.729680526192154	0.287857117255149	-0.750436121121333	-1.48827498590841	16
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.973684210526316	1	0.0409055783172035	0.269624783734991	0.521431882016798	19
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.546728971962617	0.943828085957021	0.0826646449123753	-0.423549424903888	-0.942241673021363	27
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.929824561403509	0.992657450237016	0.0430173196927508	0.311871789775216	0.603134074092663	19
REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS	0.5625	0.943828085957021	0.0806388495950661	-0.442023330059572	-0.926315418481866	19
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	0.601542416452442	0.943828085957021	0.0826646449123753	-0.37571650010026	-0.922584025158386	53
REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS	0.87620578778135	0.964505595852339	0.0417397034728504	0.320047357408748	0.723051410973291	58
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	0.630769230769231	0.943828085957021	0.0597317976364411	0.426202149571739	0.875362483814939	28
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS	0.308411214953271	0.92747913534809	0.117249716749792	-0.504608403305376	-1.12256808342731	27
REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	0.497326203208556	0.943828085957021	0.0956031492204301	-0.409370061455201	-0.969666921726778	40
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE	0.872685185185185	0.962762568339705	0.0587185879555941	-0.322713415526118	-0.66805520085632	18
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	0.711904761904762	0.94593621399177	0.0699458736501659	-0.377867205971498	-0.811632537383813	22
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.57487091222031	0.943828085957021	0.0645031249656493	0.482668731156503	0.918937720461745	16
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	0.585644371941272	0.943828085957021	0.0610363728309177	0.415252785008094	0.924475002311129	51
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	0.213256484149856	0.922593265334637	0.161978948883402	-0.448783593195587	-1.16075795453323	70
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	1	1	0.0351652290409302	0.183464648739866	0.415540842520302	59
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	0.26463700234192	0.92747913534809	0.128142916898415	-0.539018501197338	-1.17595871571117	24
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	0.5	0.943828085957021	0.0870515867946735	-0.478194698920493	-0.967129815888952	17
REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	0.327868852459016	0.92747913534809	0.11331290842208	-0.570872995137027	-1.11947015566861	15
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.424528301886792	0.929152872444012	0.211400189384923	-0.301418460571803	-1.00156606212324	594
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	0.715481171548117	0.94593621399177	0.0445070537769277	0.345020651226936	0.855042703231742	140
REACTOME_ADIPOGENESIS	0.344165435745938	0.92747913534809	0.0828962134571565	0.456278880224004	1.07340747093278	89
REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION	0.335897435897436	0.92747913534809	0.11776578836269	-0.482688054327285	-1.10816137539398	34
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	0.592592592592593	0.943828085957021	0.0778840111977068	-0.438163852558158	-0.907051354067521	18
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	0.077054794520548	0.773661270236613	0.211400189384923	0.746316410651275	1.46304852320674	20
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.342931937172775	0.92747913534809	0.0766746872490091	0.420826884352995	1.06724542010764	177
REACTOME_AGGREPHAGY	0.000953562099113513	0.189568145303766	0.477270815362862	-0.79453170179115	-1.80508291086878	31
REACTOME_AMINO_ACIDS_REGULATE_MTORC1	0.796747967479675	0.947232742010498	0.0466015072985992	0.352393636252096	0.760008901165468	37
REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274	0.172638436482085	0.848517771224585	0.132846300606183	0.562881985154102	1.25333834862247	50
REACTOME_AMYLOID_FIBER_FORMATION	0.323777403035413	0.92747913534809	0.0937465422491719	0.541952446351574	1.13611993428424	31
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	0.0132760326084865	0.432808314235905	0.380730400722792	-0.57366703621565	-1.52212754507026	83
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.202054794520548	0.899676067073171	0.125033367555272	0.647325489948988	1.26899072375681	20
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	0.952054794520548	1	0.0408229003677776	0.284688416869103	0.558091664513896	20
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	1	1	0.0630790410571939	-0.209246028069443	-0.541153231630885	71
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.813349814585908	0.947232742010498	0.0329431471724691	0.322014984958711	0.844359713062138	257
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	0.933333333333333	0.992921302773165	0.042845050912155	0.296249765814582	0.564596488970839	17
REACTOME_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.56401384083045	0.943828085957021	0.103576326612592	-0.331829864782784	-0.948904674103724	138
REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION	0.743922204213938	0.947232742010498	0.0495901956956338	0.354507087116505	0.797406560995462	54
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	0.370546318289786	0.92747913534809	0.106323255932708	-0.501482287736011	-1.07967988182133	23
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	0.353919239904988	0.92747913534809	0.109250039480711	-0.509197791633792	-1.08700974470414	21
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	0.852272727272727	0.959410068979718	0.0434506826723125	0.323944761194862	0.732875383216337	57
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	0.780487804878049	0.947232742010498	0.0445961615888961	0.345735276274558	0.791386714706119	68
REACTOME_APOPTOSIS	0.431944444444444	0.93150040509108	0.0679922591544058	0.412887719872933	1.02507776538813	141
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	0.164965986394558	0.843469568047612	0.139599673451922	0.623020233624618	1.29216339856016	29
REACTOME_APOPTOTIC_EXECUTION_PHASE	0.117073170731707	0.788888888888889	0.16440575583821	0.630669527526165	1.36016773660127	37
REACTOME_APOPTOTIC_FACTOR_MEDIATED_RESPONSE	0.908771929824561	0.985771545846476	0.0440640346597561	0.318966411719416	0.61290153685896	18
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	0.1475	0.833039772727273	0.183023938384487	-0.574231919256092	-1.30802671871584	32
REACTOME_ARACHIDONATE_METABOLISM	0.542056074766355	0.943828085957021	0.083129129135339	-0.424888172433072	-0.945219893832164	27
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.804697156983931	0.947232742010498	0.0334561741060507	0.322666457705866	0.845487086670752	255
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	0.00398237752625644	0.314344782942249	0.407017918923954	-0.776263106680033	-1.72689987363088	27
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.554838709677419	0.943828085957021	0.0630790410571939	0.427323611729953	0.940407230948955	44
REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS	0.423202614379085	0.929152872444012	0.077274697304471	0.485483348242137	1.03279186359362	34
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	0.305958132045089	0.92747913534809	0.0943563635421779	0.503736618016419	1.12007965659237	48
REACTOME_ATF4_ACTIVATES_GENES_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0.332761578044597	0.92747913534809	0.0931454575337804	0.55805997897481	1.13050723219289	25
REACTOME_ATP_DEPENDENT_CHROMATIN_REMODELERS	0.746140651801029	0.947232742010498	0.0520570030732099	0.376045910428988	0.761786613255278	25
REACTOME_ATTACHMENT_OF_BACTERIA_TO_EPITHELIAL_CELLS	0.0547945205479452	0.729680526192154	0.252961123069611	0.766285217403319	1.50219456476743	20
REACTOME_ATTENUATION_PHASE	0.548109965635739	0.943828085957021	0.0667426134241917	0.468226768323248	0.933424243497162	22
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	0.785829307568438	0.947232742010498	0.046788296531803	0.352556024953766	0.768551195216018	41
REACTOME_AURKA_ACTIVATION_BY_TPX2	0.0386554868235664	0.629894326272541	0.321775918075361	-0.563824455988015	-1.43849082742623	62
REACTOME_AUTOPHAGY	0.61951909476662	0.943828085957021	0.0517405459873163	0.37132419464981	0.905099123989765	120
REACTOME_AZATHIOPRINE_ADME	0.44578313253012	0.937324561403509	0.077274697304471	0.540815685210891	1.02964186589603	16
REACTOME_BACTERIAL_INFECTION_PATHWAYS	0.112759643916914	0.788888888888889	0.159646701919906	0.560239359630844	1.3153947655289	86
REACTOME_BASE_EXCISION_REPAIR	0.138743455497382	0.817125424231002	0.193813302725311	-0.534836880001859	-1.29296967679595	44
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	0.375	0.92747913534809	0.103958471559957	-0.52822537282809	-1.06831486991461	17
REACTOME_BASIGIN_INTERACTIONS	0.756140350877193	0.947232742010498	0.0524827622635459	0.398361927380673	0.765461906166121	18
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	0.427553444180523	0.93150040509108	0.09754492162472	-0.480120654065541	-1.02493733904155	21
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	0.378766140602583	0.929152872444012	0.0762797180809272	0.433803406730789	1.04302215835004	110
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE	0.309810671256454	0.92747913534809	0.09754492162472	0.614903269688903	1.17069487306228	16
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	0.110849056603774	0.788888888888889	0.206587922696891	-0.621384976072458	-1.37631391289932	26
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.170560747663551	0.843469568047612	0.163180127180689	-0.581457865834954	-1.29352986943633	27
