gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	significance
CACNB2	514.314868531451	3.36012284639525	0.134993580053611	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000529842920455511	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000074601883200136	Up
DUSP1	3280.95001026346	2.92348847037511	0.122477253734217	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000028621146452335	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000201492871024438	Up
SPARCL1	987.147955855562	4.5545755829182	0.194042297801854	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000818782091005492	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000384281728045244	Up
SAMHD1	7963.2649539435	3.72348481952913	0.16449213145251	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000146860967555606	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000516950605795733	Up
MAOA	2293.1447176656	3.3280723484509	0.147464088873544	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037701713491495	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010616802519205	Up
NEXN	5207.62564406422	2.01326110907263	0.0903578456475362	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000252430726105586	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000592370770594441	Up
STEAP2	2841.63847069616	1.95824460476259	0.0910050514426143	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000399578223176529	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000803723054617932	Up
SERPINA3	2595.55229121291	3.21783994841292	0.150476825920345	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000936211877569949	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000164773290452311	Up
GPX3	11991.6322347417	3.68186034774283	0.17936700990564	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000282660637131001	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000442206863422722	Up
MT2A	3507.68927052556	2.15939807364295	0.105655768198177	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000137996035877486	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001942984185155	Up
PDPN	1068.73649166935	1.86820195996338	0.0929020118354331	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000052990027161327	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000678272347664985	Up
FGD4	1178.32888689896	2.20560991139987	0.114937940175179	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000166113100548108	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000194906037976446	Up
ADAMTS1	29259.2920711437	2.31697226306929	0.121038199476139	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000191447347537754	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000207352204102429	Up
SORT1	5369.45431767181	2.16946864490966	0.113261613459495	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000207648144093814	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000208834704917208	Up
VCAM1	503.123952364428	-3.69460228506987	0.200521082335853	0.00000000000000000000000000000000000000000000000000000000000000000000000000000451870833850586	0.00000000000000000000000000000000000000000000000000000000000000000000000000424156089374417	Down
SYNPO2	9038.76681098267	1.72122135666773	0.0933123128700784	0.0000000000000000000000000000000000000000000000000000000000000000000000000000238748654365557	0.000000000000000000000000000000000000000000000000000000000000000000000000021009881584169	Up
DNAJB4	1286.27865546289	1.55121887418346	0.084074268718478	0.0000000000000000000000000000000000000000000000000000000000000000000000000000391369519486434	0.0000000000000000000000000000000000000000000000000000000000000000000000000324146049080529	Up
