ontology_id	ontology_name	nr_common_with_tested_elements	nr_common_with_background_elements	p_value	eFDR	source	direction
saa00740	Riboflavin metabolism	0	10	1	1	KEGG	Up-biofilm
saa00760	Nicotinate and nicotinamide metabolism	0	6	1	1	KEGG	Up-biofilm
saa00770	Pantothenate and CoA biosynthesis	2	17	0.327127575322241	1	KEGG	Up-biofilm
saa00780	Biotin metabolism	0	8	1	1	KEGG	Up-biofilm
saa00785	Lipoic acid metabolism	0	19	1	1	KEGG	Up-biofilm
saa00790	Folate biosynthesis	0	20	1	1	KEGG	Up-biofilm
saa00860	Porphyrin metabolism	0	15	1	1	KEGG	Up-biofilm
saa00900	Terpenoid backbone biosynthesis	0	13	1	1	KEGG	Up-biofilm
saa00906	Carotenoid biosynthesis	0	6	1	1	KEGG	Up-biofilm
saa00910	Nitrogen metabolism	1	12	0.574534981729773	1	KEGG	Up-biofilm
saa00920	Sulfur metabolism	0	8	1	1	KEGG	Up-biofilm
saa00970	Aminoacyl-tRNA biosynthesis	0	49	1	1	KEGG	Up-biofilm
saa00975	Biosynthesis of various siderophores	0	7	1	1	KEGG	Up-biofilm
saa01100	Metabolic pathways	15	501	0.999992212071645	1	KEGG	Up-biofilm
saa01110	Biosynthesis of secondary metabolites	4	258	0.999993550966221	1	KEGG	Up-biofilm
saa01120	Microbial metabolism in diverse environments	6	138	0.923708159447814	1	KEGG	Up-biofilm
saa01200	Carbon metabolism	2	80	0.978183359057983	1	KEGG	Up-biofilm
saa01210	2-Oxocarboxylic acid metabolism	0	31	1	1	KEGG	Up-biofilm
saa01212	Fatty acid metabolism	0	18	1	1	KEGG	Up-biofilm
saa01220	Degradation of aromatic compounds	1	5	0.29917909630408	1	KEGG	Up-biofilm
saa01230	Biosynthesis of amino acids	2	88	0.986831973366872	1	KEGG	Up-biofilm
saa01232	Nucleotide metabolism	2	31	0.638988273524163	1	KEGG	Up-biofilm
saa01240	Biosynthesis of cofactors	4	106	0.941980888624804	1	KEGG	Up-biofilm
saa01250	Biosynthesis of nucleotide sugars	0	19	1	1	KEGG	Up-biofilm
saa01310	Nitrogen cycle	0	5	1	1	KEGG	Up-biofilm
saa01501	beta-Lactam resistance	0	11	1	1	KEGG	Up-biofilm
saa01502	Vancomycin resistance	0	6	1	1	KEGG	Up-biofilm
saa01503	Cationic antimicrobial peptide (CAMP) resistance	0	13	1	1	KEGG	Up-biofilm
saa02010	ABC transporters	4	73	0.750238478717652	1	KEGG	Up-biofilm
saa02020	Two-component system	3	77	0.908925835572751	1	KEGG	Up-biofilm
saa02024	Quorum sensing	4	51	0.467633032790148	1	KEGG	Up-biofilm
saa02060	Phosphotransferase system (PTS)	1	21	0.776554896940577	1	KEGG	Up-biofilm
saa03010	Ribosome	10	67	0.0141826173718538	0.3455	KEGG	Up-biofilm
saa03018	RNA degradation	2	14	0.248708402909698	1	KEGG	Up-biofilm
saa03020	RNA polymerase	0	5	1	1	KEGG	Up-biofilm
saa03030	DNA replication	0	16	1	1	KEGG	Up-biofilm
saa03060	Protein export	1	15	0.656630952349103	1	KEGG	Up-biofilm
saa03070	Bacterial secretion system	1	12	0.574534981729773	1	KEGG	Up-biofilm
saa03410	Base excision repair	0	10	1	1	KEGG	Up-biofilm
saa03420	Nucleotide excision repair	0	7	1	1	KEGG	Up-biofilm
saa03430	Mismatch repair	0	18	1	1	KEGG	Up-biofilm
saa03440	Homologous recombination	1	21	0.776554896940577	1	KEGG	Up-biofilm
saa04122	Sulfur relay system	0	10	1	1	KEGG	Up-biofilm
saa04146	Peroxisome	1	6	0.347341237703447	1	KEGG	Up-biofilm
saa04156	Integrated stress response (ISR) signaling pathway	2	5	0.0407203233098394	0.3914	KEGG	Up-biofilm
saa05150	Staphylococcus aureus infection	5	29	0.0441714266721115	0.398166666666667	KEGG	Up-biofilm
GO:0000105	L-histidine biosynthetic process	0	2	1	1	GO:BP	Up-biofilm
GO:0000160	phosphorelay signal transduction system	0	7	1	1	GO:BP	Up-biofilm
GO:0000162	tryptophan biosynthetic process	0	2	1	1	GO:BP	Up-biofilm
GO:0001522	pseudouridine synthesis	0	7	1	1	GO:BP	Up-biofilm
GO:0005975	carbohydrate metabolic process	0	15	1	1	GO:BP	Up-biofilm
GO:0006096	glycolytic process	0	10	1	1	GO:BP	Up-biofilm
GO:0006099	tricarboxylic acid cycle	0	7	1	1	GO:BP	Up-biofilm
GO:0006189	'de novo' IMP biosynthetic process	0	7	1	1	GO:BP	Up-biofilm
GO:0006260	DNA replication	2	20	0.403299836061896	1	GO:BP	Up-biofilm
GO:0006265	DNA topological change	0	6	1	1	GO:BP	Up-biofilm
GO:0006281	DNA repair	3	24	0.224436002907259	1	GO:BP	Up-biofilm
GO:0006310	DNA recombination	1	26	0.843942287824642	1	GO:BP	Up-biofilm
GO:0006313	DNA transposition	0	8	1	1	GO:BP	Up-biofilm
GO:0006351	DNA-templated transcription	0	8	1	1	GO:BP	Up-biofilm
GO:0006355	regulation of DNA-templated transcription	2	47	0.84462603293631	1	GO:BP	Up-biofilm
GO:0006364	rRNA processing	0	9	1	1	GO:BP	Up-biofilm
GO:0006400	tRNA modification	0	10	1	1	GO:BP	Up-biofilm
GO:0006412	translation	0	60	1	1	GO:BP	Up-biofilm
GO:0006508	proteolysis	0	15	1	1	GO:BP	Up-biofilm
GO:0006520	amino acid metabolic process	0	6	1	1	GO:BP	Up-biofilm
GO:0006633	fatty acid biosynthetic process	0	10	1	1	GO:BP	Up-biofilm
GO:0006777	Mo-molybdopterin cofactor biosynthetic process	0	7	1	1	GO:BP	Up-biofilm
GO:0006810	transport	0	7	1	1	GO:BP	Up-biofilm
GO:0006812	monoatomic cation transport	0	5	1	1	GO:BP	Up-biofilm
GO:0006865	amino acid transport	0	11	1	1	GO:BP	Up-biofilm
GO:0007165	signal transduction	0	5	1	1	GO:BP	Up-biofilm
GO:0008033	tRNA processing	0	9	1	1	GO:BP	Up-biofilm
GO:0008152	metabolic process	0	8	1	1	GO:BP	Up-biofilm
GO:0008360	regulation of cell shape	0	5	1	1	GO:BP	Up-biofilm
GO:0008643	carbohydrate transport	1	4	0.247487341705232	1	GO:BP	Up-biofilm
GO:0009089	lysine biosynthetic process via diaminopimelate	0	5	1	1	GO:BP	Up-biofilm
GO:0009228	thiamine biosynthetic process	0	6	1	1	GO:BP	Up-biofilm
GO:0009234	menaquinone biosynthetic process	0	9	1	1	GO:BP	Up-biofilm
GO:0009252	peptidoglycan biosynthetic process	0	13	1	1	GO:BP	Up-biofilm
GO:0009306	protein secretion	0	10	1	1	GO:BP	Up-biofilm
GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	1	19	0.742115791217555	1	GO:BP	Up-biofilm
GO:0015074	DNA integration	1	4	0.247487341705232	1	GO:BP	Up-biofilm
GO:0015986	proton motive force-driven ATP synthesis	0	6	1	1	GO:BP	Up-biofilm
GO:0016032	viral process	0	3	1	1	GO:BP	Up-biofilm
GO:0016226	iron-sulfur cluster assembly	1	5	0.29917909630408	1	GO:BP	Up-biofilm
GO:0016310	phosphorylation	2	7	0.0781087116965831	1	GO:BP	Up-biofilm
GO:0019068	virion assembly	0	4	1	1	GO:BP	Up-biofilm
GO:0019350	teichoic acid biosynthetic process	0	8	1	1	GO:BP	Up-biofilm
GO:0019512	lactose catabolic process via tagatose-6-phosphate	0	5	1	1	GO:BP	Up-biofilm
GO:0030001	metal ion transport	0	5	1	1	GO:BP	Up-biofilm
GO:0032259	methylation	1	5	0.29917909630408	1	GO:BP	Up-biofilm
GO:0036211	protein modification process	0	5	1	1	GO:BP	Up-biofilm
GO:0042254	ribosome biogenesis	0	6	1	1	GO:BP	Up-biofilm
GO:0045892	negative regulation of DNA-templated transcription	1	6	0.347341237703447	1	GO:BP	Up-biofilm
GO:0051301	cell division	0	8	1	1	GO:BP	Up-biofilm
GO:0055085	transmembrane transport	0	51	1	1	GO:BP	Up-biofilm
GO:0071555	cell wall organization	0	6	1	1	GO:BP	Up-biofilm
GO:0000155	phosphorelay sensor kinase activity	0	7	1	1	GO:MF	Up-biofilm
GO:0000166	nucleotide binding	0	21	1	1	GO:MF	Up-biofilm
GO:0000287	magnesium ion binding	0	10	1	1	GO:MF	Up-biofilm
GO:0003676	nucleic acid binding	0	13	1	1	GO:MF	Up-biofilm
GO:0003677	DNA binding	5	96	0.801248226843923	1	GO:MF	Up-biofilm
GO:0003678	DNA helicase activity	0	7	1	1	GO:MF	Up-biofilm
GO:0003684	damaged DNA binding	1	5	0.29917909630408	1	GO:MF	Up-biofilm
GO:0003697	single-stranded DNA binding	1	5	0.29917909630408	1	GO:MF	Up-biofilm
GO:0003700	DNA-binding transcription factor activity	1	40	0.943129527755757	1	GO:MF	Up-biofilm
GO:0003723	RNA binding	0	30	1	1	GO:MF	Up-biofilm
GO:0003735	structural constituent of ribosome	0	56	1	1	GO:MF	Up-biofilm
GO:0003824	catalytic activity	1	19	0.742115791217555	1	GO:MF	Up-biofilm
GO:0003887	DNA-directed DNA polymerase activity	1	9	0.472965857157177	1	GO:MF	Up-biofilm
GO:0003899	DNA-directed 5'-3' RNA polymerase activity	0	6	1	1	GO:MF	Up-biofilm
GO:0003924	GTPase activity	0	16	1	1	GO:MF	Up-biofilm
GO:0004040	amidase activity	1	6	0.347341237703447	1	GO:MF	Up-biofilm
GO:0004252	serine-type endopeptidase activity	0	7	1	1	GO:MF	Up-biofilm
GO:0004519	endonuclease activity	0	3	1	1	GO:MF	Up-biofilm
GO:0004803	transposase activity	0	14	1	1	GO:MF	Up-biofilm
GO:0005198	structural molecule activity	0	6	1	1	GO:MF	Up-biofilm
GO:0005215	transporter activity	0	5	1	1	GO:MF	Up-biofilm
GO:0005515	protein binding	1	15	0.656630952349103	1	GO:MF	Up-biofilm
GO:0005524	ATP binding	4	137	0.988345388395218	1	GO:MF	Up-biofilm
GO:0005525	GTP binding	0	20	1	1	GO:MF	Up-biofilm
GO:0008080	N-acetyltransferase activity	0	18	1	1	GO:MF	Up-biofilm
GO:0008168	methyltransferase activity	0	8	1	1	GO:MF	Up-biofilm
GO:0008253	5'-nucleotidase activity	0	5	1	1	GO:MF	Up-biofilm
GO:0008270	zinc ion binding	0	15	1	1	GO:MF	Up-biofilm
GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	0	8	1	1	GO:MF	Up-biofilm
GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	0	10	1	1	GO:MF	Up-biofilm
GO:0009009	site-specific recombinase activity	0	7	1	1	GO:MF	Up-biofilm
GO:0009055	electron transfer activity	1	10	0.50924887846498	1	GO:MF	Up-biofilm
GO:0009982	pseudouridine synthase activity	0	7	1	1	GO:MF	Up-biofilm
GO:0010181	FMN binding	2	13	0.222581594985688	1	GO:MF	Up-biofilm
GO:0015035	protein-disulfide reductase activity	2	6	0.0583683893072435	1	GO:MF	Up-biofilm
GO:0015078	proton transmembrane transporter activity	0	7	1	1	GO:MF	Up-biofilm
GO:0015171	amino acid transmembrane transporter activity	0	10	1	1	GO:MF	Up-biofilm
GO:0015293	symporter activity	0	9	1	1	GO:MF	Up-biofilm
GO:0016301	kinase activity	1	5	0.29917909630408	1	GO:MF	Up-biofilm
GO:0016491	oxidoreductase activity	2	32	0.656402198499019	1	GO:MF	Up-biofilm
GO:0016746	acyltransferase activity	0	21	1	1	GO:MF	Up-biofilm
GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	0	6	1	1	GO:MF	Up-biofilm
GO:0016757	glycosyltransferase activity	0	7	1	1	GO:MF	Up-biofilm
GO:0016787	hydrolase activity	0	44	1	1	GO:MF	Up-biofilm
GO:0016791	phosphatase activity	0	5	1	1	GO:MF	Up-biofilm
GO:0016887	ATP hydrolysis activity	1	44	0.957429661523283	1	GO:MF	Up-biofilm
GO:0020037	heme binding	0	8	1	1	GO:MF	Up-biofilm
GO:0022857	transmembrane transporter activity	0	43	1	1	GO:MF	Up-biofilm
GO:0030170	pyridoxal phosphate binding	0	18	1	1	GO:MF	Up-biofilm
