pathway	pval	padj	log2err	ES	NES	size	source
flavin adenine dinucleotide binding	0.426614481409002	0.717206954252815	0.0865399737444125	-0.524486393287078	-1.04293295871327	14	GO:MF
glycolytic process	0.677484787018256	0.86360698125404	0.0645031249656493	-0.443461426262581	-0.831114205464127	10	GO:BP
hydrolase activity	0.247899159663866	0.61144578313253	0.125033367555272	0.46228693899364	1.16786431376806	44	GO:MF
magnesium ion binding	0.557809330628803	0.817578772802653	0.0741758965588009	-0.504605024297605	-0.945706613936668	10	GO:MF
metal ion binding	0.738805970149254	0.918520309477756	0.0564118388217596	-0.324618021080626	-0.825113855604636	55	GO:MF
nucleic acid binding	0.972602739726027	0.977035490605428	0.0459538081039063	-0.261767215617681	-0.512550241969047	13	GO:MF
nucleotide binding	0.175572519083969	0.507358238139343	0.143758989039275	-0.606185735879057	-1.27651397055869	21	GO:MF
oxidoreductase activity	0.0433458532611166	0.248638022232822	0.321775918075361	0.624317657498639	1.49464421398081	32	GO:MF
peptidoglycan biosynthetic process	0.0521042084168337	0.262786442450118	0.282013350011725	-0.79616565200755	-1.53239912986054	12	GO:BP
phosphoenolpyruvate-dependent sugar phosphotransferase system	0.0181211299230465	0.150146505076671	0.352487857583619	-0.76007899802324	-1.57605585157571	19	GO:BP
protein binding	0.969325153374233	0.977035490605428	0.0481183992657975	0.256883540701275	0.536315830369027	15	GO:MF
protein secretion	0.269776876267748	0.625882352941176	0.116739204791222	-0.638669249079106	-1.19696337509286	10	GO:BP
protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	0.00544635825271291	0.0628081817939643	0.407017918923954	-0.879582580814768	-1.64847162458972	10	GO:MF
proteolysis	0.249488752556237	0.61144578313253	0.122679189568808	0.567258617551643	1.18431011841268	15	GO:BP
pyridoxal phosphate binding	0.608187134502924	0.82999656002752	0.0678338263479455	-0.431157535471413	-0.884570677643565	17	GO:MF
regulation of DNA-templated transcription	0.260042283298097	0.615610303317945	0.122107920287081	0.445626080786685	1.14273090702529	47	GO:BP
structural constituent of ribosome	2.61759267407348e-07	1.64772288250675e-05	0.674962860011025	-0.808274800131134	-2.04635050944165	54	GO:MF
tRNA modification	0.249492900608519	0.61144578313253	0.122107920287081	-0.654047089115918	-1.22578378775347	10	GO:BP
translation	2.84090152156336e-07	1.64772288250675e-05	0.674962860011025	-0.799170921165061	-2.04034030205186	57	GO:BP
transmembrane transport	0.00455979754736868	0.0628081817939643	0.407017918923954	-0.653584114229464	-1.63936899180064	51	GO:BP
transmembrane transporter activity	0.000505394987023897	0.014656454623693	0.477270815362862	-0.73706179123033	-1.80783523258042	43	GO:MF
transposase activity	0.928716904276986	0.977035490605428	0.0498907356726307	0.300488237905016	0.61587457347209	14	GO:MF
zinc ion binding	0.635477582846004	0.857155809420191	0.065681360193401	-0.435069561686269	-0.87698592634505	15	GO:MF
