pathway	pval	padj	log2err	ES	NES	size	source
2-Oxocarboxylic acid metabolism	0.0510204081632653	0.262786442450118	0.287857117255149	0.606291371988502	1.43884793202786	31	KEGG
4 iron, 4 sulfur cluster binding	0.504911591355599	0.789233644859813	0.0776798560117236	0.51165926490888	0.979341568063887	10	GO:MF
ABC transporters	0.910815939278937	0.977035490605428	0.0475434194201301	-0.27215430858431	-0.726316387354576	73	KEGG
ABC-type transporter activity	0.57089552238806	0.817578772802653	0.0687943095604775	-0.363333331885782	-0.92352040513332	55	GO:MF
ATP binding	0.118299445471349	0.403609872784604	0.175204047558551	-0.422176522924529	-1.21943199596302	136	GO:MF
ATP hydrolysis activity	0.935361216730038	0.977035490605428	0.0464154956843849	-0.276956553015514	-0.680210541198344	44	GO:MF
ATPase-coupled transmembrane transporter activity	0.956766917293233	0.977035490605428	0.0448645113168564	-0.266745128622459	-0.669070258987359	51	GO:MF
Alanine, aspartate and glutamate metabolism	0.282945736434109	0.643562851497188	0.110564716336619	-0.574171428324336	-1.19056866690386	19	KEGG
Amino sugar and nucleotide sugar metabolism	0.606463878326996	0.82999656002752	0.0667426134241917	-0.411575142855404	-0.894114871291734	24	KEGG
Aminoacyl-tRNA biosynthesis	0.00251739150767879	0.0572270497082816	0.431707695803346	-0.692418385843964	-1.72637712626383	49	KEGG
Arginine biosynthesis	0.292635658914729	0.650040822385512	0.108394255853397	-0.568906582810907	-1.17965178773648	19	KEGG
Bacterial secretion system	0.673346693386774	0.86360698125404	0.0642140881844605	-0.433079991146876	-0.833559448238026	12	KEGG
Base excision repair	0.846758349705305	0.954153182308522	0.0524827622635459	0.356832005222839	0.682994405647185	10	KEGG
Biosynthesis of amino acids	0.32	0.662857142857143	0.107972360317345	0.386098898090938	1.08333761351464	88	KEGG
Biosynthesis of cofactors	0.0823970037453183	0.329588014981273	0.213927855492356	-0.460919179803688	-1.28816708388873	105	KEGG
Biosynthesis of nucleotide sugars	0.843023255813954	0.954153182308522	0.0520570030732099	-0.341324553227944	-0.707750853267119	19	KEGG
Biosynthesis of secondary metabolites	0.208487084870849	0.575821472500439	0.128142916898415	-0.358559015237462	-1.11526175948467	256	KEGG
Butanoate metabolism	0.14519427402863	0.443224625982133	0.165656695205483	0.623214183450599	1.33700877518612	17	KEGG
Carbon fixation by Calvin cycle	0.534791252485089	0.805659549198317	0.0753093764172773	0.473708968329378	0.94328924519722	12	KEGG
Carbon metabolism	0.00296001981249733	0.0572270497082816	0.431707695803346	0.586616650444353	1.62126040022338	79	KEGG
Cationic antimicrobial peptide (CAMP) resistance	0.804480651731161	0.954153182308522	0.0565299525056311	0.369491507751032	0.742928334642171	13	KEGG
Citrate cycle (TCA cycle)	0.0211266274427987	0.15316804896029	0.352487857583619	0.711895597067679	1.57267056948939	21	KEGG
Cysteine and methionine metabolism	0.132958801498127	0.428422804827299	0.165656695205483	-0.602755292168827	-1.32363419901697	25	KEGG
D-Amino acid metabolism	0.0547945205479452	0.263137996219282	0.271288554688953	-0.757227093601092	-1.5057341873023	14	KEGG
DNA binding	0.821153846153846	0.954153182308522	0.0529129848430583	-0.301222318999022	-0.825040802404032	96	GO:MF
DNA recombination	0.963809523809524	0.977035490605428	0.0451344222209097	-0.265360504745019	-0.583392104889819	26	GO:BP
DNA repair	0.86344537815126	0.963073691014868	0.0546808488785442	0.309302433589183	0.697097638881329	24	GO:BP
DNA replication	0.35140562248996	0.677361853832442	0.099233334377119	0.500901810034776	1.06631335081685	16	KEGG
DNA replication	0.911025145067698	0.977035490605428	0.0484087618816951	-0.307668405760128	-0.640782865151953	20	KEGG
DNA-binding transcription factor activity	0.744318181818182	0.918520309477756	0.0567672387487446	-0.333843989489497	-0.810256367713867	40	GO:MF
FMN binding	0.0450120557490454	0.248638022232822	0.321775918075361	0.750892953074593	1.50980371515911	13	GO:MF
Fatty acid biosynthesis	0.65173116089613	0.86360698125404	0.0665892104103933	0.42387881507844	0.86877338780498	14	KEGG
Fatty acid degradation	0.011479839376979	0.11097178064413	0.380730400722792	0.84509902152366	1.61756203331064	10	KEGG
Fatty acid metabolism	0.657084188911704	0.86360698125404	0.0665892104103933	0.40311742877418	0.874138480958007	18	KEGG
Folate biosynthesis	0.589941972920696	0.82999656002752	0.0689567351672811	-0.437678561599409	-0.911555809652784	20	KEGG
Fructose and mannose metabolism	0.847222222222222	0.954153182308522	0.0529129848430583	-0.337686719792379	-0.686329627802221	16	KEGG
GTP binding	0.166666666666667	0.495726495726496	0.149207542435322	-0.626621765807248	-1.29932665327377	19	GO:MF
GTPase activity	0.0228931500195691	0.156212082486472	0.352487857583619	-0.777839874300694	-1.56792081723156	15	GO:MF
Galactose metabolism	0.412915851272016	0.70460358056266	0.0883594442500905	-0.530493325894241	-1.05487764989489	14	KEGG
Glycerolipid metabolism	0.253012048192771	0.61144578313253	0.120433371642259	0.548044702726252	1.16667053632903	16	KEGG
Glycerophospholipid metabolism	0.364948453608247	0.677361853832442	0.0985499803531691	0.493525554779529	1.08234933172952	20	KEGG
Glycine, serine and threonine metabolism	0.569593147751606	0.817578772802653	0.0758886900606117	0.396894895327452	0.920289644659187	29	KEGG
Glycolysis / Gluconeogenesis	0.179324894514768	0.507358238139343	0.150169802128406	0.513505882896414	1.25300293623913	38	KEGG
Glyoxylate and dicarboxylate metabolism	0.0989473684210526	0.358684210526316	0.206587922696891	0.620754011317123	1.37926196789773	22	KEGG
Homologous recombination	0.49236641221374	0.782390463243752	0.0774767547848578	-0.468015186423168	-0.985552593111499	21	KEGG
Lipoic acid metabolism	0.813953488372093	0.954153182308522	0.0536769600638126	-0.35337334132151	-0.73273452342331	19	KEGG
Lysine biosynthesis	0.302605210420842	0.650040822385512	0.108394255853397	-0.60329648119266	-1.16117921000037	12	KEGG
Metabolic pathways	0.0274525151173193	0.176916208533836	0.352487857583619	-0.377905425663476	-1.2509331889147	496	KEGG
Methane metabolism	0.0657084188911704	0.282302836717621	0.252961123069611	0.683163225875156	1.48140274244359	18	KEGG
Microbial metabolism in diverse environments	0.41304347826087	0.70460358056266	0.0943563635421779	0.338938463309683	1.01593210209038	137	KEGG
Mismatch repair	0.347572815533981	0.677361853832442	0.0978773277424561	-0.537518987502922	-1.10700938356555	18	KEGG
N-acetyltransferase activity	0.0882956878850103	0.341409993155373	0.216542836735348	0.66251418671536	1.43662641069512	18	GO:MF
NAD binding	0.832335329341317	0.954153182308522	0.0540088272801684	-0.352907475175949	-0.672539848695833	11	GO:MF
NADP binding	0.884231536926148	0.976865316985078	0.051218434854034	-0.32539289459271	-0.620104994905459	11	GO:MF
Nitrogen metabolism	0.0656063618290258	0.282302836717621	0.248911114434702	0.741798610095496	1.47713194764511	12	KEGG
Nucleotide metabolism	0.0302457070873985	0.18465800116517	0.352487857583619	-0.65656267465496	-1.51027441389382	31	KEGG
One carbon pool by folate	0.532945736434108	0.805659549198317	0.0741758965588009	-0.45418465242778	-0.941771027769924	19	KEGG
Other carbon fixation pathways	0.0171295505366286	0.150146505076671	0.352487857583619	0.713760444184218	1.60865439884825	24	KEGG
Oxidative phosphorylation	0.00349893577927474	0.0579823643422672	0.431707695803346	-0.77655037403036	-1.63527008740125	21	KEGG
Pantothenate and CoA biosynthesis	0.247443762781186	0.61144578313253	0.123257226381337	0.554256469750557	1.18907076160746	17	KEGG
Pentose phosphate pathway	0.019561721841615	0.151277315575156	0.352487857583619	0.713148027221883	1.57543735165797	21	KEGG
Peptidoglycan biosynthesis	0.483809523809524	0.779470899470899	0.0782955249944794	-0.453258796799975	-0.996484400642245	26	KEGG
Phenylalanine, tyrosine and tryptophan biosynthesis	0.108216432865731	0.380397157952268	0.191892240384838	-0.728841507962635	-1.40281873475948	12	KEGG
Phosphotransferase system (PTS)	0.377862595419847	0.677361853832442	0.0919686140000427	-0.515146407042232	-1.08480214322253	21	KEGG
Porphyrin metabolism	0.00595594827356558	0.0628081817939643	0.407017918923954	-0.82615349495344	-1.66530838256482	15	KEGG
Propanoate metabolism	0.0777310924369748	0.32202881152461	0.234392647294686	0.62701168469012	1.41314234057735	24	KEGG
Protein export	0.785575048732943	0.949236517218973	0.0555947097758869	-0.365892956089426	-0.737544064897386	15	KEGG
Purine metabolism	0.000208515164377388	0.00806258635592566	0.518848077743792	-0.75408455938291	-1.84958798708275	43	KEGG
Pyrimidine metabolism	0.056710775047259	0.263137996219282	0.261663521711573	-0.654225877626634	-1.45790117443456	27	KEGG
Pyruvate metabolism	0.607966457023061	0.82999656002752	0.0714786287425507	0.360535849439174	0.902319213166247	42	KEGG
Quorum sensing	0.0921052631578947	0.3446519524618	0.20207170902116	-0.537898024616834	-1.34919641268707	51	KEGG
RNA binding	0.510280373831776	0.789233644859813	0.0745500777420554	-0.429191254563255	-0.979149073297553	29	GO:MF
RNA degradation	0.142566191446029	0.443224625982133	0.166933848713193	0.656246729364241	1.34502993314305	14	KEGG
Riboflavin metabolism	0.131630648330059	0.428422804827299	0.170932335370056	0.719130404085588	1.37645176366545	10	KEGG
Ribosome	0.00534564769049378	0.0628081817939643	0.407017918923954	-0.627160240040467	-1.63861967696642	65	KEGG
S-adenosyl-L-methionine binding	0.783231083844581	0.949236517218973	0.0579754757571486	0.359710544439247	0.750995796798716	15	GO:MF
Staphylococcus aureus infection	0.381156316916488	0.677361853832442	0.0982123351217438	0.457842171586682	1.06160954539834	29	KEGG
Starch and sucrose metabolism	0.961145194274029	0.977035490605428	0.048505983646947	0.264455487647319	0.552124375372696	15	KEGG
Sulfur relay system	0.385395537525355	0.677361853832442	0.0943563635421779	-0.579163526065331	-1.08544059368666	10	KEGG
Teichoic acid biosynthesis	0.671726755218216	0.86360698125404	0.0617054053637522	-0.394440591310504	-0.846059623718187	22	KEGG
Terpenoid backbone biosynthesis	0.926680244399185	0.977035490605428	0.0499913914024592	0.308955908069387	0.621210754360587	13	KEGG
Thiamine metabolism	0.346855983772819	0.677361853832442	0.100633389423036	-0.601090385518141	-1.1265348654614	10	KEGG
Two-component system	0.977035490605428	0.977035490605428	0.048701086452153	0.244883994868336	0.677856457412559	77	KEGG
Valine, leucine and isoleucine biosynthesis	0.548902195608782	0.816316085777164	0.0741758965588009	-0.49251997802952	-0.938601006789394	11	KEGG
Valine, leucine and isoleucine degradation	0.437375745526839	0.71913835956918	0.0860347242455604	0.514994962406063	1.02550139821421	12	KEGG
acyltransferase activity	0.341004184100418	0.677361853832442	0.103576326612592	0.492755643216082	1.08856172341528	21	GO:MF
amino acid transmembrane transporter activity	0.219066937119675	0.590971272229822	0.131457611642763	-0.671156578351739	-1.25784957456151	10	GO:MF
amino acid transport	0.369261477045908	0.677361853832442	0.0959206777921745	-0.588851110302195	-1.12218035741398	11	GO:BP
beta-Lactam resistance	0.440162271805274	0.71913835956918	0.086794975677172	-0.557238552794627	-1.04434985690426	10	KEGG
carbohydrate metabolic process	0.310838445807771	0.655586540249117	0.107972360317345	0.535347910538441	1.11768764317457	15	GO:BP
catalytic activity	0.297087378640777	0.650040822385512	0.107554375265169	-0.5701627317046	-1.17423850846371	18	GO:MF
electron transfer activity	0.383367139959432	0.677361853832442	0.0946646223153342	-0.579663458961616	-1.08637754402163	10	GO:MF
fatty acid biosynthetic process	0.713163064833006	0.899205603485094	0.0605092988656667	0.42035820303193	0.804586743443652	10	GO:BP
