gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SAUSA300_RS02705	936.55353061681	1.5938492776020894	0.039106927018536436	0	0	Up
SAUSA300_RS04640	2170.968142539572	0.9060295084764444	0.018833760696693333	0	0	Not significant
SAUSA300_RS05430	1072.0215767916734	-1.1430603664471666	0.026168457990116092	0	0	Not significant
SAUSA300_RS05830	997.6965796848901	-1.2572873911465838	0.03347788489424612	0	0	Not significant
SAUSA300_RS06160	3857.151861291898	0.9563482949655749	0.022152009281286883	0	0	Not significant
SAUSA300_RS11990	1247.8940085878583	-0.9039569568630534	0.021499741903137096	0	0	Not significant
SAUSA300_RS12155	1730.400183303417	-0.8840026209155712	0.019461246535330965	0	0	Not significant
SAUSA300_RS13840	2133.7793148560577	1.3603508778824311	0.026282999651353826	0	0	Not significant
SAUSA300_RS12695	326.8410494177569	-2.90756199795434	0.07782674063431318	9.804381602556066e-307	2.47832979397945e-304	Down
SAUSA300_RS08955	848.5500098432319	1.0688700082801685	0.029328052889079737	1.945862152001798e-290	4.42683639580409e-288	Not significant
SAUSA300_RS11455	483.6764051832766	-1.306304643448366	0.03602892359381911	9.098857649548279e-288	1.8818091957020303e-285	Not significant
SAUSA300_RS12700	121.19438837016148	-3.2040606706407995	0.09186252260292696	6.531490570350285e-267	1.2382617539622415e-264	Down
SAUSA300_RS07055	229.826663236943	1.6232361057782603	0.04681345493488919	5.572967598938027e-264	9.752693298141547e-262	Up
SAUSA300_RS13660	169.98249987914005	-2.0609332086417202	0.06368919303915023	1.231434860587699e-230	2.001081648455011e-228	Down
SAUSA300_RS08800	509.46346663612235	-0.9108298513931478	0.02873171601979004	5.945166691925376e-221	9.016836149420153e-219	Not significant
SAUSA300_RS06375	6060.341837476268	0.7250807129578167	0.0251519135802518	4.182188687628804e-183	5.946549540222206e-181	Not significant
SAUSA300_RS12370	79.57205280469992	-2.842966634048367	0.10469360314960804	2.4434981378353374e-163	3.2699754491619954e-161	Down
SAUSA300_RS12380	121.67507042587569	-2.459253967888613	0.09331181198117786	1.2635839984987627e-154	1.5970297758803806e-152	Down
SAUSA300_RS09220	2809.5878869179346	-0.40955911965775693	0.01565084388922424	2.0435564917720587e-150	2.446890009884965e-148	Not significant
SAUSA300_RS01450	822.5651483153047	2.404598476333284	0.09742944015670031	3.678616315654439e-139	4.1844260590569244e-137	Up
SAUSA300_RS08730	809.0861255541075	-1.2100099678550886	0.049515844270830674	4.061263100844328e-134	4.3997016925813556e-132	Not significant
SAUSA300_RS09165	2240.4896461520043	1.200677053338822	0.04996148261681889	4.6025681843394236e-129	4.759473917896449e-127	Not significant
SAUSA300_RS04845	717.3074900972446	1.3864787461994936	0.057852629592633445	2.854316531911e-128	2.8232913522163153e-126	Not significant
SAUSA300_RS12210	615.1420692444956	-0.6988426620849275	0.029240672866387867	1.308326124590013e-126	1.2401841389342833e-124	Not significant
SAUSA300_RS02805	864.3088462272841	-2.070435851491236	0.08868841767003048	1.9598569588900736e-123	1.783469832589967e-121	Down
SAUSA300_RS12375	85.91454777336274	-3.156320667484418	0.13567168650323974	1.3688143601618319e-121	1.1977125651416029e-119	Down
SAUSA300_RS05240	361.0194701187547	-1.7026976182913542	0.07307453738187057	1.5735723551852417e-121	1.3258804103875646e-119	Down
SAUSA300_RS09275	1103.9534765646479	1.0943059856800648	0.04767743139987975	8.715856102195916e-118	7.081633083034182e-116	Not significant
SAUSA300_RS06390	740.7976907299774	0.9837727782958585	0.04288367901413068	5.330884116074614e-117	4.18198667726543e-115	Not significant
SAUSA300_RS08575	832.736722573896	0.853645331660636	0.03725328101101161	8.464007411943978e-117	6.418538954057516e-115	Not significant
SAUSA300_RS03490	3755.6538643805434	1.3659277410603845	0.06046545371681974	9.675095252933282e-115	7.100271516265554e-113	Not significant
SAUSA300_RS02960	1505.7809272514019	1.4698160918901826	0.06552197253716564	2.69025756902578e-113	1.9126049904792657e-111	Not significant
SAUSA300_RS00155	153.24597405976937	1.1424790564449807	0.05087374606705844	1.9773450463443765e-112	1.3631696910404413e-110	Not significant
SAUSA300_RS08305	985.1079750718337	0.8385371368005804	0.03748050433653499	3.769115730223974e-111	2.521981848899865e-109	Not significant
SAUSA300_RS01375	142.04238465100613	-1.5150591458885778	0.06886665833423802	5.128800471026763e-108	3.333720306167396e-106	Not significant
SAUSA300_RS01225	349.52552420085453	-1.7061341114593735	0.07845358521888936	1.8529337212851024e-106	1.170951171089891e-104	Down
SAUSA300_RS00955	337.3599822507142	-1.332376661157282	0.06109854203495383	7.499281829679566e-106	4.6110449087894623e-104	Not significant
SAUSA300_RS14340	759.4553552355387	-0.7912273418510195	0.03649812568271904	8.062947455962853e-105	4.827159332188287e-103	Not significant
SAUSA300_RS09055	533.8023446303517	1.4508911656698518	0.06799843198266213	2.6138132461479906e-102	1.524724393586328e-100	Not significant
SAUSA300_RS00895	4913.828371741817	2.4851961552395583	0.1194014555522847	1.8209226744445172e-101	1.0356497710903192e-99	Up
SAUSA300_RS13710	180.3602206133997	-1.4893248476281151	0.07033797069385689	5.519556680988464e-100	3.0626808412801843e-98	Not significant
