gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	direction
SAUSA300_RS00030	2311.1451966097725	1.5063901688774033	0.026585325363448434	0	0	Not significant
SAUSA300_RS00105	2424.82260695571	1.6249704728768306	0.02755384864063674	0	0	Up
SAUSA300_RS00110	2973.448703708144	0.8719317894756263	0.02308476582859534	0	0	Not significant
SAUSA300_RS00165	3631.6615176102696	-1.6709694466093512	0.021204478081419356	0	0	Down
SAUSA300_RS00460	819.8061984707302	2.779064690634509	0.05446918030370787	0	0	Up
SAUSA300_RS00560	6083.308963757053	3.4401343333831496	0.02474238445606328	0	0	Up
SAUSA300_RS00670	8229.242040253335	6.016239873048827	0.04575655326852113	0	0	Up
SAUSA300_RS00735	844.2656408060516	2.8385101247385043	0.05390372210122119	0	0	Up
SAUSA300_RS00740	2258.182354773366	2.4434713352201083	0.030805811699302205	0	0	Up
SAUSA300_RS00895	7109.004470446112	-1.0105541842347627	0.01693603567128286	0	0	Not significant
SAUSA300_RS00905	638.1027992835463	2.8175488546048193	0.06153879825707301	0	0	Up
SAUSA300_RS00960	1868.0680251848837	2.522048225704832	0.036152049897706914	0	0	Up
SAUSA300_RS00990	605.3736700089211	-2.3866702626792025	0.057497277466913715	0	0	Down
SAUSA300_RS00995	2875.501804664464	-2.0180692944335736	0.026332279458922705	0	0	Down
SAUSA300_RS01155	55252.034411918365	2.7134905587853195	0.010625229931533822	0	0	Up
SAUSA300_RS01160	21267.943489399942	3.1217933935659645	0.013961062928644442	0	0	Up
SAUSA300_RS01365	980.2616239567327	-3.6322407690321556	0.059636790978493885	0	0	Down
SAUSA300_RS01370	2878.95105185734	-1.5575692375991739	0.024321321402332063	0	0	Not significant
SAUSA300_RS01490	4425.696734982031	1.2687325970795647	0.021913352264877523	0	0	Not significant
SAUSA300_RS01650	1981.8663458381632	1.799186900903598	0.02904008276823451	0	0	Up
SAUSA300_RS01750	1442.6209300100545	1.530325015049818	0.034995433411129	0	0	Not significant
SAUSA300_RS01945	1633.1905004933099	1.3325628808389907	0.0321624569381375	0	0	Not significant
SAUSA300_RS01980	6337.396227901497	1.4058354527525587	0.016532328820690965	0	0	Not significant
SAUSA300_RS01990	28819.900951774394	3.089495912995285	0.011854441101521937	0	0	Up
SAUSA300_RS02020	5571.6013720948895	1.490810585934676	0.01753123940673957	0	0	Not significant
SAUSA300_RS02025	4467.644254832205	1.8695936735590668	0.024129064790266826	0	0	Up
SAUSA300_RS02030	1159.3456738574212	2.3047323897460616	0.041739881721661425	0	0	Up
SAUSA300_RS02045	1933.325101024425	1.8746838001826769	0.03828542288688766	0	0	Up
SAUSA300_RS02055	2970.426656075959	0.9167466806501358	0.022902954648313337	0	0	Not significant
SAUSA300_RS02425	1091.6095285962233	2.514090658410696	0.04495505274319219	0	0	Up
SAUSA300_RS02440	6678.250084633237	3.605043355290461	0.025586524898427967	0	0	Up
SAUSA300_RS02445	43396.242473062346	2.767121576003242	0.010420211789637887	0	0	Up
SAUSA300_RS02465	1024.702290862509	1.7234725536100735	0.04064360085683249	0	0	Up
SAUSA300_RS02535	1100.054438863281	1.9425775750920014	0.0401766373882936	0	0	Up
SAUSA300_RS02545	9162.020673269917	1.4275047640129437	0.01551391564853303	0	0	Not significant
SAUSA300_RS02550	19599.901510879554	2.759047525809519	0.0142934354252527	0	0	Up
SAUSA300_RS02560	1872.5764096842229	2.293125286146735	0.03319743585219176	0	0	Up
SAUSA300_RS02575	1646.2639918003795	1.3731573702918356	0.03286281499113045	0	0	Not significant
SAUSA300_RS02675	6596.650355815237	3.5946118372488476	0.0248584683721392	0	0	Up
SAUSA300_RS02685	40341.43218798424	2.798626718588111	0.010282199010398741	0	0	Up
SAUSA300_RS02700	7038.768794152375	3.083494108161632	0.021823438395123212	0	0	Up
SAUSA300_RS02715	820.5719143290385	2.6582474565181067	0.05318186081336261	0	0	Up
SAUSA300_RS02720	1406.1134707996614	2.853634352810409	0.042963362925110785	0	0	Up
SAUSA300_RS02725	1096.5889900324476	1.518356196165361	0.03792866823489701	0	0	Not significant
SAUSA300_RS02730	3131.6425529040403	1.3510955004660943	0.022629532473964844	0	0	Not significant
SAUSA300_RS02795	2186.739005299221	1.7226563766867626	0.028405675180783407	0	0	Up
SAUSA300_RS02845	12581.082391990183	0.5866606155383965	0.011222107826118675	0	0	Not significant
SAUSA300_RS02850	15623.452922262484	0.9244873561169955	0.012840270352020665	0	0	Not significant
SAUSA300_RS02860	2950.546087400518	1.2078022648152467	0.02304787853848376	0	0	Not significant
SAUSA300_RS02865	5655.723584697524	-1.8215166128772031	0.01851407936260332	0	0	Down
SAUSA300_RS02920	498.37400375711917	3.903722658077981	0.09216256461403935	0	0	Up
SAUSA300_RS02945	3289.463685579683	1.7781253278961542	0.023588685867870666	0	0	Up
SAUSA300_RS02965	3802.356734064606	0.82321513034646	0.020774853576909818	0	0	Not significant
SAUSA300_RS03030	2444.7117506998075	-1.4068453618523733	0.025609021092048333	0	0	Not significant
SAUSA300_RS03190	8725.59843739391	3.7272756424655333	0.023397871838461193	0	0	Up
SAUSA300_RS03235	10440.05212404212	4.862901898883184	0.029599998996891135	0	0	Up
SAUSA300_RS03605	1660.1067727442853	-2.2753338034994868	0.03431176269992314	0	0	Down
SAUSA300_RS03705	790.562472010028	-2.1718415073384096	0.048802102863341315	0	0	Down
SAUSA300_RS03845	2727.0088381229784	-2.2052559489357475	0.026203994277240683	0	0	Down
SAUSA300_RS03850	1345.1504227522437	-3.469415875938117	0.049134351034848686	0	0	Down
SAUSA300_RS03940	571.6112879620097	3.0094879947309923	0.06948792523172512	0	0	Up
SAUSA300_RS03960	4588.5529690353715	1.9177170687059022	0.02219663147344012	0	0	Up
SAUSA300_RS03965	2228.1719868558216	1.0824762700650075	0.026139905325953325	0	0	Not significant
SAUSA300_RS04000	1850.9006853153976	1.8074670958103909	0.031591994168059266	0	0	Up
SAUSA300_RS04045	3298.490283584131	1.8946244400219896	0.023532574848340922	0	0	Up
SAUSA300_RS04060	2263.6783547755026	1.7977915803165527	0.029854451349736855	0	0	Up
SAUSA300_RS04070	7689.5705397524325	1.814605950119632	0.01942254300811491	0	0	Up
SAUSA300_RS04085	823.4759517936973	-1.73121190276001	0.04447926020486117	0	0	Down
SAUSA300_RS04100	10457.14554432014	0.8162579301398377	0.01426977792436935	0	0	Not significant
SAUSA300_RS04110	874.896092221915	2.6792380925442996	0.05179962022243244	0	0	Up
SAUSA300_RS04165	695878.5264161265	5.217059575777456	0.008538307208303644	0	0	Up
SAUSA300_RS04190	4510.330467777697	2.8905633961927033	0.025106648455745062	0	0	Up
SAUSA300_RS04245	793.1726911930291	2.4914693103250216	0.05563099987667836	0	0	Up
SAUSA300_RS04400	27885.272733945454	1.6373210440251242	0.009424158951828347	0	0	Up
SAUSA300_RS04410	1691.5105872090835	1.355288985575509	0.03148581901252256	0	0	Not significant
