gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
b0929	19822.1741999096	-7.87344896448427	0.196266675079017	0	0
b3508	1227.04731288444	5.58607983993342	0.195960209955177	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000149067250585796	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000275625346333137
b3510	21843.031927732	4.87329354863086	0.173804475267963	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000237927325059024	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000293285082689424
b3125	1499.94077789792	-3.62597179194886	0.138260554104994	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100137589041349	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000925772010687273
b0553	5692.5367669701	-4.12070175546647	0.160281999328224	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000637307578177459	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000471352684820048
b3127	1065.56292798323	-6.92516575577059	0.2716669242378	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000155477507852748	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000958259706732435
b1492	26795.6190093305	6.27240417491256	0.249484939108846	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000858515882051486	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000453541675975199
b3509	8074.55274779025	4.84111974328239	0.194631525387904	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000270963489652009	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000125252873091641
b1493	28103.035258075	6.64721624398556	0.272692755960453	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000311935261285038	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000128170732914675
b3514	4995.00593397608	5.3153340290062	0.218336051090395	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000382962763377024	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141619629896824
b3126	848.31890705158	-4.84870321812828	0.202052495072691	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000895472551457409	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000301041590480863
b2150	15846.8673370768	-3.55324596477825	0.15122627260399	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000303728013565914	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000935988495138957
