gene_id	gene_name	USA100_N315_Biofilm_10h_1	USA100_N315_Biofilm_10h_2	USA100_N315_Biofilm_10h_3	USA100_N315_Biofilm_10h_4	USA100_N315_Biofilm_24h_1	USA100_N315_Biofilm_24h_2	USA100_N315_Biofilm_24h_3	USA100_N315_Biofilm_24h_4	USA100_N315_Biofilm_24h_5	USA100_N315_Biofilm_24h_6	USA100_N315_Biofilm_24h_7	USA100_N315_Biofilm_24h_8	USA100_N315_Biofilm_5h_1	USA100_N315_Biofilm_5h_2	USA100_N315_Biofilm_5h_3	USA100_N315_Biofilm_5h_4	USA100_N315_Planktonic_10h_1	USA100_N315_Planktonic_10h_2	USA100_N315_Planktonic_10h_3	USA100_N315_Planktonic_10h_4	USA100_N315_Planktonic_24h_1	USA100_N315_Planktonic_24h_2	USA100_N315_Planktonic_24h_3	USA100_N315_Planktonic_24h_4	USA100_N315_Planktonic_24h_5	USA100_N315_Planktonic_24h_6	USA100_N315_Planktonic_24h_7	USA100_N315_Planktonic_24h_8	USA100_N315_Planktonic_5h_1	USA100_N315_Planktonic_5h_2	USA100_N315_Planktonic_5h_3	USA100_N315_Planktonic_5h_4
SA_RS00005	SA_RS00005	248.264864	263.37816	254.562949	247.379876	234.449351	227.997408	251.230986	234.326755	233.536456	247.824637	255.095472	238.801403	100.084524	99.571917	81.906595	91.993172	127.085964	123.14891	124.263446	129.061519	80.756822	87.760938	84.336384	79.336446	97.125915	81.397048	81.211906	77.994585	45.724457	37.038917	46.523819	46.947153
SA_RS00010	SA_RS00010	271.397787	275.476476	275.844337	272.419569	123.117183	116.123831	122.995109	109.751412	120.152596	104.812442	126.133186	121.123364	200.234261	207.447046	219.612549	203.835078	169.325107	178.694653	180.966782	181.372782	305.341173	303.938764	298.034562	293.090745	281.431625	297.521261	299.137379	290.531333	170.109153	168.050694	150.33162	158.782209
SA_RS00015	SA_RS00015	17.855459	18.056381	18.20316	16.214624	13.105681	3.264092	0	3.027662	10.06399	8.880342	9.034445	9.265857	25.527069	15.678989	30.367886	9.436817	39.830698	40.603673	34.680899	20.213712	60.408585	77.334591	81.834544	30.917624	80.285255	58.322471	81.199405	55.73447	10.486318	5.251542	10.5327	5.092074
SA_RS00020	SA_RS00020	5.931574	7.113349	6.310424	5.313365	4.490556	4.475366	5.723692	3.731951	7.359071	4.068454	7.02558	6.347359	20.052658	18.070398	13.602081	17.289952	9.642292	12.837633	11.641182	11.247547	7.45996	7.167776	6.741852	9.08905	6.31304	8.553687	8.634942	7.328749	4.413839	4.396387	3.162455	3.056333
SA_RS00025	SA_RS00025	2.008441	2.722724	3.419658	3.477889	1.052244	1.04913	7.217341	3.887812	0	2.856739	1.936024	0.991075	2.786906	2.801125	5.437147	0.937098	3.977807	10.168936	0	4.01626	11.134003	21.308355	17.938801	16.556685	14.547541	11.180156	15.810642	13.657725	1.527755	0	3.072614	5.934647
SA_RS00030	SA_RS00030	96.291208	95.491611	90.401499	96.026189	43.879073	45.380888	40.150165	37.810006	41.940957	37.573372	46.641776	40.516144	198.782204	202.20333	192.251818	202.207222	78.531837	72.942411	88.694102	94.482739	106.452342	110.016221	115.325133	102.467956	108.128407	106.038147	102.571224	112.357123	104.949316	104.696082	108.953173	112.979558
SA_RS00035	SA_RS00035	18.322004	23.533418	29.052362	25.54572	10.869923	6.968331	12.176973	9.321663	11.133062	7.031181	10.716385	7.314929	37.025509	54.270953	39.34822	40.800761	58.550343	42.788556	48.314241	26.796265	8.913006	11.114291	16.393704	12.836854	12.92476	20.169275	13.849669	14.782608	0	0	1.115603	0
SA_RS00040	SA_RS00040	84.381863	87.126672	89.927693	96.235286	82.799634	80.591695	81.24161	84.545713	79.234668	79.138998	79.818019	76.599797	73.429876	71.892949	69.200356	75.985513	106.293821	91.80453	102.459366	99.213484	17.439962	22.762333	22.624562	22.118842	22.383881	20.555724	16.234705	23.940685	8.38448	9.642436	11.383434	13.555908
SA_RS00045	SA_RS00045	31.732958	30.495362	30.403794	32.472572	12.829843	15.508076	14.108263	14.02173	13.171117	14.602632	13.74247	13.695911	70.377946	71.683	73.034213	74.288005	64.665043	62.325615	65.179528	63.535242	19.574873	22.095158	21.260495	20.20681	21.315542	18.739053	22.283495	21.376166	9.77854	10.205833	10.117183	9.783172
SA_RS00050	SA_RS00050	28.467675	30.987912	27.847626	36.601997	8.148199	7.288485	4.066463	5.017826	9.062638	10.65738	10.831193	13.632125	46.243144	46.911447	43.271441	36.786174	59.293596	58.057928	63.660011	63.677602	49.434093	48.018888	36.650229	39.895235	36.190633	52.347087	36.067236	44.553536	9.127326	13.031526	10.490028	8.864764
