gene_id	gene_name	USA100_N315_Biofilm_10h_1	USA100_N315_Biofilm_10h_2	USA100_N315_Biofilm_10h_3	USA100_N315_Biofilm_10h_4	USA100_N315_Biofilm_24h_1	USA100_N315_Biofilm_24h_2	USA100_N315_Biofilm_24h_3	USA100_N315_Biofilm_24h_4	USA100_N315_Biofilm_24h_5	USA100_N315_Biofilm_24h_6	USA100_N315_Biofilm_24h_7	USA100_N315_Biofilm_24h_8	USA100_N315_Biofilm_5h_1	USA100_N315_Biofilm_5h_2	USA100_N315_Biofilm_5h_3	USA100_N315_Biofilm_5h_4	USA100_N315_Planktonic_10h_1	USA100_N315_Planktonic_10h_2	USA100_N315_Planktonic_10h_3	USA100_N315_Planktonic_10h_4	USA100_N315_Planktonic_24h_1	USA100_N315_Planktonic_24h_2	USA100_N315_Planktonic_24h_3	USA100_N315_Planktonic_24h_4	USA100_N315_Planktonic_24h_5	USA100_N315_Planktonic_24h_6	USA100_N315_Planktonic_24h_7	USA100_N315_Planktonic_24h_8	USA100_N315_Planktonic_5h_1	USA100_N315_Planktonic_5h_2	USA100_N315_Planktonic_5h_3	USA100_N315_Planktonic_5h_4
SA_RS08510	SA_RS08510	184.807	182.184	176.877	166.974	103	122.001	146.982	131.418	126.272	137.467	113.223	123.099	418.327	423.098	458.078	439.199	267.653	282.302	234.112	227.388	216.973	216.727	251.454	241.688	230.209	246.812	239.739	248.003	271.849	278.604	320.904	318.291
SA_RS08515	SA_RS08515	313.32	338.389	326.387	260.072	156.084	144.046	161.772	162.669	148.196	185.764	160.537	132.396	587.815	526.809	544.393	514.911	261.752	267.265	236.435	271.517	139.427	112.429	122.109	121.251	117.957	147.328	127.734	101.555	244.645	204.019	271.508	246.215
SA_RS08520	SA_RS08520	1512.209	1481.593	1478.25	1479.953	702.707	699.469	743.618	759.258	713.247	798.796	764.64	768.619	2031.125	1923.024	2065.067	1988.814	704.105	709.033	763.453	790.308	287.601	300.844	303.895	284.062	291.835	312.861	303.526	289.443	852.873	781.127	827.336	833.215
SA_RS08525	SA_RS08525	240	235	252	218.557	55	59	64	47.998	50	48.001	81	62	168.079	192.226	179.238	171.389	114	119	117	115.029	62	62	50	58	52	50	49	58	27	34.22	38	33
SA_RS08530	SA_RS08530	997.622	925.57	889.866	941.821	411.543	389.939	403.311	470.315	424.477	481.384	485.05	452.898	688.927	685.722	659.368	663.621	552.736	539.729	535.257	536.407	104.443	133.848	128.727	103.955	147.077	114.362	156.577	136.114	169.06	176.824	184.246	176.802
SA_RS08535	SA_RS08535	533.887	537.843	504.9	562.214	348.914	352.155	354.229	364.331	331.616	391.652	399.998	391.157	436.716	401.402	460.19	404.676	229.887	217.188	229.674	197.593	95.557	116.152	110.273	105.045	104.923	100.638	102.423	111.886	264.683	253.593	243.797	266.825
SA_RS08545	SA_RS08545	1952.139	1951.152	1906.689	1801.824	1385.474	1355.283	1389.348	1447.908	1407.401	1517.934	1473.34	1459.983	3052.983	3128.544	3149.318	3060.876	1212.266	1205.556	1152.115	1216.19	1338.218	1297.815	1239.235	1220.054	1399.054	1382.531	1361.904	1316.756	855.474	806.66	848.564	909.823
SA_RS08550	SA_RS08550	987.034	976.575	941.439	944.897	766.305	747.343	798.367	687.444	709.193	782.102	770.737	745.661	1606.457	1637.528	1679.9	1634.423	382.672	384.465	344.916	410.059	460.448	433.442	408.765	435.946	446.946	506.47	420.096	433.133	330.673	343.952	345.33	380.204
SA_RS08555	SA_RS08555	1429.265	1446.269	1453.44	1380.944	598	618.894	613	647.002	606.003	698.441	681.002	660.202	2805.501	2731.714	2831.162	2696.33	926.546	868.733	923	879.37	788.204	767	771	758	914	893	833	771	2236.498	2110.101	2247.282	2200.927
SA_RS08560	SA_RS08560	1718.353	1744.121	1734.124	1810.264	1195.523	1134.111	1120.385	1198.754	1102.88	1233.59	1252.259	1180.06	2213.284	2293.616	2345.453	2126.347	1917.168	1815.149	1809.966	1893.954	1469.81	1524.946	1488.275	1443.169	1541.29	1534.49	1522.969	1530.527	2638.289	2744.761	2698.726	2770.401
SA_RS08565	SA_RS08565	462.854	472.879	468.639	424.552	228.538	278.842	286.261	270.014	277.441	301.555	275.537	295.014	518.073	579.173	621.131	575.361	302.292	282.649	317.038	293.769	1158.19	1215.251	1138.041	1226.836	1304.71	1329.533	1304.821	1240.474	856.645	784.062	804.971	825.959
SA_RS08570	SA_RS08570	273.608	301.214	280.649	291.009	165.028	170.683	151	158.304	151.011	182.914	170.562	167	680.149	686.184	636.15	689.159	271.972	284.489	297.214	279.075	462.237	496.87	460.993	455.617	508.37	503.619	486.133	465.994	371.215	410.288	360.139	413.641
SA_RS08575	SA_RS08575	378.565	394.974	373.351	387.975	188.972	188.317	192.382	200.208	201.996	199.041	182.442	194	706.374	674.735	794.193	738.706	298.117	283.447	300.808	325.707	396.277	384.13	366.006	430.383	442.628	464.381	456.867	446.006	436.633	459.918	450.732	436.145
SA_RS08580	SA_RS08580	596.001	574.003	641.036	581.908	277	265.027	276.875	312	236.067	265	307.467	294	871.779	912.596	936.242	866.081	444.199	459.156	441	445.257	831	898	879.961	867	910.002	953	919	894.001	599.997	564.189	597.218	614.692
SA_RS08585	SA_RS08585	824.986	869.099	830.587	854.851	354.072	340.305	358.71	368.633	349.175	409.904	394.195	352.851	1636.856	1600.619	1624.176	1602.091	784.29	813.963	783.301	867.904	704.33	734.666	666.879	718.271	793.856	775.431	731.6	817.423	893.844	856.269	880.801	894.286
SA_RS08590	SA_RS08590	622.13	664.448	602.921	570.205	378.93	335.318	363.29	407.646	348.901	419.096	380.8	409.191	767.47	778.79	802.29	778.389	438.105	381.789	375.695	429.797	511.67	475.472	505.121	508.729	516.14	528.569	539.36	524.25	533.478	528.931	563.461	609.361
SA_RS08595	SA_RS08595	716.011	701.106	714.534	677.886	548.303	550.023	552.766	576.031	519.029	572.168	503.148	551.322	544.837	553.368	563.732	504.803	391	430	339	406	354	353	374	352	374	375	406	372	392.2	433.339	411.383	460.312
SA_RS08600	SA_RS08600	583.034	583.929	598.974	557.012	330	305	313.68	299	298	296.004	335	334	373.695	369.876	369.482	355.811	385.093	352.188	387	416	123	110	135	145	141	134	135	126	377.189	357.761	351.333	362.876
SA_RS08605	SA_RS08605	3052.275	2952.4	3028.562	2984.754	863.17	873.571	891.355	953.989	849.967	1034.797	994.78	941.961	1074.952	1111.001	1154.9	1099.403	619.611	619	571.78	583.977	140	154	130	148	134.364	143	140	122.375	241.877	223.083	250.896	258.159
SA_RS08610	SA_RS08610	395	374	405.808	346.296	195	212	203	229	175	230.205	170	198.102	387.092	369.816	350.578	349.749	246.007	259	233	227	187	163	153	161	203	187	186.989	189	347.193	335.372	369.189	400.191
SA_RS08615	SA_RS08615	5.355	5	6.76	4	0	1	0	0	1	0	3	1	9	8	5	5	5	5.003	4	5	0	1	0	3	2	1	1	1	0	0	0	0
SA_RS08620	SA_RS08620	943.863	965.218	952.489	942.934	803.974	872.878	840.566	962.67	860.003	911.78	937.795	864.964	913.749	991.246	924.869	922.835	696.343	685.997	683.604	708	3024.527	3126	3058.146	3188	3455	3375.003	3390.214	3244.616	284.35	256.862	274	287.712
SA_RS08625	SA_RS08625	35371.53	34674.447	34723.783	34111.374	20399.217	20092.386	20915.49	22137.461	19819.449	22426.915	22024.453	22015.19	3341.434	3429.673	3481.582	3407.624	6727.556	6664.9	6278.828	6474.034	1827.871	1745	1844.125	1765	1947.843	1938.154	1952.843	1983.965	3190.633	3318.83	3212.556	3411.291
SA_RS08630	SA_RS08630	3729.645	3577.725	3690.782	3546.225	1856.616	1949.001	1877.526	2091.917	1817.552	1937.423	2047.94	1988.808	2799.631	2768.105	2815.909	2780.032	1712.612	1580.21	1647.543	1637.218	971	945	872.998	920.94	979	1017.89	1066.923	983.933	1915.846	1828.987	1867.247	1957.003
SA_RS08635	SA_RS08635	890.253	936.647	898.419	953.119	516.99	526.082	500.98	552.366	520.966	602.219	526.559	538.072	1077.005	1006.266	1101.548	1020.267	401.093	448.712	398.13	421.634	74.531	110.843	86.152	66.06	109	97.112	109.084	78.067	249.452	198.01	232.249	254.221
SA_RS08640	SA_RS08640	883.577	888.219	858.784	828.028	552	506.009	556.08	551.388	490.634	564.167	535.894	505	1041.17	1104.006	1118.334	1084.592	446.535	454.55	389.006	439.167	179.994	183.067	179.837	179	191	180.989	182	165	254.267	255.941	299.312	292.625
SA_RS08645	SA_RS08645	9.001	12.001	16	14	11	16	14	14	13	7	11	10	39.022	43.047	41.139	23.344	26.465	15	21.034	23.967	48.065	48.005	34.013	47.996	54	49.015	54	57	16	21	21	21
