sample,fastq_1,fastq_2,strandedness,seq_platform,sample_title_ena_metadata
USA100_N315_Planktonic_5h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251241_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251241_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 5 hour
USA100_N315_Planktonic_5h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251242_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251242_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 5 hour
USA100_N315_Planktonic_5h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251243_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251243_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 5 hour
USA100_N315_Planktonic_5h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251240_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251240_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 5 hour
USA100_N315_Planktonic_24h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251347_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251347_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251344_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251344_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251345_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251345_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251346_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251346_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h_5,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251340_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251340_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h_6,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251341_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251341_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h_7,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251342_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251342_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_24h_8,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251343_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251343_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 24 hour
USA100_N315_Planktonic_10h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251280_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251280_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 10 hour
USA100_N315_Planktonic_10h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251282_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251282_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 10 hour
USA100_N315_Planktonic_10h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251283_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251283_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 10 hour
USA100_N315_Planktonic_10h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251281_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251281_2.fastq.gz,auto,ILLUMINA,USA100 N315 Planktonic 10 hour
USA100_N315_Biofilm_5h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251221_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251221_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 5 hour
