sample,fastq_1,fastq_2,strandedness,seq_platform,sample_title_ena_metadata
USA100_N315_Biofilm_5h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251222_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251222_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 5 hour
USA100_N315_Biofilm_5h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251220_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251220_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 5 hour
USA100_N315_Biofilm_5h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251223_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251223_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 5 hour
USA100_N315_Biofilm_24h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251301_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251301_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251302_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251302_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251300_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251300_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251305_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251305_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h_5,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251303_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251303_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h_6,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251304_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251304_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h_7,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251306_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251306_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_24h_8,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251307_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251307_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 24 hour
USA100_N315_Biofilm_10h_1,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251260_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251260_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 10 hour
USA100_N315_Biofilm_10h_2,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251261_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251261_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 10 hour
USA100_N315_Biofilm_10h_3,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251262_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251262_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 10 hour
USA100_N315_Biofilm_10h_4,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251263_1.fastq.gz,az://seqera/raw/teaching_bioengineering_08_Oct_2026/PRJNA685119_GSE163153/SRR13251263_2.fastq.gz,auto,ILLUMINA,USA100 N315 Biofilm 10 hour
