transcript_id	gene_id	gene_name
unassigned_transcript_1	SA_RS00145	SA_RS00145
unassigned_transcript_2	SA_RS00150	SA_RS00150
unassigned_transcript_3	SA_RS00155	SA_RS00155
unassigned_transcript_4	SA_RS00160	SA_RS00160
unassigned_transcript_5	SA_RS00165	SA_RS00165
unassigned_transcript_6	SA_RS00170	SA_RS00170
unassigned_transcript_7	SA_RS00175	SA_RS00175
unassigned_transcript_8	SA_RS00180	SA_RS00180
unassigned_transcript_9	SA_RS00185	SA_RS00185
unassigned_transcript_10	SA_RS00190	SA_RS00190
unassigned_transcript_11	SA_RS00195	SA_RS00195
unassigned_transcript_12	SA_RS00200	SA_RS00200
unassigned_transcript_13	SA_RS00205	SA_RS00205
unassigned_transcript_14	SA_RS00210	SA_RS00210
unassigned_transcript_15	SA_RS00215	SA_RS00215
unassigned_transcript_16	SA_RS00220	SA_RS00220
unassigned_transcript_17	SA_RS00225	SA_RS00225
unassigned_transcript_18	SA_RS00230	SA_RS00230
unassigned_transcript_19	SA_RS00235	SA_RS00235
unassigned_transcript_20	SA_RS00240	SA_RS00240
unassigned_transcript_21	SA_RS00245	SA_RS00245
unassigned_transcript_22	SA_RS00250	SA_RS00250
unassigned_transcript_23	SA_RS00255	SA_RS00255
unassigned_transcript_24	SA_RS00260	SA_RS00260
unassigned_transcript_25	SA_RS00265	SA_RS00265
unassigned_transcript_26	SA_RS00270	SA_RS00270
unassigned_transcript_27	SA_RS00275	SA_RS00275
unassigned_transcript_28	SA_RS00280	SA_RS00280
unassigned_transcript_29	SA_RS00285	SA_RS00285
unassigned_transcript_30	SA_RS00295	SA_RS00295
unassigned_transcript_31	SA_RS00300	SA_RS00300
unassigned_transcript_32	SA_RS00305	SA_RS00305
unassigned_transcript_33	SA_RS00310	SA_RS00310
unassigned_transcript_34	SA_RS00315	SA_RS00315
unassigned_transcript_35	SA_RS14390	SA_RS14390
unassigned_transcript_36	SA_RS00325	SA_RS00325
unassigned_transcript_37	SA_RS00330	SA_RS00330
unassigned_transcript_38	SA_RS00335	SA_RS00335
unassigned_transcript_39	SA_RS00340	SA_RS00340
unassigned_transcript_40	SA_RS00345	SA_RS00345
unassigned_transcript_41	SA_RS15045	SA_RS15045
unassigned_transcript_42	SA_RS00350	SA_RS00350
unassigned_transcript_43	SA_RS00360	SA_RS00360
unassigned_transcript_44	SA_RS00365	SA_RS00365
unassigned_transcript_45	SA_RS00370	SA_RS00370
unassigned_transcript_46	SA_RS00375	SA_RS00375
unassigned_transcript_47	SA_RS15505	SA_RS15505
unassigned_transcript_48	SA_RS00380	SA_RS00380
unassigned_transcript_49	SA_RS15510	SA_RS15510
unassigned_transcript_50	SA_RS00385	SA_RS00385
unassigned_transcript_51	SA_RS00390	SA_RS00390
unassigned_transcript_52	SA_RS00395	SA_RS00395
unassigned_transcript_53	SA_RS00400	SA_RS00400
unassigned_transcript_54	SA_RS00405	SA_RS00405
unassigned_transcript_55	SA_RS00410	SA_RS00410
unassigned_transcript_56	SA_RS00415	SA_RS00415
unassigned_transcript_57	SA_RS00420	SA_RS00420
unassigned_transcript_58	SA_RS00425	SA_RS00425
unassigned_transcript_59	SA_RS00430	SA_RS00430
unassigned_transcript_60	SA_RS00435	SA_RS00435
unassigned_transcript_61	SA_RS00440	SA_RS00440
unassigned_transcript_62	SA_RS00445	SA_RS00445
unassigned_transcript_63	SA_RS00450	SA_RS00450
unassigned_transcript_64	SA_RS14420	SA_RS14420
unassigned_transcript_65	SA_RS00470	SA_RS00470
unassigned_transcript_66	SA_RS00475	SA_RS00475
unassigned_transcript_67	SA_RS00480	SA_RS00480
unassigned_transcript_68	SA_RS00485	SA_RS00485
unassigned_transcript_69	SA_RS00490	SA_RS00490
unassigned_transcript_70	SA_RS00495	SA_RS00495
unassigned_transcript_71	SA_RS00500	SA_RS00500
unassigned_transcript_72	SA_RS00505	SA_RS00505
unassigned_transcript_73	SA_RS00510	SA_RS00510
unassigned_transcript_74	SA_RS00520	SA_RS00520
unassigned_transcript_75	SA_RS00525	SA_RS00525
unassigned_transcript_76	SA_RS00530	SA_RS00530
unassigned_transcript_77	SA_RS00535	SA_RS00535
unassigned_transcript_78	SA_RS00540	SA_RS00540
unassigned_transcript_79	SA_RS00545	SA_RS00545
unassigned_transcript_80	SA_RS00550	SA_RS00550
unassigned_transcript_81	SA_RS00555	SA_RS00555
unassigned_transcript_82	SA_RS00560	SA_RS00560
unassigned_transcript_83	SA_RS00565	SA_RS00565
unassigned_transcript_84	SA_RS00570	SA_RS00570
unassigned_transcript_85	SA_RS00575	SA_RS00575
unassigned_transcript_86	SA_RS15490	SA_RS15490
unassigned_transcript_87	SA_RS00585	SA_RS00585
unassigned_transcript_88	SA_RS00590	SA_RS00590
unassigned_transcript_89	SA_RS00595	SA_RS00595
unassigned_transcript_90	SA_RS00600	SA_RS00600
unassigned_transcript_91	SA_RS00605	SA_RS00605
unassigned_transcript_92	SA_RS00610	SA_RS00610
unassigned_transcript_93	SA_RS00615	SA_RS00615
unassigned_transcript_94	SA_RS00620	SA_RS00620
unassigned_transcript_95	SA_RS00625	SA_RS00625
unassigned_transcript_96	SA_RS00630	SA_RS00630
unassigned_transcript_97	SA_RS00635	SA_RS00635
unassigned_transcript_98	SA_RS00640	SA_RS00640
unassigned_transcript_99	SA_RS00645	SA_RS00645
unassigned_transcript_100	SA_RS00650	SA_RS00650
unassigned_transcript_101	SA_RS00655	SA_RS00655
unassigned_transcript_102	SA_RS00660	SA_RS00660
unassigned_transcript_103	SA_RS00665	SA_RS00665
unassigned_transcript_104	SA_RS00670	SA_RS00670
unassigned_transcript_105	SA_RS00675	SA_RS00675
unassigned_transcript_106	SA_RS00680	SA_RS00680
unassigned_transcript_107	SA_RS00685	SA_RS00685
unassigned_transcript_108	SA_RS00690	SA_RS00690
unassigned_transcript_109	SA_RS00695	SA_RS00695
unassigned_transcript_110	SA_RS00700	SA_RS00700
unassigned_transcript_111	SA_RS00705	SA_RS00705
unassigned_transcript_112	SA_RS00710	SA_RS00710
unassigned_transcript_113	SA_RS00715	SA_RS00715
unassigned_transcript_114	SA_RS00720	SA_RS00720
unassigned_transcript_115	SA_RS00725	SA_RS00725
unassigned_transcript_116	SA_RS00730	SA_RS00730
unassigned_transcript_117	SA_RS00735	SA_RS00735
unassigned_transcript_118	SA_RS00740	SA_RS00740
unassigned_transcript_119	SA_RS00745	SA_RS00745
unassigned_transcript_120	SA_RS00750	SA_RS00750
unassigned_transcript_121	SA_RS00755	SA_RS00755
unassigned_transcript_122	SA_RS00765	SA_RS00765
unassigned_transcript_123	SA_RS00770	SA_RS00770
unassigned_transcript_124	SA_RS00775	SA_RS00775
unassigned_transcript_125	SA_RS00780	SA_RS00780
unassigned_transcript_126	SA_RS00785	SA_RS00785
unassigned_transcript_127	SA_RS00790	SA_RS00790
unassigned_transcript_128	SA_RS00795	SA_RS00795
unassigned_transcript_129	SA_RS00800	SA_RS00800
unassigned_transcript_130	SA_RS00805	SA_RS00805
unassigned_transcript_131	SA_RS00810	SA_RS00810
unassigned_transcript_132	SA_RS15330	SA_RS15330
unassigned_transcript_133	SA_RS00815	SA_RS00815
unassigned_transcript_134	SA_RS00825	SA_RS00825
unassigned_transcript_135	SA_RS00830	SA_RS00830
unassigned_transcript_136	SA_RS00835	SA_RS00835
unassigned_transcript_137	SA_RS00840	SA_RS00840
unassigned_transcript_138	SA_RS00845	SA_RS00845
unassigned_transcript_139	SA_RS00850	SA_RS00850
unassigned_transcript_140	SA_RS00855	SA_RS00855
unassigned_transcript_141	SA_RS00860	SA_RS00860
unassigned_transcript_142	SA_RS00865	SA_RS00865
unassigned_transcript_143	SA_RS00870	SA_RS00870
unassigned_transcript_144	SA_RS00875	SA_RS00875
unassigned_transcript_145	SA_RS00880	SA_RS00880
unassigned_transcript_146	SA_RS00885	SA_RS00885
unassigned_transcript_147	SA_RS00890	SA_RS00890
unassigned_transcript_148	SA_RS00895	SA_RS00895
unassigned_transcript_149	SA_RS00900	SA_RS00900
unassigned_transcript_150	SA_RS00905	SA_RS00905
unassigned_transcript_151	SA_RS00910	SA_RS00910
unassigned_transcript_152	SA_RS00915	SA_RS00915
unassigned_transcript_153	SA_RS00920	SA_RS00920
unassigned_transcript_154	SA_RS00925	SA_RS00925
unassigned_transcript_155	SA_RS00930	SA_RS00930
unassigned_transcript_156	SA_RS00935	SA_RS00935
unassigned_transcript_157	SA_RS00940	SA_RS00940
unassigned_transcript_158	SA_RS00945	SA_RS00945
unassigned_transcript_159	SA_RS00950	SA_RS00950
unassigned_transcript_160	SA_RS00955	SA_RS00955
unassigned_transcript_161	SA_RS00960	SA_RS00960
unassigned_transcript_162	SA_RS00965	SA_RS00965
unassigned_transcript_163	SA_RS00970	SA_RS00970
unassigned_transcript_164	SA_RS00975	SA_RS00975
unassigned_transcript_165	SA_RS00980	SA_RS00980
unassigned_transcript_166	SA_RS00985	SA_RS00985
unassigned_transcript_167	SA_RS00995	SA_RS00995
unassigned_transcript_168	SA_RS01000	SA_RS01000
unassigned_transcript_169	SA_RS01005	SA_RS01005
unassigned_transcript_170	SA_RS01010	SA_RS01010
unassigned_transcript_171	SA_RS01015	SA_RS01015
unassigned_transcript_172	SA_RS01020	SA_RS01020
unassigned_transcript_173	SA_RS01025	SA_RS01025
unassigned_transcript_174	SA_RS01030	SA_RS01030
unassigned_transcript_175	SA_RS01035	SA_RS01035
unassigned_transcript_176	SA_RS01040	SA_RS01040
